system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1492,-0.04244752230752523,-1.345881547619043,-0.537274152236656,-2.101111111111109,0.004925093148973286,0.40252947845804926,1.2761964285714356,1.969344742063491,1.2185714764162165,2005.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,29,0.09287780514504484,-0.9000833333333418,-0.22854166666667197,-0.9012500000000045,-0.03928571428571104,0.17041666666665378,1.2218333333333646,1.6616666666666617,0.9910349604673216,2005.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1407,-0.04429539416399699,-1.345881547619043,-0.6014017489711937,-2.045561904761894,0.004103799525058741,0.4664541316526647,1.2761964285714356,1.969344742063491,1.1769465246779813,2005.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,33,0.2551521054702814,-0.19000000000002615,-0.10818181818180506,-0.5282727272727357,0.0,0.08388888888887891,0.17818181818182666,3.08841666666666,1.1199124360264556,2005.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,25,-0.3545090476190461,-3.6316666666666606,-1.7783333333333076,-5.209166666666661,-0.2566666666666322,1.193333333333328,2.972500000000011,3.08841666666666,2.832652282654004,2005.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1493,-0.011237700539023229,-1.641398065476201,-0.5952580782312948,-2.4070333333333394,0.004332138429160023,0.5948106398809538,1.5942490981240978,2.530565476190475,1.4405198836821842,2006.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,30,0.04749051827802001,-0.3761904761904731,-0.10126984126983984,-0.5325000000000131,0.04552579365079623,0.2639999999999816,0.4444642857142824,0.6639047619047602,0.32781834244894864,2006.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1401,-0.017371685911835733,-1.7102480158730118,-0.7111970899470871,-2.4070333333333394,0.0032784002489883754,0.6548108465608399,1.5919740079365083,2.530565476190475,1.4799249729027568,2006.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,-0.13858623479694887,-0.6319642857143037,-0.24999999999997158,-1.1840000000000117,-0.02244444444444582,0.02680555555556907,0.2235952380952284,0.7649007936508099,0.4726490720287035,2006.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,29,0.3418153020351322,-0.522750000000002,-0.046666666666652645,-1.056666666666672,0.14800000000002456,1.0765000000000242,1.258047619047602,1.6169999999999902,0.7930529469496453,2006.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1487,-0.02102088385536638,-0.891833333333335,-0.36013176937441926,-1.3038190476190494,0.002501261228005477,0.3256047619047564,0.8306119047619035,1.2088269841269692,0.7867266057907272,2007.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,-0.18542616254712316,-0.9450000000000074,-0.29511904761903907,-1.8700000000000045,-0.044999999999987494,0.10650793650796686,0.5192182539682335,0.7192500000000024,0.6647059816403711,2007.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1394,-0.013005443992083665,-0.891833333333335,-0.36013176937441926,-1.3038190476190494,0.0019517168094569186,0.3256047619047564,0.8570652557319155,1.2088269841269692,0.788609751354827,2007.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,-0.093090373118946,-0.5450416666666911,-0.10654761904761756,-1.6675000000000466,0.0,0.03090277777776862,0.26599999999999113,0.8452380952380736,0.5196441602339651,2007.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,29,-0.09822058018609621,-1.6658333333333246,-0.4824999999999875,-2.306666666666672,0.0,0.4514166666666597,1.0464285714285637,1.2639999999999816,1.0280230209496963,2007.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1481,-0.08874156048767812,-1.3214445271164044,-0.5547664374156337,-1.8347377450980376,0.014688700564971523,0.4341740094396327,1.0567867331617335,1.6892559523809467,1.1486668315324078,2008.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,30,-0.14171223544973563,-0.9444166666666547,-0.6588611111110936,-1.6920833333333718,-0.15420833333334372,0.4899404761904691,0.8874325396825498,1.3424166666666792,0.8461758997698788,2008.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1389,-0.08954613228344345,-1.3214445271164044,-0.5557171656027609,-1.8347377450980376,0.014354232804232512,0.4331227390180849,1.0572875233426704,1.5636946097883613,1.1437248162429856,2008.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,34,0.05363752546472841,-0.4432142857143049,-0.21333333333330984,-0.5380952380952522,0.0,0.3859166666666738,0.5630833333333101,0.8639563492063616,0.44740650947327076,2008.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,30,-0.11097083333333017,-2.6816666666666578,-1.414833333333334,-3.994999999999976,-0.09270833333332007,1.0033333333333587,2.4579166666666623,3.2524999999999835,1.9076448086002145,2008.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1469,-0.03242910052091401,-1.5696518329554023,-0.5673452704702664,-2.430771825396827,0.0145722075204103,0.5615322128851569,1.439291099773239,2.060896164021163,1.3989720404550832,2009.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,28,0.3243502563904335,-1.4850000000000136,-0.5213263888888804,-1.8741666666666674,-0.07333333333333769,0.9305037878787985,1.5960000000000036,2.7618333333333283,2.026905574771017,2009.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_2,1382,-0.027574763815537418,-1.5696518329554023,-0.567752382851063,-2.333416666666667,0.01264943952033443,0.5615322128851569,1.4427208646616525,2.0568639971139935,1.3531729081748385,2009.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
