system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4893,0.019699484000909498,-1.094562013866891,-0.4049413580246914,-1.6502476141282996,0.010737549859602714,0.46788830127489967,1.1582232503607464,1.6558208943833972,1.011400906174934,2005.0,NF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,317,0.027072143244067506,-1.164888888888882,-0.27708024691357974,-1.7993333333333368,0.015010912698412959,0.34316964285714135,1.2041666666666515,1.9751111111110902,1.0130670716469568,2005.0,NF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4123,0.008149043140948328,-1.1544811304287153,-0.4688818461803527,-1.7185193452380894,0.009312817859845359,0.4696719624819625,1.223857317927171,1.7120709706959725,1.0470530900658401,2005.0,NF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,0.1135238930829125,-0.5155652356902417,-0.14118777056277146,-0.7297643849206388,0.048334370490630364,0.42046153499278677,0.7341944444444408,1.0803369047618987,0.528614655555076,2005.0,NF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,12,0.3619434523809583,-2.0737499999999898,-0.30306547619048274,-2.1217499999999916,0.0956249999999983,1.4235714285714423,2.1907500000000226,3.7295000000000016,1.5955813709083144,2005.0,NF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4870,-0.00387564275788047,-1.56048556443556,-0.43662618593980784,-2.3156296992481225,0.0254130735844636,0.5603587251727502,1.4303840889049244,2.186204861111111,1.382725741292464,2006.0,NF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,315,0.07638847259442405,-1.0215999999999923,-0.27939434523809936,-1.8038333333333583,0.013167243867242332,0.38107142857142406,1.0970089285714408,2.0700000000000074,1.1918337434475956,2006.0,NF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4104,-0.018596393656700155,-1.6904153025793662,-0.5669828914141406,-2.438324016563151,0.022671969278101067,0.5638381877022666,1.574516487150416,2.308219444444456,1.4566625008840965,2006.0,NF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,0.0721279739710959,-0.5778535714285852,-0.16764926046175432,-0.8874788359788633,0.042410301999588285,0.2963298611111173,0.8045039682539766,1.1398611111111023,0.5700824818381794,2006.0,NF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,0.21093452380952252,-0.4565714285714364,-0.3601130952380984,-0.6564484126984098,0.19117063492063124,0.5636607142857244,0.9573333333333238,1.7020833333333059,0.6484042038214962,2006.0,NF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
