system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4891,0.05324047149946776,-0.5946135437385415,-0.21742342815914328,-0.9654981325863733,0.0106922980778279,0.2812130715759754,0.7824504233511607,1.0905333333333305,0.7005125765638028,2005.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,320,0.03286642259650052,-0.5838809523809602,-0.26500126262625917,-0.8505133928571489,0.005392817548305637,0.3102295918367273,0.8046190476190459,1.1105793650793505,0.6339723424302832,2005.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4118,0.04168741616364871,-0.6578664965986414,-0.21747566137566154,-1.0291401098901076,0.010128250692798107,0.2801061967833509,0.7796882183908076,1.161957393483708,0.7243904848788713,2005.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,0.16167419662742652,-0.29541666666665584,-0.11223863636362925,-0.392675925925919,0.07849056353003978,0.3588913239538248,0.6968072390572218,1.0179166666666646,0.44581009548138106,2005.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,12,0.6210793650793605,-1.1341666666666725,0.09116666666666617,-1.1586666666666616,0.5391428571428634,1.5736249999999998,1.9849999999999852,2.0420833333333377,1.038321709886757,2005.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4876,0.04553800267558998,-0.4514137382225589,-0.17087974129045463,-0.6407760867604599,0.0046682447330450485,0.23632921707921808,0.5790445877425062,0.7970595624613515,0.4544641661248218,2006.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,320,0.037474572172620624,-0.47077579365078803,-0.1698188244047607,-0.676555555555557,0.006124410124410769,0.297386904761904,0.6095204081632752,0.8502172619047741,0.48736842814890774,2006.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4105,0.03490805778333191,-0.4516952947845777,-0.17084875230133809,-0.6733857323232342,0.004487205344027998,0.23649813735017866,0.5462789186507961,0.7965730820105849,0.45094187979466205,2006.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,0.14440758415087274,-0.30601306431663644,-0.08664330808081051,-0.40016161616160656,0.08770833333333646,0.3366467926013402,0.6974136363636319,0.9873484848484964,0.4267810663824694,2006.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,0.2772827380952343,-1.161833333333334,-0.43687500000000057,-1.315499999999986,0.4086666666666474,1.1191666666666578,1.4625000000000057,1.4971428571428333,0.9269907113803061,2006.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_0,4790,0.042255858540670654,-0.6547488553113555,-0.2179455953610767,-1.0917232142857145,0.012340988553488638,0.2776777886238664,0.7787471833721844,1.2189411976912021,0.7030607674531582,2007.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_1,253,0.08205246422440067,-0.5856130952380951,-0.20237499999999642,-0.8278333333333308,0.005115830115828645,0.33118571428571214,0.7445000000000022,1.073607142857135,0.6334200487162602,2007.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_2,4088,0.03147135921876008,-0.716466269841266,-0.2182403326578847,-1.1595310374149632,0.010692534758011235,0.2787553333333333,0.8409649292149324,1.220187619047619,0.7321732456374105,2007.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_3,446,0.11928051697306254,-0.25600404040404784,-0.10486471861471257,-0.3532481060606045,0.06840593434343845,0.27258207070706675,0.5724999999999909,0.8373484848484836,0.37608679728338307,2007.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_4,11,0.2320183982684008,-0.5274999999999892,-0.02541666666664355,-2.0362499999999812,0.33641666666669323,0.7359523809523694,1.218333333333348,1.5884999999999962,0.9052079923074768,2007.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_0,4749,0.03846606850018098,-0.6576821754634246,-0.22004693338302517,-1.0290726817042601,0.011284097153770808,0.28213752166636863,0.7815193833943881,1.158894277597404,0.6833110425159848,2008.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
