system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4873,0.010568174341106915,-1.1846612399505256,-0.43731849547057894,-1.6948494425547997,0.028553343574828152,0.43524643644567323,1.1815072463768124,1.68474223356009,1.1210163543009941,2005.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,320,-0.0030509892451307417,-0.609222222222229,-0.20482936507936955,-0.9363333333333372,0.0026724270353291274,0.23441666666666663,0.5747222222222442,0.868277777777782,0.5451397950732708,2005.0,NF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4109,0.01027204918671834,-1.3056923687423705,-0.5586939210244416,-1.819228883219953,0.02344690286027481,0.5633874562687526,1.3172545965608464,1.8030305555555564,1.1997128693731358,2005.0,NF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,442,0.012622686137391972,-0.2570773358585825,-0.10133068181818601,-0.36959821428571615,0.00166301753801817,0.13294475509059034,0.3032165103415115,0.45583333333333087,0.2713257251589629,2005.0,NF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,10,0.43827380952381956,-2.041249999999984,-1.2800000000000011,-2.622499999999988,-0.32979166666666515,1.4950000000000188,4.8492857142857275,8.130000000000024,2.838971172554263,2005.0,NF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4860,-0.013467043598833649,-1.4436027727546723,-0.5624263496450992,-2.188655448717948,0.025187074286018605,0.4362384656860475,1.4316985569985567,2.178108741181656,1.346755590462773,2006.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,317,0.02246682917503105,-0.6223511904761949,-0.198386904761918,-0.7779166666666555,9.197388632861519E-4,0.2588437499999863,0.5141547619047628,0.8199702380952374,0.5018084957187303,2006.0,NF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4095,-0.02145269712650651,-1.5688244667658717,-0.6884280435012137,-2.322672178130512,0.01977857118887024,0.563872655122656,1.6882706639566363,2.3067564935064886,1.452716724540806,2006.0,NF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,445,0.018233943771583636,-0.3623647486772417,-0.14048094465059588,-0.49212860750362114,0.009651669000933042,0.16977100941386697,0.3939257004569387,0.512553240740741,0.35793434495088045,2006.0,NF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,11,0.7149393939393941,-0.7226666666666404,-0.7115000000000009,-1.2562500000000085,0.257000000000005,0.7900000000000205,3.8899999999999864,4.047499999999999,1.6570975013265377,2006.0,NF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_0,4833,-0.02230950813446128,-0.8432846801346805,-0.3426642676767677,-1.2780760101010162,0.010587963131616895,0.28273450689935065,0.8407361174400672,1.2839134353741497,0.8022126654021944,2007.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_1,310,-0.08010669890145643,-0.6094414682539586,-0.32952047258298833,-0.9852380952381168,-0.01389980158731241,0.17013707010582615,0.518686507936503,0.7351964285714345,0.599247092730558,2007.0,NF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_2,4079,-0.02043753376230672,-0.968578571428569,-0.40827712701241925,-1.3407040043289955,0.008483635276443219,0.34280740079364863,0.9027017857142869,1.3431331845238124,0.8441879967384562,2007.0,NF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_3,442,0.03176435778274054,-0.26217297979798815,-0.10707443482443899,-0.35688131313131066,0.009253400264042212,0.14066666666667096,0.33731944444443795,0.4515537878787853,0.3290264408640208,2007.0,NF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
