system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8219,-0.041318842593982386,-2.3660150724032305,-0.618907136934375,-3.619554915514594,0.07100748908528433,0.6194843413679932,2.1317357200787863,3.3766356421356436,2.126899279290915,2005.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,541,0.034037850114561556,-0.6131269841269926,-0.29703419913419254,-0.8615624999999767,0.004650210084033755,0.2930982142857079,0.6719419642857254,0.9895154761904734,0.6307978551937816,2005.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6884,-0.07014027479597984,-2.8756115819209023,-0.8753068964267586,-3.864462337662339,0.06471335008309417,0.873517556232602,2.3739033257747546,3.6188150656814466,2.2933911132091955,2005.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,663,0.16264970595852746,-0.46644007936508275,-0.1569542989418006,-0.7836543650793629,0.09288482142857254,0.3439941909941845,0.778276785714274,1.2834479166666775,0.8425382482110079,2005.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,152,0.11682089219260221,-1.2422222222222388,-0.38710813492064966,-2.0449999999999875,0.024688930117501888,0.5292222222222165,1.875,2.4644166666666862,1.3862983604830899,2005.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8265,0.019779528366370484,-3.0581507034632023,-1.0545447845804994,-4.313676322751325,0.02361510255617366,1.0565943622193623,3.0711503968253977,4.809962962962962,2.712678183426447,2006.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,527,-0.11219588368094004,-1.5985833333333375,-0.48166666666667624,-2.4700198412698406,0.014604001322750785,0.41180013227513634,1.0868452380952323,1.8616666666666504,1.3586283380164126,2006.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6947,0.0195540250538452,-3.3110346068660026,-1.4399742456388502,-4.691759031198687,0.019484634260924862,1.3131012682850949,3.4314247311827955,5.050982574189095,2.914096619482243,2006.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,660,0.1280576992872436,-0.38934126984127315,-0.1728480158730207,-0.6444351851851877,0.07889486586645815,0.39154100529100966,0.7407984983766287,1.0457207341269812,0.5085417026765654,2006.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,150,0.028122263107263356,-2.111416666666681,-0.5797797619047387,-3.3919999999999817,0.031897175536881865,0.5856771541950151,1.8051666666666613,3.3300000000000125,2.1223011446726585,2006.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8266,-0.022514265088757063,-1.4358905459619746,-0.5598094120067265,-2.309982142857143,0.033099031854227835,0.4331446171860002,1.3154593047288379,2.318719086021502,1.4959968931270187,2007.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,559,0.03289368641694221,-0.5924179894179863,-0.22430474386724222,-0.8466416666666732,0.01565084175084242,0.28432187257188046,0.7246488095238117,0.9025277777777845,0.667681365299482,2007.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_2,6914,-0.037036763274089814,-1.6910088241436916,-0.5604724427799929,-2.433961760461762,0.03089448558010722,0.43508522077272216,1.5616180051116497,2.563955983709274,1.6143526281441032,2007.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_3,661,0.0874291002744099,-0.45023968253968005,-0.17449151234567573,-0.7009722222222289,0.048112000547342666,0.3285390662578204,0.671396031746039,0.9209722222222112,0.513870233246314,2007.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_4,153,-0.044760682219013345,-0.8449999999999989,-0.26353174603174523,-1.2328571428571422,0.001944444444445834,0.26333333333334963,0.5744444444444525,0.9229166666666515,0.6015978353177613,2007.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_0,8261,0.005322639537156355,-2.1840261136712744,-0.6889532497417097,-3.1892937127976198,0.03029241158451718,0.5624092002932363,2.061196735971385,3.3095552910052857,2.0105919234359093,2008.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
