system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8342,0.05705029907424429,-0.5314172062237315,-0.21845232432296474,-0.8446151556776557,0.01537376170492156,0.28128236210542246,0.7160439175186505,1.031713209683038,0.6677210510390584,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,566,0.03583696888113872,-0.5408690476190543,-0.20419472789115542,-0.7993055555555628,0.007473811389760072,0.26260912698412636,0.6913333333333327,0.9463055555555636,0.5689913075637941,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6979,0.05089416044980959,-0.5921619006709197,-0.2183641227324269,-0.9072782186948842,0.01467221454668218,0.2807048644854765,0.715366322751321,1.093703727167138,0.6959198246382449,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,663,0.15472986653869056,-0.26517283950617176,-0.11268072971089464,-0.365250000000006,0.07926940235690741,0.3601287601287562,0.6702575757575744,0.96214285714287,0.43473796147910676,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,155,0.021748661732533765,-0.47452380952380935,-0.16278744588743166,-0.684625000000004,0.004418530543532029,0.1952361111111287,0.4464285714285552,0.7441666666666862,0.41770966274688337,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8336,0.04335291109442407,-0.3894625496031739,-0.1410475774767751,-0.6101152597402598,0.006616404142355461,0.23482828694643895,0.5164009332268265,0.7650662157287116,0.4212100847569002,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,567,0.03657809959000573,-0.47776636904763237,-0.18008836996337044,-0.6468898809523722,0.023364379084971094,0.24117283950617244,0.5442638888888887,0.7735605158730117,0.43959958802347604,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6973,0.03616247512307335,-0.42130347222222514,-0.1407397795634088,-0.6107695802005007,0.006268299717548038,0.2349775349119625,0.5165864021489036,0.7317575963718813,0.41724555033119143,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,662,0.13328327813089885,-0.2727171717171828,-0.08557944832945233,-0.39892424242423774,0.0708797348484893,0.32169954648525895,0.6198106060605966,0.882685185185205,0.39508517785316594,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,155,0.01512151934087419,-0.4840376984127109,-0.1626843434343428,-0.8091666666666697,0.010297226466345885,0.23272619047619258,0.5834722222222268,1.0928928571428855,0.559311315496098,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8249,0.04537520447185244,-0.5951055946368444,-0.2179055716857822,-0.9661994401927421,0.016001157876715386,0.2780651704698305,0.7159049938157082,1.0934470966276535,0.6531840824956806,2007.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,492,0.052097416895433755,-0.5486835317460219,-0.23486921159648813,-0.8550833333333401,0.006339357864355706,0.29531398809524134,0.7411249999999932,1.0579166666666662,0.5873287963436878,2007.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_2,6963,0.040772818146794815,-0.6588951118326135,-0.21744923545062866,-1.0350469755469764,0.014738361796765777,0.2775986158165499,0.7784325989102101,1.1556137110016436,0.6824637781889656,2007.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_3,662,0.10455232869262386,-0.27485678210678294,-0.10365628006252336,-0.3964800505050505,0.054962918660289746,0.27385255617397164,0.543642255892261,0.746249999999975,0.3567471979702716,2007.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_4,153,0.011303705825763365,-0.35177976190477267,-0.16279365079365604,-0.6246666666666556,0.0030296266233733604,0.21233928571428606,0.4330257936507991,0.6650654761904917,0.386464606297676,2007.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_0,8194,0.04009909280573798,-0.5922034485388146,-0.22018664032726468,-0.8996204906204902,0.014838636298985934,0.2800172546396518,0.72043572255291,1.0933724173553765,0.6299189604939002,2008.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_1,465,0.02790727552017914,-0.5285535714285702,-0.21780436164364336,-0.7908095238095095,0.015115319865319155,0.27316996352413114,0.6425561224489797,1.0196388888888919,0.6878755805154669,2008.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_2,6935,0.03796951594428154,-0.6538266178266148,-0.22038762838468728,-0.970642290249437,0.0140189887436706,0.28071839459975145,0.7193987378083759,1.160262070105822,0.6474938141706298,2008.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_3,662,0.08209742439500893,-0.2895746552829842,-0.10547715880611158,-0.45351565656564785,0.0463993612596596,0.22937911394161695,0.5217282347282356,0.7324263038548773,0.40795654139086784,2008.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_4,153,0.015806209857680473,-0.37584821428571047,-0.1473164983165134,-0.5364999999999966,0.00399880952381011,0.2235942760942796,0.403636363636366,0.5284226190476033,0.3295591105523273,2008.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_0,8189,0.032120797604113724,-0.5948409612306129,-0.21807279878051344,-0.9683893738977076,0.01389341836544895,0.2815762742940966,0.7165273000273019,1.0330629078047535,0.6487990796576442,2009.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_1,475,0.02089347763347815,-0.596308802308819,-0.2181706819750265,-0.9620833333333536,0.008870408631773071,0.27785567210567635,0.7061666666666753,1.0978888888888794,0.6829638382592086,2009.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_2,6924,0.0290685428290498,-0.6536935672514645,-0.2183028319568912,-1.030019179894177,0.013184708451644083,0.28146547619047585,0.7177227833894521,1.0892041505791519,0.6729807828276742,2009.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
