system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,582,-0.10525914148852268,-1.595499999999987,-0.4746830357142784,-2.1471785714285687,0.006698831168830282,0.39824933862433437,1.1525269841269676,1.606726190476195,1.2456735229948857,2005.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,-0.06154024834814322,-1.0747619047618855,-0.48350000000000176,-2.0,0.005608974358971444,0.22763888888889028,1.1214285714285666,1.509999999999991,1.0266804002892667,2005.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,311,-0.1984028050370493,-1.8974928571428564,-0.775446428571423,-2.6181190476190466,0.005200781805259414,0.4005208333333279,1.1453703703703486,1.704444444444448,1.4293060374263533,2005.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.006475557158891357,-1.3853174603174665,-0.36666666666667425,-1.9225000000000136,0.006587301587289731,0.5880000000000223,1.1910466269841038,1.3324999999999818,1.0064706556509542,2005.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.06571853877117124,-0.7524999999999977,-0.359705808080804,-1.2028571428571126,0.0037740259740274952,0.2987499999999983,0.943333333333328,1.8533333333333246,0.9075467100602918,2005.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,580,0.17156204968403355,-1.1895426587301614,-0.3136855511638171,-1.913670634920635,0.02914069514590483,0.44304302422724023,1.7299333333333322,2.8923888888888785,1.5668625058485945,2006.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,0.008361608566874386,-0.6875,-0.2290873015872895,-1.2428571428571331,0.008365079365082314,0.2671282467532592,0.5728571428571456,1.090707070707083,0.7345970768275802,2006.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,309,0.27403137360661695,-1.6705952380952227,-0.5714532627865986,-2.8374999999999915,0.016924653405667744,1.039095238095238,2.679445578231293,3.657499999999999,2.0650281603923712,2006.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,0.11336615760782535,-0.51658585858587,-0.1466666666667038,-1.0404166666666868,0.09937169312169658,0.4152777777777601,0.7048888888888598,1.0208333333333428,0.5453090065376314,2006.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,0.08410928837244719,-0.4095454545454231,-0.19692460317460814,-0.5600000000000591,0.0012444444444440705,0.2675000000000125,0.7222857142857038,1.2913888888888891,0.5036563354978373,2006.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
