system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,573,0.24456056136030002,-1.844338383838383,-0.36438746843434355,-3.009999999999991,0.04174497354497383,0.616924829931974,2.375201298701303,4.3838888888888805,2.6236238995978227,2005.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.07587351712614679,-1.081249999999983,-0.3956666666666848,-1.2300000000000182,0.003634615384612516,0.4583333333333428,1.3273333333333,1.9657142857142844,0.9179362808828497,2005.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,302,0.19765204194260594,-2.7233333333333576,-0.8100850340135902,-5.214583333333323,0.008015700483091581,1.0413154761904693,3.4000000000000057,5.054583333333326,2.832708069833207,2005.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.566219268077603,-0.6129336734693952,-0.08142582417582389,-1.201666666666668,0.08259246031746273,0.3678693310657581,1.1852943121693233,2.324761904761914,3.622910531187483,2005.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.2704457317536256,-1.5833333333333428,-0.2803769841269741,-2.34699999999998,0.00903928571428878,0.7126785714285688,2.304166666666646,3.5500000000000114,1.7895060793720419,2005.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,575,0.11804428696906835,-3.1341749999999875,-0.6572547123015955,-4.850933333333325,0.05613310073011395,0.8773175955988464,2.974642857142868,5.614083333333326,2.980483390529426,2006.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,93,-0.17471944095331418,-1.295000000000016,-0.618611111111079,-2.895999999999958,0.007380952380953788,0.5321693121693253,1.1612380952381045,1.3401666666666756,1.470531852091856,2006.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,308,0.31107949391877915,-3.8914761904761974,-1.1125873015873096,-5.643333333333345,0.01776851851851862,1.7409835600906935,5.3883750000000035,6.807000000000016,3.7583132213157278,2006.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,88,0.0680480248917761,-0.669613095238077,-0.1712878787878651,-1.5622222222222035,0.047829365079373076,0.50288888888889,0.9608888888889169,1.2082954545454783,0.7793486702132117,2006.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,93,-0.18616517323775872,-2.215000000000032,-0.3292499999999947,-3.9599999999999795,0.02361385836385265,0.5277095238095058,1.0233333333333121,2.1100000000000136,2.291115647179661,2006.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_0,574,0.06772188095489481,-1.2979484126983962,-0.32263338744588843,-2.080309523809518,0.014213378372470189,0.43792209690893236,1.43212532467532,2.0747777777777685,1.5373744526046327,2007.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_1,95,0.0942491683754859,-0.7911111111110927,-0.1088749999999834,-1.3815555555555648,0.04625000000001478,0.32678571428569586,0.6700396825396808,1.5714285714285552,0.7929212181697979,2007.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_2,304,0.034812470333028145,-1.9456249999999926,-0.4907142006802737,-2.799999999999997,0.008659617180205715,0.44553571428570393,1.9290555555555546,3.119999999999976,1.9813371915766835,2007.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_3,90,0.2173479116562422,-0.9291706349206379,-0.16473809523808805,-1.2885714285714016,0.027285466269848513,0.7715476190476144,1.454090909090894,1.7114285714285415,0.8631326435388608,2007.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_4,94,0.04662754060360927,-0.6727691197691144,-0.20697727272729102,-0.9470462962962927,0.002151875901877144,0.3088888888888732,0.9809999999999945,1.3972222222222683,0.6847146039987616,2007.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_0,574,-0.09785880897074409,-2.3713968253968196,-0.6209168136390354,-4.098333333333358,0.057379146316647006,0.6097284226190443,1.6552477954144535,3.0825000000000102,2.3465154443064855,2008.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_1,95,0.09398738512948686,-1.168750000000017,-0.21250000000000568,-2.516999999999996,0.007869047619044929,0.6492142857142766,1.32000000000005,1.568333333333328,1.1824359161154485,2008.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_2,305,-0.29461757741347977,-3.9259999999999877,-1.1039788359788265,-5.654999999999987,0.0320694677871158,0.5749428571428581,2.3338888888888882,4.435000000000002,3.0452555058466437,2008.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_3,90,0.2905676366843033,-0.6866964285714232,-0.134055555555553,-1.2271428571428373,0.15788359788361578,0.5180000000000149,1.2746785714285664,1.6628571428571206,1.0472017382759895,2008.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_4,93,0.06004650964328103,-0.9472380952381627,-0.21375000000000455,-1.7083333333333144,0.011737179487176683,0.46567658730160133,1.050773809523804,1.4129999999999825,1.0729036728634187,2008.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_0,576,0.04027668049543223,-1.6908373015872893,-0.4367791348862795,-3.2930714285714373,0.017756339314808606,0.43473058390022806,1.9210535714285772,3.3206111111110963,2.204015698847563,2009.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_1,95,-0.04926752107541185,-1.0244444444444412,-0.41224913419912357,-1.2239285714285444,0.014261463844803757,0.28680555555556,0.569424603174582,1.186666666666639,0.8931714324863809,2009.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_2,306,-0.027425744371820993,-3.166111111111102,-0.9628499999999803,-4.303500000000014,0.01180860805860799,0.7994444444444563,3.2068333333333428,4.2860714285714225,2.8470676113792286,2009.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_3,90,0.4033403960237286,-0.47062698412700854,-0.10088095238095321,-0.9115873015872845,0.16735119047621083,0.7393333333332919,1.7012235449735535,1.9071428571428442,1.2155011182379554,2009.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_4,94,0.05055298041202452,-0.9285238095237958,-0.4747702020202098,-1.135238095238094,0.017305555555559238,0.4580000000000079,0.8070535714285825,1.4466666666667152,1.0518784155771466,2009.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_0,564,0.12198430352153793,-2.290589285714276,-0.5664121315192736,-3.538666666666662,0.01634963924964061,0.6877666666666613,2.55844047619046,4.044166666666665,2.467027337637581,2010.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_1,90,-0.025469929453262492,-1.7505000000000024,-0.5242261904762415,-2.1474999999999795,0.013631257631260496,0.46895833333332604,1.7345714285714564,2.1899999999999977,1.476628398794228,2010.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_2,303,0.1509130913091309,-3.1899999999999977,-1.0269999999999868,-4.147000000000048,0.00649765258216036,1.0579166666666602,3.6712222222222315,5.302222222222213,3.1249421437895526,2010.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_3,84,0.3440402064866343,-0.8494642857142765,-0.2556190476190423,-1.0509999999999877,0.12094576719576366,0.5763244047619267,1.589999999999975,2.797499999999957,1.1622357957769334,2010.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_4,93,-0.063028503157533,-1.2091666666666612,-0.32533333333333303,-1.669666666666662,0.0014166666666639571,0.5844444444444244,1.1440000000000055,1.8754999999999882,1.314794572870104,2010.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_0,565,0.17729898351402748,-1.9221190476190428,-0.28049755962991063,-3.0479166666666657,0.016763871330242566,0.565321145124708,2.302333333333344,4.043208333333332,2.2553146357895244,2011.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_1,92,-0.0325499560825672,-0.715333333333362,-0.26954805194806114,-0.9732765151515252,0.004821428571425201,0.3572222222222308,0.8728571428571286,1.2863888888888937,1.1666847756932859,2011.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_2,302,0.21833385654081022,-2.826678571428573,-0.9482916666666696,-4.382999999999981,0.010893835616437326,1.0798750000000084,4.043208333333332,5.455666666666673,2.911580743853542,2011.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_3,84,0.23692706400742414,-0.3199999999999932,-0.0988749999999925,-0.5977777777778215,0.14085416666666362,0.5940843253968353,1.110611111111126,1.636666666666656,0.7391177721852229,2011.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_4,94,0.25257326686315923,-0.6685555555555425,-0.1675111111111164,-1.2542857142857429,0.08814285714285575,0.6170634920634868,1.3281111111111272,1.656000000000006,1.2437365856345721,2011.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_0,562,-0.0678101541597989,-1.3785306122449055,-0.37240724206349657,-3.6258333333333184,0.05778748677248605,0.6289526643990946,1.3642555916305927,2.408583333333335,2.375036979638554,2012.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_1,90,-0.06545859788359899,-0.8762500000000273,-0.41600000000001813,-1.1033333333332962,-0.007857142857147892,0.2991666666666646,0.7559166666666783,1.0352499999999907,0.6760562642842997,2012.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_2,303,-0.12894308240348,-2.6680000000000064,-0.6209761904762068,-5.4466666666666015,0.04518262786596065,0.6132277777777764,1.8936448412698397,4.675999999999988,3.1263293501887377,2012.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_3,82,0.011094674972725108,-0.8160000000000025,-0.38571428571430033,-1.1622222222221978,0.0018849206349216274,0.4766666666666737,0.8247499999999945,1.334285714285727,0.6673556788090793,2012.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_4,94,0.012659125449019976,-0.8116666666666958,-0.407678571428562,-2.4585714285714175,0.007499999999995763,0.6574999999999918,1.0674444444444475,1.3683333333332826,1.2020695312014613,2012.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_0,559,0.0012493243190909921,-2.8597904761904887,-0.8509722222222161,-4.841333333333353,0.043582565284176616,0.5915949328449295,3.1214682539682506,5.001666666666665,3.4417905745383512,2013.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_1,90,-0.2151859788359796,-2.0162619047619046,-0.5928571428571558,-3.02800000000002,0.006865079365076731,0.34089115646258555,1.14908333333333,1.9124999999999943,1.6233697228189126,2013.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
