system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,581,0.11407615558088746,-0.645357142857146,-0.21705128351181643,-1.01964393939393,0.0067295223120706444,0.40745536716370306,0.9637173160173177,1.387121212121201,0.8108230433247424,2005.0,BF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.06286115288220584,-0.4759999999999991,-0.2108531746031872,-0.5672222222222274,0.0,0.3791666666666629,0.7636111111111035,1.162181818181807,0.5509875300918039,2005.0,BF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,310,0.10473261648745254,-0.7775251322751492,-0.15488463718821371,-1.212083333333311,0.0038891063274627256,0.35049603174602834,1.0209999999999961,1.7373333333333392,0.910312975532835,2005.0,BF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.32625670995670647,-0.4654141414141577,-0.13246969696969302,-1.0309090909091196,0.24318001443003112,0.8224469696969834,1.326158249158264,1.5777777777777828,0.8607860700676918,2005.0,BF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.0406095959595982,-0.5460000000000207,-0.258185185185179,-0.8578571428571422,0.0049205447330464835,0.2618333333333567,0.7421818181818196,0.9385714285714357,0.5589705467463689,2005.0,BF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,580,0.04816025588396361,-0.6389005531505537,-0.20114846881512627,-1.0166111111111036,0.0017504876076301131,0.34533676046176254,0.8445447330447422,1.1846212121212147,0.6477800560898483,2006.0,BF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,0.07303827371459246,-0.6423636363636263,-0.19366666666667243,-1.0266666666666708,0.05097222222222797,0.375,0.7828571428571536,1.1499999999999773,0.5902753098525755,2006.0,BF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,309,-0.02047806894651469,-0.7479999999999905,-0.2964698412698567,-1.0132499999999922,0.001969539458975744,0.23553333333331922,0.7628634920634909,1.0816190476190286,0.6630742816474205,2006.0,BF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,0.2568857062690389,-0.6053636363636343,-0.09780618686868792,-0.9606060606060822,0.17854166666668192,0.605044973544968,1.252055555555529,1.4321428571428214,0.7143154430604344,2006.0,BF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,0.08031915774284178,-0.4900000000000091,-0.20622222222220898,-0.6428571428571388,0.00220486111111029,0.4333333333333371,0.6906363636364006,1.057777777777801,0.5420957207247449,2006.0,BF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
