system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1508,0.07711514051321543,-1.5932781570387533,-0.5221819672957344,-2.166366284300473,0.002390515664186997,0.718429844812039,1.7197358529463378,2.3458542466919465,1.3382824843448076,2005.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.41744377889209855,-0.28689655172414064,-0.1127999999999929,-1.1133684210526553,0.3910688405796918,1.0443478260869483,1.4153913043477928,1.72717820512824,0.7632632753655015,2005.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1413,0.07114400352848856,-1.5932781570387533,-0.58889967527097,-2.166366284300473,0.0021812374087782794,0.7197110734362162,1.7175558112981548,2.3458542466919465,1.3573412842492536,2005.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,0.11475433760039908,-0.36323529411765776,-0.21085176651303073,-0.7172207792208098,0.0,0.30697478991595517,0.8781704781704889,1.617705627705618,0.8423358286215711,2005.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,-0.12854258968640087,-2.072750000000042,-1.0608730158730282,-2.479405034324941,-0.23510769230770734,1.1826785714286245,1.6125000000000114,2.1150700280111607,1.350034286601753,2005.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1500,0.008633845266888802,-1.6517876178049624,-0.7231395822978579,-2.3721460040831537,0.0035246455699256525,0.6487188948839102,1.588405822981045,2.366204778090146,1.3919482942582047,2006.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,0.08649259699412017,-0.8463768115942116,-0.49231884057974185,-1.7277380952381236,0.015767973856185336,0.7378322580644863,1.153483709273189,1.3200499999999806,0.8714226208310233,2006.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1405,-0.008769244914960707,-1.6517876178049624,-0.7222303870491373,-2.392057611346808,0.0030088133772929217,0.6477216840948241,1.6570189009969007,2.32752007553421,1.402541792153881,2006.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.35418852900565817,-0.23444938820912853,-0.10430303030301502,-0.39823529411768277,0.1600326797385776,0.3708441558441393,0.7749810606060805,1.8437128612128504,1.0543970853100144,2006.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,0.37763658639946496,-1.305555555555543,-0.6329166666666879,-2.4768888888888796,0.397777777777776,1.4023611111110768,2.529647058823514,3.058823529411768,1.5501132749271327,2006.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1496,0.04818490662447827,-1.477007161037852,-0.5243995149652434,-2.0312924371816337,0.0035880561323174453,0.6570378570675786,1.5940912845403752,2.3453941788231325,1.3068773396995519,2007.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,0.13141714571334767,-0.3809185185185129,-0.2869372294372283,-0.47820634920634575,0.0,0.5529333333333568,0.7238186813186758,1.2643333333332976,0.5143508441980956,2007.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1401,0.04074573359558162,-1.5192359885800784,-0.5232755275252211,-2.0312924371816337,0.003493982657650751,0.7280592686263241,1.5920885611425633,2.4110636951112205,1.3292198152843602,2007.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,-0.13068934841650406,-0.7449610678531258,-0.27688508064514394,-0.9287867177522457,0.0,0.2338529990587972,0.4644572158365179,1.056835522201368,1.0127841255431347,2007.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.5405951784482402,-0.5536231884058225,-0.09357528957525574,-0.7152980895915277,0.30478461538461943,1.045454545454561,1.9136340852130047,2.2811000000000377,0.9725813012503288,2007.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1490,0.08368572574014864,-1.2793265944344856,-0.5320029006658462,-1.852608647167699,0.002647652212343818,0.6533426847692918,1.5232396825921688,2.279044817402723,1.2549047656463306,2008.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,31,0.4182714419488146,-0.31671212121213443,-0.19043478260874735,-0.33631578947370144,0.09238095238094957,0.8292368421052458,1.5767857142857338,2.0874840357598714,0.822581761186667,2008.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1395,0.07910101387264878,-1.3537416386435308,-0.5942810387635103,-1.9241597925101246,0.0026648812527887665,0.6533426847692918,1.5242466166004007,2.3568434801799527,1.2697131522265914,2008.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,35,0.05096358295981044,-0.49065120065120027,-0.14723581757507986,-0.8145238095237914,0.06925096525094432,0.4096396396396358,0.7305591397849867,1.3980869565217802,0.8077939110872391,2008.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,31,0.055006207239360505,-1.1913875598086179,-0.4270879120879272,-2.6999999999999886,0.00950089126564535,1.1758370927318254,1.5151842105263142,1.6801778656126203,1.2975965489796457,2008.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1490,-0.017972491532821926,-1.5336220131628058,-0.5976927734029592,-2.1539446928051063,0.0039370824801345594,0.5869279655413845,1.4680175272505411,2.0315397975061154,1.2484694588168868,2009.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,31,0.20105179995021577,-1.4355555555555384,-0.5514565004887118,-1.7618614718614367,0.32388333333335595,0.9790640394088541,1.6450757575757393,1.8840909090909577,1.1047153259280469,2009.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_2,1394,-0.01715900415826499,-1.5336220131628058,-0.6550821314101588,-2.1539446928051063,0.0037490101574349983,0.5864048729187444,1.526707467777321,2.0315397975061154,1.25259199068958,2009.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_3,36,-0.14640185875754716,-0.5615476190476443,-0.2228596491227961,-1.2719354838710046,0.0,0.3295669118227096,0.9303193277311266,1.0645105820105982,1.3934363158218812,2009.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_4,31,-0.15917753516143948,-1.3677777777777749,-0.7487134502923709,-1.6523809523809518,-0.14902608695655317,0.28294444444446754,0.7834085213032154,1.6285606060606028,0.9053195601160579,2009.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_0,1480,-0.07198210727829733,-1.9118721668590384,-0.7799468055204984,-2.5191079844245414,0.003169170711415386,0.6645046926844534,1.660727050692735,2.282296091983714,1.4577345313431826,2010.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_1,31,0.2134192421944403,-0.5323052464228795,-0.24873626373624802,-0.9237613073903503,0.04212918660286391,0.8052329749103819,1.2324444444444111,1.324150326797394,0.6965803300862377,2010.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_2,1385,-0.08966040509726282,-1.9118721668590384,-0.7799468055204984,-2.593643518879117,0.002615160063132283,0.5892082229203096,1.659884055301164,2.345951237161529,1.462726907729702,2010.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_3,35,-0.030651074711857972,-0.5216208791208601,-0.11536036036034147,-2.432517482517426,0.007924731182811229,0.429717850776683,1.2137915057915052,1.3394285714285843,1.3045600389800982,2010.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_4,31,0.46089441857055874,-1.234258373205705,-0.35447368421051806,-2.898588235294085,0.14631578947370372,1.602954545454537,2.1781302521008286,3.05896103896103,1.779172937719851,2010.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_0,1476,0.0064102198891052686,-1.5949226081337713,-0.5965516241253453,-2.2771445595093667,0.0025657797239770253,0.5900979267822409,1.588366945734213,2.27762256568721,1.3500215759180696,2011.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_1,31,0.2628578626991333,-0.20843697478989043,-0.04030036630035738,-0.2644571428571112,0.20670588235299192,0.5583063427800141,0.8615561076604195,1.1323593073593088,0.5105602659809755,2011.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_2,1382,-0.0023388536175359322,-1.6537221550236154,-0.6595643096763373,-2.2771445595093667,0.0023780474301457783,0.6624524513639793,1.5854436403076364,2.27762256568721,1.3820143287014122,2011.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_3,35,0.1998608712535112,-0.2655000000000314,-0.1640073529411552,-0.28032142857142617,0.0,0.30101724900481486,0.9871092436974891,1.460517241379307,0.6864232528942203,2011.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_4,30,-0.039928790506752423,-1.170719696969698,-0.745000000000033,-1.5235384904949854,-0.0972368161250472,0.5361666666666736,1.4335324302134467,1.6175999999999817,0.9054669132637442,2011.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_0,1473,0.031086486189989423,-1.7213133299635786,-0.5917737764536612,-2.4727860841306284,0.0026506655064581805,0.7281249739504797,1.7201927009847395,2.3495242275698103,1.444821135084727,2012.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_1,31,0.2342310458173758,-0.40873626373627303,-0.20625000000001137,-0.6894861660078959,0.2985982142857324,0.7436652173913103,1.0194235588972163,1.3469259962049023,0.7754014724631105,2012.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_2,1379,0.023504319496743416,-1.7798518425156746,-0.5916327372561028,-2.4727860841306284,0.0022582675485376515,0.726182024587852,1.782780557162127,2.4032500233693668,1.4743983972438246,2012.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_3,35,0.12321909305527226,-0.37851605758578444,-0.22354196301569118,-0.594594560404829,0.0,0.41128205128205764,0.9227811447811689,1.008935483870971,0.5226943189062894,2012.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_4,30,0.15012642670859958,-1.3620300751879597,-0.38446115288220994,-2.2973684210526244,0.16532407407406424,1.044659259259305,1.8283557886557986,1.9072727272727548,1.3002646108252245,2012.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_0,1467,0.01697189261102953,-1.4721930603928186,-0.5289762809847233,-2.094909219510891,0.002591082809413969,0.5313180224112243,1.4613349802253264,2.0921134754755,1.298102203782208,2013.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_1,31,0.13454704145342128,-0.6477500000000305,-0.37145459474109543,-1.0930952380952306,0.00827586206895603,0.4123076923077065,1.0375438596491335,2.032706552706543,0.757807558107535,2013.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_2,1373,0.007907313711532018,-1.4699711579805188,-0.5889652057939008,-2.094909219510891,0.0024253447601369853,0.5313180224112243,1.4588701675385807,2.162665290677694,1.3161854812446205,2013.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_3,35,0.1699144337877986,-0.3387912087912355,-0.16688587848932457,-1.3330268199234183,0.0,0.396810035842293,1.1135794871794928,1.4873180873181013,0.813264477610236,2013.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_4,30,0.18052914636824938,-1.5344281045751842,-0.5414285714285825,-2.0241666666667015,0.0,0.9032306501547964,1.545486606541914,1.6959999999999695,1.3163375322999695,2013.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_0,1463,0.009807518425321106,-1.3299462566729972,-0.5351198272402035,-2.0264542168897646,0.00212206365282209,0.5958989878702107,1.4744835042539282,1.9075644258332767,1.1662901297586623,2014.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_1,31,0.3136752502351673,-0.25164502164503233,-0.08246212121210306,-0.5803985507246807,0.3392619047619121,0.5430039525691939,0.93841191066997,1.0833333333333144,0.586255122812527,2014.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_2,1369,1.6250438883943407E-4,-1.405699539159091,-0.533900213903211,-2.0921280992819753,0.0018939810163553555,0.596748945698136,1.4744835042539282,1.9090986461943857,1.1908643797522371,2014.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_3,35,0.08659744803757284,-0.5607317073170464,-0.007361853832435372,-1.0071764705882345,0.045291005291005604,0.32280701754382335,0.48863636363634555,1.0657306501548192,0.5192464247150299,2014.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_4,30,0.06437402808838992,-0.9053309523809787,-0.4221833333333507,-1.5527272727272816,0.0,0.5755000000000052,1.3365265567765334,1.7341904761904061,0.9193843191143697,2014.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_MF_0,1461,0.028709561244982532,-1.1561864655059704,-0.4729935299654689,-1.606437011961333,0.003786619536934315,0.4613069824202774,1.2860637774953843,1.7795398948654793,1.0006831414894999,2015.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
