system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1483,0.016999266822935233,-3.1908444444444437,-1.0766388888888823,-4.822599999999994,0.011607780840096105,1.054424999999999,3.175416666666669,4.678733333333315,2.8057944697301447,2005.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.18469969278033574,-1.3109999999999786,-0.3527777777777601,-1.731428571428637,0.08000000000004093,1.0170000000000528,1.5391666666666879,1.7579999999999814,0.9910542973216526,2005.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1388,1.1647454370807194E-4,-3.3247333333333358,-1.1911879699248102,-4.943156084656092,0.011039522206188736,1.0563627450980362,3.435537037037035,4.794222222222231,2.8749509550267693,2005.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,0.26489773242630577,-1.1552777777777692,-0.18500000000000227,-1.4066666666666947,0.0,0.5400000000000205,1.6550000000000011,2.418571428571397,1.5749908355825506,2005.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.3669398361495186,-1.3433333333333621,-0.5699999999999932,-2.3713333333333253,0.5337500000000261,1.4135714285714585,2.1699999999999875,3.126666666666722,1.602637779971006,2005.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1493,3.2670983106313986E-4,-4.400248792270532,-1.862144557823132,-6.410670634920645,0.020895909645909174,1.6262509157509146,4.35596666666666,6.89583333333333,3.943614851886796,2006.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,30,0.03677579365078998,-2.734000000000023,-0.710000000000008,-3.5608333333333064,-0.01099999999999568,1.1619166666666558,2.134999999999991,3.669166666666655,1.9614659688889937,2006.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1401,-0.011011236305133811,-4.644380952380975,-1.8593095238095265,-6.575000000000013,0.019746259652509302,1.8622933947772637,4.598134615384617,6.89583333333333,4.034855177532476,2006.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.23597709750566764,-0.44249999999999545,-0.02199999999999136,-0.9300000000000068,0.1559999999999775,0.5199999999999818,1.091111111111104,1.301666666666705,0.5980317028309372,2006.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,29,0.26159934318555095,-4.460000000000036,-1.2133333333333383,-5.389999999999986,0.0,1.0563333333332992,3.986666666666679,4.933333333333337,3.107044946195726,2006.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1472,-0.1750896266135747,-2.8116460317460357,-0.9926045403009741,-4.316544642857142,0.009734265818356607,0.5599016182230501,2.18200432900433,3.948521164021173,2.4744405732034838,2007.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,0.06261769771447234,-0.7813333333332935,-0.39800000000002456,-1.4038888888889574,-0.03499999999999659,0.6100000000000136,0.9977777777777419,1.402499999999975,0.8549969276116077,2007.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1377,-0.19994510857092646,-2.9229047619047646,-1.0684569160997774,-4.316544642857142,0.008781199124948959,0.5583427128427169,2.324104166666654,3.948521164021173,2.543036271887204,2007.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,0.02559656771799155,-0.7527272727273271,-0.14857142857141525,-1.5625,0.0,0.1875,0.7058928571428567,1.4302857142857306,0.8586593048722726,2007.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.49262990504119064,-0.8193333333333044,0.0,-1.6676190476190413,0.43428571428569285,1.0836363636363444,1.6866666666667243,2.1399999999999864,1.1974220678175682,2007.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1478,0.07564514588178246,-3.0706751700680264,-0.6243398268398237,-4.914078571428564,0.03135259856630691,1.091816760037349,3.1175350140056017,4.632611111111113,2.9221646450226286,2008.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,30,0.36174550264550476,-0.2473333333333585,-0.01066666666662286,-0.25933333333333053,0.08232142857144709,0.7166071428571286,1.7561428571428763,2.2099999999999795,1.0020944401796967,2008.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1386,0.06759654210628159,-3.0706751700680264,-0.85045679012346,-4.914078571428564,0.03036186371100058,1.0897363163656275,3.3936515151515114,4.865541666666676,3.007280558428872,2008.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,34,0.00817390289449219,-0.8166666666666629,-0.2685714285714198,-1.918571428571397,0.0,0.3149999999999977,0.9379999999999882,1.3973214285714164,0.8192525073596393,2008.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,30,0.23196944444444037,-1.1493333333333453,-0.020000000000038654,-1.689333333333309,0.2538333333333327,0.8379999999999939,1.2566666666666748,1.9720000000000084,0.9957465621153303,2008.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1487,-0.12721631605710115,-3.6983809523809668,-1.1904686716791932,-5.191960317460324,0.008372033503955607,1.0687767489711935,3.0578690476190453,4.598166666666657,2.9032083874138754,2009.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,30,0.22111286676287137,-0.5303472222222325,-0.25285714285715244,-0.721071428571463,0.0,0.7556944444444582,1.3425238095238257,1.5807142857142935,0.6963413900735421,2009.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
