system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1506,0.09807631067840222,-0.7805892857142865,-0.22130657596372316,-1.289404761904758,0.004456287363429856,0.4730112117414776,1.145460317460324,1.656916666666665,1.027329380541586,2005.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.2678957315086312,-0.5364393939393892,0.0,-0.9953571428571877,0.20202020202020776,0.6542857142856917,1.122857142857157,1.3959999999999582,0.6685012111237961,2005.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1412,0.08912571051469775,-0.7805892857142865,-0.22121428571428894,-1.3430666666666695,0.0041448015873012875,0.4736961951447281,1.1420714285714308,1.656916666666665,1.0474728289857493,2005.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,34,0.24772300738477782,-0.3658888888888896,-0.1074999999999875,-0.6086111111110881,0.0,0.4836363636363501,1.1206060606060646,1.7699999999999818,0.6679362527259795,2005.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.2135058651026336,-0.6385714285714528,-0.09333333333336213,-0.7428571428571331,0.05984848484843042,0.5485714285714494,1.0167857142857315,1.3400000000000318,0.5829957099272294,2005.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1500,0.08600153535353529,-0.6554439484126995,-0.21945787595341923,-1.025609523809527,0.004966281793842375,0.344685262994084,0.9099370748299245,1.2841560846560942,0.7016142420273018,2006.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,0.28151998091513797,-0.36000000000001364,-0.14285714285716722,-0.8652380952381122,0.13969696969695633,0.5366666666666902,0.8633333333333155,1.636666666666656,0.7213713308252362,2006.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1405,0.07521033004164658,-0.656473544973547,-0.21939417081870635,-1.025609523809527,0.004712670872765725,0.34450686177248296,0.842855291005291,1.2286210317460373,0.6912733393747801,2006.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.2985412492269664,-0.2745454545454322,-0.1009090909090844,-0.4219999999999686,0.040000000000020464,0.5713131313131043,1.1563636363636647,1.8800000000000523,0.6321846116933142,2006.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,0.17635061443932945,-1.3466666666666924,-0.3233333333333235,-1.8519999999999754,0.07720238095242848,0.978999999999985,1.3500000000000227,1.8400000000000318,1.0558246296605187,2006.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1496,0.10120402964904933,-0.8326719576719578,-0.21239909297052456,-1.3438333333333543,0.004840052041974839,0.46676538551539226,1.0974230769230842,1.6584503968253823,0.9359890515057423,2007.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,0.26575343294697973,-0.21522222222225196,-0.09199999999998454,-0.5653333333333421,0.1281818181818437,0.4849999999999852,0.824444444444481,1.4846666666666408,0.6149849450611394,2007.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1401,0.09519832257519593,-0.9076839826839876,-0.212294532627868,-1.3438333333333543,0.004567411174995753,0.3999010989010958,1.1644166666666738,1.717716666666672,0.9545962045856484,2007.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,0.08805969903112977,-0.5925000000000011,-0.18666666666666742,-1.1045454545454163,0.03572727272725729,0.32600000000002183,0.9499999999999886,1.3144444444444616,0.6286767877025143,2007.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.2177558883768491,-0.17333333333334622,-0.11000000000001364,-0.6006666666666547,0.20142857142857906,0.6178571428571331,0.9374999999999716,1.1163333333333298,0.5315637678732995,2007.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1485,0.09213366323164293,-0.9071944444444403,-0.2766177606177578,-1.410174603174596,0.004104079861111743,0.46411706349206505,1.0933802521008347,1.7117619047619104,0.9487786536597754,2008.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,31,0.3900272424707931,-0.4416666666666629,-0.29133333333328437,-0.7547619047619492,0.2480952380952317,0.701761904761895,1.4432142857143049,2.4888095238095502,0.9100235649824415,2008.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1390,0.08301136752935294,-0.969361904761909,-0.2765578231292498,-1.4588333333333472,0.004101641414142033,0.39949149659864347,1.0933802521008347,1.7842653061224578,0.9567664662425195,2008.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,35,-0.02242336631622623,-0.7567857142857406,-0.20363636363634896,-1.5009999999999764,0.0,0.45291666666665265,0.9469696969696884,1.0230909090908824,0.8708964579463867,2008.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,31,0.33536480007448277,-0.19727272727271838,-0.028571428571410706,-0.5014285714285336,0.2595238095237846,0.7886363636363569,1.0564285714286257,1.1449999999999818,0.5028915181758531,2008.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1485,0.08075256460711058,-0.9106703296703245,-0.28064213564213725,-1.2840208333333365,0.004163913690475596,0.4030477660199907,1.0381285103785143,1.59554931972789,0.9099323881733433,2009.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,31,0.03696955732440375,-0.5118181818181711,-0.2971428571428305,-0.94399999999996,-0.009999999999990905,0.2048181818181547,0.745000000000033,1.4932142857142594,0.5577991164625387,2009.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_2,1391,0.07222237860789309,-0.9106703296703245,-0.2780083655083681,-1.3304360119047516,0.004129396202925046,0.4030477660199907,1.036560515873023,1.59554931972789,0.9268844121250854,2009.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_3,34,0.20165262923350974,-0.2777777777778283,-0.1430000000000291,-0.4233333333333462,0.0,0.5300000000000296,0.9696363636363685,1.2854545454545132,0.5243475602884147,2009.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_4,31,0.3946177675371178,-0.17047619047616536,-0.005000000000052296,-0.6359999999999957,0.16433333333330324,0.8120000000000118,1.3466666666666356,1.7333333333333485,0.6449288009601704,2009.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_0,1479,0.0793756406428814,-0.7322952380952416,-0.23288256188256293,-1.1386444444444463,0.0015441509526254523,0.4178831168831157,0.9534476190476255,1.323350000000005,0.7456408049957812,2010.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_1,31,0.3215558464832644,-0.4959999999999809,-0.29636363636365104,-1.0625,0.0028571428571240176,0.9150000000000205,1.7938095238095002,2.170000000000016,1.0091312875174743,2010.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_2,1385,0.06933429681028877,-0.7669497354497518,-0.26557341269842105,-1.1386444444444463,0.0015120043238317769,0.41887249114521874,0.9534476190476255,1.3257500000000135,0.7477963508322404,2010.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_3,34,0.19202376708259172,-0.2639999999999816,-0.02600000000001046,-0.6000000000000227,0.07650000000001,0.4709090909090605,0.879666666666651,1.170000000000016,0.5065469363151872,2010.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_4,31,0.18880748731555833,-0.22833333333332462,-0.07800000000000296,-0.32095238095240575,0.0,0.4787500000000193,1.0074999999999932,1.0170000000000243,0.42588841666214927,2010.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_0,1471,0.04703792293136282,-0.9391351851851785,-0.30974089363018,-1.5607407407407519,0.013696456400741519,0.43963900560224334,1.072800070028011,1.6712738095238149,1.0530667647494958,2011.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_1,31,0.3028824419308267,-0.49555555555554065,0.0,-0.8063434343434324,0.3016666666666481,0.6719999999999686,1.024000000000001,1.2491666666666674,0.6993658839370847,2011.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_2,1378,0.03764266446341916,-1.0603539682539662,-0.3078777571634726,-1.5607407407407519,0.012295845997972876,0.440406376109768,1.0732779017857137,1.6712738095238149,1.0763748870805985,2011.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_3,34,0.14822169170699173,-0.4563636363636192,-0.3060714285713857,-1.2436904761904657,0.09678571428571558,0.4611111111111086,0.9000000000000341,1.1063095238095286,0.6319078173415389,2011.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_4,30,0.12686237373737488,-0.3644761904762106,-0.06099999999997863,-0.4068571428571772,0.08483333333334997,0.4159999999999968,0.7474285714285713,0.8050000000000352,0.35995136802921746,2011.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_0,1441,0.08242011244596337,-0.9801862745098082,-0.2805183360700586,-1.5332083333333415,0.0035554723054725987,0.4662377875392598,1.1561558441558448,1.7605000000000075,1.0400961613513615,2012.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_1,31,0.4237247823860723,-0.07045454545453822,0.0,-0.21277777777777374,0.32226190476188776,0.7522222222222013,0.8466666666666924,1.953333333333319,0.657309729233763,2012.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_2,1348,0.06740956620036818,-0.9789479166666712,-0.28251037851037847,-1.5972222222222474,0.003404193076548219,0.46536206896551896,1.212658333333333,1.840000000000013,1.0622053120752124,2012.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_3,34,0.3137705733808711,-0.4348484848484304,-0.011249999999989768,-0.5699999999999932,0.188818181818192,0.7206666666666592,0.9730909090908995,1.4316666666666436,0.5578160920067751,2012.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_4,30,0.20146137566137648,-0.47940476190476033,-0.14714285714288167,-0.8577777777778124,0.08200000000002206,0.6055555555555543,1.0452222222222076,1.1960000000000548,0.5629681810261048,2012.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_0,1463,0.03828029316699873,-0.6622870370370395,-0.279894036894035,-1.0808359788359827,0.006945294258704923,0.3434924704924742,0.7744069940476184,1.1628202861952939,0.7137939671084268,2013.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_1,31,0.16599109761205916,-0.3641666666666765,-0.21749999999997272,-0.603333333333353,0.0,0.5707142857143026,0.9119047619047365,1.5579999999999927,0.622267074326807,2013.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_2,1372,0.029056333061982027,-0.6622300000000007,-0.27934376417233253,-1.0808359788359827,0.006818131225143068,0.2805127187627174,0.7771794217687074,1.1628202861952939,0.711209464837874,2013.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_3,35,0.20800876108018868,-0.43166666666667197,-0.1165454545454736,-0.7750000000000341,0.08400000000000318,0.5767424242424113,1.0463636363636795,1.5676363636363817,0.7117657847969625,2013.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_4,27,0.2182911255411284,-0.7268181818181461,-0.4058333333333053,-1.5,0.025000000000005684,0.7599999999999909,1.8166666666666913,1.8249999999999886,0.9117765684636489,2013.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_0,1458,0.07041276546574878,-0.9695017006802809,-0.28183140933141415,-1.467780423280421,0.00360103578154425,0.47169603174602687,1.160599999999991,1.7247777777777695,0.982375382539571,2014.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_1,31,0.25572657450076747,-0.48428571428573264,0.0,-0.8930555555555202,0.2806944444444355,0.6806666666666672,0.8940000000000055,1.2099999999999795,0.5793729552964691,2014.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_2,1365,0.06089090380518944,-0.9694633699633817,-0.3389632653061166,-1.5078888888888855,0.0034788595153363118,0.47223620559334123,1.160599999999991,1.7247777777777695,1.003643215671174,2014.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_3,34,0.1773630315762631,-0.5876363636363635,-0.12000000000000455,-0.648333333333369,0.120763888888888,0.4242222222222267,0.9325454545454477,1.4657142857142844,0.5376583240213996,2014.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_4,30,0.2357818903318891,-0.5084642857142967,-0.19166666666671972,-0.6680000000000064,0.22152777777776578,0.6213333333333253,1.0223809523809422,1.3165714285714216,0.5920425829795407,2014.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_MF_0,1460,0.024968048637055665,-0.7038507696007501,-0.2334810606060658,-1.0947083333333425,0.001962785218254037,0.29758435545935075,0.795396081349212,1.091547799422806,0.6619720616867988,2015.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
