system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1492,-0.0446604475915798,-1.5649611111111086,-0.5572328605200929,-2.2030888888888795,0.013622271500512713,0.4428308531746061,1.4325119047619046,2.0695999999999857,1.4170288870515577,2005.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,29,0.2667775041050896,-0.615888888888918,-0.15111111111113473,-1.4733333333333576,0.0,0.2585714285714289,1.1399999999999864,1.5533333333333417,1.6124345197318093,2005.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1407,-0.042173570920905,-1.4326977513227532,-0.5552532299741587,-2.203061728395053,0.011653270728580266,0.4431109422492426,1.4327901234567895,2.0695999999999857,1.3411822412877057,2005.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,33,0.3591650159604664,-0.40490909090908644,-0.04266666666666197,-0.43933333333333735,0.02476190476187412,0.1010909090909422,0.5822727272727093,3.111666666666622,1.4552993529150855,2005.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,25,-1.0029333333333363,-5.524999999999977,-2.559999999999974,-5.639999999999986,-0.17000000000001592,1.2799999999999727,1.7300000000000182,2.646666666666647,3.4138174552512,2005.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1493,0.007628814457850395,-1.7210018939393912,-0.5945001587301629,-2.539357142857146,0.003602937710438141,0.5951836875246037,1.7162694444444468,2.527201058201058,1.5301919353242346,2006.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,30,0.1062857623857648,-0.644166666666635,-0.01914285714283892,-0.804523809523829,0.011666666666656056,0.3114285714285643,0.8052976190476215,1.0139999999999816,0.4926562642578404,2006.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1401,-0.0021993844841808633,-1.7848322751322845,-0.6557321428571431,-2.539357142857146,0.00259969886299678,0.6542338789682631,1.7757857142857176,2.61099047619046,1.5706353249063127,2006.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,-0.10886673881673313,-0.5649999999999977,-0.2556060606060555,-1.0877500000000282,-0.007499999999993179,0.064166666666722,0.2610000000000241,0.792666666666662,0.4420292787738921,2006.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,29,0.5145998905309278,-0.33499999999997954,0.01500000000001478,-0.3523809523809689,0.28444444444443207,0.8366666666667015,1.6100000000000136,1.8033333333333417,0.7747024381019659,2006.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1489,-0.006575849883270979,-0.974635154061621,-0.34003414786967384,-1.46198571428572,0.004301194161875953,0.34322636300897513,0.971269179894179,1.4684570707070774,0.9697652580412757,2007.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,-0.08873011218171571,-0.880952380952408,-0.27600000000001046,-2.0600000000000023,0.008571428571428896,0.25,0.4566666666667061,0.811071428571438,0.9150573271461027,2007.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1394,0.0010720499212247307,-0.974635154061621,-0.3394682539682538,-1.46198571428572,0.003889498391950051,0.40326152073732885,0.971269179894179,1.4687808641975362,0.9601508462681275,2007.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,-0.055415605029894066,-0.7524999999999977,-0.15190476190471713,-1.3133333333333326,0.0,0.08911111111109449,0.4619999999999891,0.6436363636363467,0.46685253789109143,2007.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,-0.17160138248847406,-1.9091666666666356,-0.8759999999999764,-3.1333333333333258,0.08333333333337123,0.8500000000000227,1.4540000000000077,1.60833333333332,1.6241004776021977,2007.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1481,-0.09065902684606258,-1.4353496240601538,-0.5584912240537315,-2.0656666666666683,0.013440812679848198,0.43927296521445186,1.1955269423558907,1.9379672701036375,1.3467359010591946,2008.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,30,-0.09773796296296287,-1.4920833333333547,-0.5185000000000173,-2.0200000000000387,-0.024999999999991473,0.2600000000000193,1.679142857142864,2.129999999999967,1.2490697934355057,2008.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1389,-0.0928887538347582,-1.3056921101774055,-0.5593203538359847,-2.068037037037038,0.012387638949565767,0.43885529100528703,1.1952784391534377,1.7973783068783165,1.316457273345579,2008.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,34,-0.04480940709617568,-0.991428571428628,-0.26166666666665606,-1.7099999999999795,0.0,0.3635119047619355,0.597500000000025,0.9086904761904862,0.6500592270587275,2008.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,30,0.018677777777784853,-2.843749999999986,-0.839999999999975,-4.2900000000000205,-0.019499999999993634,1.2000000000000455,3.4025000000000034,4.909999999999997,2.698471794516755,2008.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1470,-0.006316007008863208,-1.5524514652014672,-0.5570371660859492,-2.442613095238084,0.01059165781807353,0.5574932539682582,1.564573107448112,2.196608843537421,1.5493208748958125,2009.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,28,0.7500132704597006,-1.2849999999999966,-0.6697499999999934,-1.330000000000041,0.0,0.8504318181818178,2.4966666666666697,2.978333333333353,3.572662754118253,2009.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_2,1383,-0.0051690095876638364,-1.5484890873015875,-0.5570371660859492,-2.442613095238084,0.00989377400008684,0.5573890977443628,1.564573107448112,2.056188888888889,1.4478075756309896,2009.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_3,36,-0.18819562690395408,-0.8882539682539345,-0.38855303030304356,-1.6000000000000227,0.0,0.17833333333334167,0.599777777777831,0.9284999999999854,0.9128203170269478,2009.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_4,25,-0.651933333333335,-3.855000000000018,-2.3366666666667015,-5.03000000000003,-0.040000000000020464,1.1866666666666674,2.9000000000000057,3.7433333333333394,2.940787302369522,2009.0,MF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_0,1467,-0.1097752382624571,-1.9230128205128152,-0.6863245250120238,-2.667541666666665,0.009969406495380397,0.5617635387488303,1.5561944444444538,2.2985908289241603,1.580480862827082,2010.0,MF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_1,30,-0.07286904761905268,-1.8579761904762222,-0.13428571428573832,-2.080000000000041,0.0,0.34499999999997044,0.8959920634920309,2.039166666666631,1.0749514343982092,2010.0,MF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_2,1378,-0.10771539519181011,-1.9230128205128152,-0.6852314162028429,-2.667541666666665,0.009506062610229115,0.5605471070148467,1.552163398692818,2.2985908289241603,1.6051915906379146,2010.0,MF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_3,35,-0.08914987631416531,-0.8866666666666561,-0.20738095238095866,-1.5396666666666476,0.0,0.09749999999996817,0.6559999999999491,1.0278571428571013,0.6269427536632238,2010.0,MF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
