system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4898,0.1007875988571374,-1.3175163901705353,-0.4392326217973236,-1.9335815942865455,0.014478744296563319,0.6842774994476459,1.5679375799208386,2.1791661253124275,1.2288986566332858,2005.0,NF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,322,0.04231709263376774,-1.0989215673215882,-0.48251496558997076,-1.6879999999999882,0.00492781053244092,0.47105717281743864,1.1647777777777861,1.723176316738801,1.0571846418143318,2005.0,NF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4123,0.09045573334673353,-1.43010865310587,-0.5622439146055193,-1.9358651064848944,0.012305931785831408,0.6844990443674557,1.5684374498881688,2.3098631357042674,1.2812164186967236,2005.0,NF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,0.23215081690143205,-0.5116807037608737,-0.1650234829205317,-0.7012327419239577,0.1374725899430871,0.585409573139654,1.1995740422251289,1.6230116959064276,0.7361865564631562,2005.0,NF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,12,0.22740805055867477,-1.0776363636363726,-0.718305631868148,-1.392727272727285,-0.21246336996338755,1.3549910873440325,1.5823611111110836,2.683430451127805,1.2169243316079028,2005.0,NF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4878,0.051981896635062044,-1.4631606457180542,-0.5313393044686389,-2.1526504102922606,0.0038505696959849557,0.6611572654611995,1.592682399061987,2.221390191134347,1.3014046696334969,2006.0,NF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,321,0.026930787873976545,-1.2867102564102537,-0.4060794038477861,-1.7472222222222626,0.0017815771590483985,0.539214817346399,1.233388257575733,1.6994642857142708,1.0785048633278966,2006.0,NF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4106,0.03769768455838059,-1.588689442991538,-0.5935669747655441,-2.211252713570514,0.0033093588617975544,0.6607759239816192,1.7170095207045644,2.4101510862094093,1.366721263309966,2006.0,NF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,0.20597400820938666,-0.48280424423005003,-0.14339026742792385,-0.6472467994310117,0.1334803825264359,0.4819745162747561,1.0246330810459128,1.4263043478260613,0.6340181214979423,2006.0,NF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,-0.00677360769890593,-1.5125146198830635,-0.871840861344495,-3.286377622377614,-0.0337147435897549,0.8991862745098302,1.912692307692339,2.816380952380939,1.5303143697061543,2006.0,NF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
