system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4814,0.017063075784253583,-2.6055311688311718,-0.8739886160714262,-3.870970899470894,0.041444300144299936,0.8751961233211222,2.612261693121692,3.858178210678205,2.4751493086022234,2005.0,NF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,301,0.13699198439065627,-0.8430952380952265,-0.22239583333334068,-1.3799999999999955,0.005476190476190571,0.4140178571428592,1.1299999999999955,1.8406666666666638,1.1156404490779634,2005.0,NF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4063,-0.025654315561650032,-3.121833033842468,-1.1315839345839327,-4.3945538302277445,0.03419456920212618,1.121686981214502,2.8678013312851993,4.1213898809523855,2.646856058157437,2005.0,NF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,0.3309283151270896,-0.7727943121693196,-0.2744640522875841,-1.0889285714285393,0.21980346700084546,0.8458143738977052,1.648742063492051,2.2228571428571513,1.0662394569751623,2005.0,NF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,9,-0.2687962962963013,-5.194999999999993,-1.6800000000000068,-5.194999999999993,-0.5558333333333394,1.5650000000000261,5.294999999999959,5.294999999999959,3.1177460774679013,2005.0,NF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4825,0.12290225489536377,-3.883365608465606,-1.1245715294592398,-5.651271911663217,0.031785613475567034,1.374859763402216,4.115677944862154,6.112812030075202,3.58174600965172,2006.0,NF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,286,-0.07215080752580776,-3.0916666666666828,-0.8350000000000174,-4.131111111111096,0.024747023809521807,0.7834338624338701,2.490000000000009,3.950555555555553,2.7218316224093306,2006.0,NF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4089,0.12154390505692805,-4.117796092796094,-1.6228098412698433,-5.887412878787878,0.025699420936852884,1.6201719298245636,4.365927083333336,6.623688405797098,3.80418091963452,2006.0,NF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,0.2800299325953673,-0.6719142857143027,-0.20527777777776918,-1.0232916666666654,0.14833974358973898,0.7675793650793565,1.3911111111111154,1.8493749999999949,0.8801532775027183,2006.0,NF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,11,-0.5356818181818167,-5.740000000000009,-4.269999999999982,-5.819999999999993,-3.0049999999999386,3.028333333333336,5.913333333333355,8.833333333333314,4.628244982545465,2006.0,NF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
