system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8342,0.1398358440122706,-0.6854991307451394,-0.18194258717473138,-1.0700323945717154,0.02624122701114746,0.4364167620855544,1.060838934847495,1.5510638946399853,0.8955821567122543,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,566,0.10025444755480065,-0.7802380952381043,-0.21716973304474152,-1.21562500000001,0.010525449679519077,0.46689661654135767,1.147690476190462,1.57916666666668,0.8965126197238148,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6979,0.12440407033303574,-0.6850781265797175,-0.18187969137240573,-1.0703050030138592,0.02505204260155239,0.43613885525961665,1.0622326839826826,1.5521114718614761,0.9039619801179596,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,663,0.3586110621404757,-0.4745643939393851,-0.09537572150071176,-0.6579053030302973,0.219582491582502,0.7261527777777866,1.4049999999999965,1.89537734487735,0.8161578438305443,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,155,0.09505728482986563,-0.5460000000000207,-0.23175000000001234,-0.882000000000005,0.051452922077913854,0.3499999999999943,0.9366666666666674,1.2439292929292947,0.6541162651223111,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8336,0.11757421200973277,-0.5289813016115505,-0.15696119714495305,-0.8425096553773008,0.00918057001601323,0.40405724570937285,0.8414651417320916,1.2201483333333323,0.6387122468902663,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,567,0.0823670160918858,-0.7317460317460321,-0.2644568452380973,-1.079999999999984,0.003422820335866087,0.42265306122450447,0.8850925925925992,1.3223333333333045,0.7370150912540133,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6973,0.10398625547851136,-0.5288156709956684,-0.1566593493777424,-0.8410426548089558,0.008775971149176963,0.4039509949115198,0.8421380158730171,1.148974920634919,0.6161558461138389,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,662,0.305144991128374,-0.4515555555555636,-0.10785101010101243,-0.6306782106782179,0.1692826221397549,0.6067897426647377,1.236055555555538,1.7650252525252295,0.7208515982558241,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,155,0.07709423032165102,-0.6350634920634851,-0.2920833333333235,-0.9737142857142942,0.00146990740740686,0.509074074074069,1.0020833333333314,1.3063383838384084,0.728695194719253,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8249,0.1280913661842257,-0.7846206349206376,-0.21681789942084093,-1.2189060606060582,0.007634425308289886,0.46593210176632877,1.0943479829349385,1.5959303511303518,0.877391680823268,2007.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,492,0.1155053811928783,-0.7793333333333294,-0.27156845238095667,-1.151342592592594,0.010379797066505422,0.41148101898101486,1.1042705627705687,1.5327499999999787,0.9120343781871433,2007.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_2,6963,0.11832151726949208,-0.8443804815711557,-0.21788104056437446,-1.2822330077330104,0.006851092297294968,0.46643267284542594,1.1548085137085138,1.6575439244663381,0.8976536491617632,2007.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_3,662,0.25158694247176233,-0.38997553456644335,-0.13492094017094194,-0.581727513227523,0.10795183198444114,0.5493308982683835,1.039722222222224,1.4159259259259425,0.6525924610856844,2007.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_4,153,0.14179138961981988,-0.45611111111111313,-0.12719047619050627,-0.7015000000000668,0.08264781746031957,0.42388888888891074,0.7858333333333292,1.1194166666666518,0.576018203613257,2007.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_0,8194,0.11535965943651443,-0.7150592833092848,-0.2187690204532304,-1.2196724386724425,0.007175889859751548,0.467122229130208,1.0916146384479737,1.5307703349282327,0.8643934885053365,2008.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_1,465,0.07377452636968881,-0.7963636363636226,-0.28423487425273414,-1.3853571428571172,0.009580589731906517,0.45702612863326564,1.0767323232323207,1.5920000000000414,1.1658259382909117,2008.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_2,6935,0.11103447629035211,-0.7822026055705256,-0.21812382798080435,-1.2779442176870695,0.006435123140165482,0.46828065396432816,1.09145042935207,1.52925490196079,0.8636634044164245,2008.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_3,662,0.20745208014543445,-0.3880129870129849,-0.10960020270733903,-0.611969696969652,0.11022794612795034,0.45365656565656887,0.9797205387205471,1.363424242424249,0.6546047223847377,2008.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_4,153,0.08486995067387115,-0.5600000000000023,-0.19567171717171541,-0.7214285714285893,0.0,0.43142857142856883,0.7395238095238028,1.056363636363642,0.49756511954206073,2008.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_0,8192,0.09800778541730094,-0.7172522222222233,-0.21838936228461975,-1.158966427669555,0.008088624422951402,0.40380536400669087,0.9726323469890519,1.4655437370600397,0.8745192524783088,2009.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_1,475,0.03816498443077529,-0.8307333333333474,-0.28295897284532534,-1.728333333333353,0.006909388284388317,0.34880288600288906,1.1548333333333147,1.707636363636368,1.1156387276530886,2009.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_2,6927,0.09320659777881513,-0.7799834538767437,-0.21859544999229533,-1.2212527472527408,0.007517283950617585,0.403164931994717,1.0271824688208642,1.4642221254355388,0.8837072284402974,2009.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
