system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8292,-0.005878010603589685,-1.1808188775510202,-0.4399790000286687,-1.8054685941043043,0.024418532779100454,0.4369088180916316,1.1806633471014207,1.8108831719128358,1.2177517885079272,2005.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,561,0.016715771799996098,-0.5909259259259222,-0.21250108225108835,-1.0750000000000028,0.01572347402597444,0.22080113378684213,0.6594166666666581,1.1916666666666629,0.950605561589995,2005.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6962,-0.004674675563033983,-1.3080802422723465,-0.5627974480021909,-1.933689236111104,0.019572244142715443,0.5586249797979795,1.3150273176370122,1.9321984126984075,1.246074645850038,2005.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,652,0.04751053756230101,-0.3340251494537187,-0.0920013798701305,-0.578344155844159,0.09467034022315976,0.27972940630797977,0.5932414622414702,0.7837638888888989,0.7913475728284859,2005.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,136,-0.43869660364145746,-3.289999999999978,-1.1404166666666455,-4.853333333333353,-0.08708333333335361,0.26420833333332894,1.4800000000000182,2.738333333333344,2.2018104410338295,2005.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8308,-0.0018864757086652136,-1.4398867122266024,-0.5597412376779866,-2.177541595804988,0.022172224523819683,0.5608449503893724,1.4354666109856324,2.187810335497832,1.3738758217275375,2006.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,563,8.698184586254075E-5,-0.7396507936507865,-0.2021380952381018,-1.2862500000000239,0.004100174216027077,0.2640838744588727,0.645119047619039,1.0124999999999886,0.6960248011039688,2006.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6955,-0.010124200773266107,-1.5640534936196693,-0.681403715137324,-2.3184186507936504,0.017405423384626147,0.5596446352575809,1.563975056689341,2.4245727155727144,1.467996843581901,2006.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,659,0.06801659232690971,-0.46194444444443167,-0.13849278499278678,-0.6983095238095075,0.047819342493259295,0.29910362023597303,0.6040019240019063,0.831950396825448,0.5133336707411754,2006.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,152,0.06989445678590356,-0.9750000000000227,-0.21218412698414113,-1.6533333333333076,0.01946679197995512,0.3390158730158848,0.9932738095238278,1.6100000000000136,1.286392220693775,2006.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8287,-0.004353900152379506,-0.9315978412698417,-0.30965469410108004,-1.4383301896516199,0.02444696387170423,0.30885966401023296,0.9324902619809434,1.4355816402116344,0.9182354951267437,2007.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,560,-0.04011413497216993,-0.7773611111110945,-0.2797354497354339,-1.0881859410430772,0.012530988050650265,0.22081634920634202,0.7073968253968133,1.1038809523809732,0.7940653431435569,2007.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
