system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,263,0.3009004755591744,-0.6760244347812604,-3.229380952380275,0.05314944314947376,1.171118922305741,4.335571428571024,2.394879627759728,2002.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,0.3012821409711426,-0.502500000000067,-1.4970714285723048,0.07170238095240933,0.8732481481485372,3.656857142856996,1.1679912382727378,2002.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,178,0.3884144343839832,-0.8117624436643451,-3.9676761904781106,0.18119060846569335,1.5360972222227711,5.262632653061415,2.7952992070206615,2002.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,35,0.50831447446483,-0.18060000000012266,-0.9200793650794417,0.25855555555552456,0.6402380952381428,3.656857142856996,1.310140874441039,2002.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,35,-0.2600221323972326,-0.8328004535148956,-2.4099874686716696,-0.128937074829917,0.17732222222238647,1.2994895833333615,0.9735178267774546,2002.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,262,0.3467601993756125,-0.7042547727343567,-3.6683538748831475,0.291910816696531,1.5830546416550586,4.32500000000004,2.6796658729105203,2003.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,0.3332424523379698,-0.21263888888889504,-4.062000000000825,0.20351119251152916,1.5034090909091287,2.7662222222219874,1.5203854514955533,2003.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,174,0.3494546008511084,-1.3448749999995915,-3.962499999998994,0.4807501653439483,1.9479007936502322,4.5080000000012195,3.1710565112372953,2003.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,37,0.5217249986930541,-0.1606547619047589,-1.0275000000000531,0.19169642857103497,1.092138888889071,2.3699999999998553,1.147882141949838,2003.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,0.26171742866463527,-0.35085459638395733,-1.3984013605443515,0.24775745550732786,0.8804490740742317,1.6949090909091495,1.177504578193351,2003.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_0,266,0.19952493683846112,-0.9529161216914652,-3.445766137565279,0.17795871340132882,1.2917210735168236,3.5336875000004833,2.6419547063688125,2004.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_1,16,0.7837114625986756,0.051717630195771136,-0.9704657477025833,0.6395698412697808,1.516833333333219,3.057499999999857,1.0628371187248327,2004.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_2,178,0.18393766795159924,-1.3979166666661085,-3.8993333333333453,0.2805019841269524,1.5812738095238532,4.1820000000003805,3.1311811871096884,2004.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_3,37,0.11430614939544942,-0.47185964912308265,-1.3013082706767491,0.03267032967024974,0.6480285714284371,1.7214285714287136,0.9055502654210025,2004.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_4,36,0.1627631810359058,-0.7315222222219475,-2.3843750000001265,0.23715974832921738,0.7139122260014794,2.380666666666052,1.285791754419094,2004.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_0,264,0.06776524108212639,-1.1036032662677597,-4.099236111112285,0.12777618566462762,1.3730514232111408,4.557587301587541,3.1926004783188895,2005.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_1,16,0.028510247508575892,-0.7663273809526903,-3.230799498746862,-0.03769597069601183,0.2341552795032129,4.919860317460579,1.6162176898421918,2005.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_2,177,0.18739440227531715,-1.8503334627329249,-5.652166666666519,0.2692857142856346,2.044151688453408,5.9013750000003045,3.7026538573693935,2005.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_3,36,-0.002664497178227402,-0.5698691346423637,-1.9935059523809535,0.03978146853143194,0.7305540293040416,2.339166666666923,1.9927106065328544,2005.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_4,36,-0.26497984567131455,-0.5910895562772307,-3.4916666666683476,-0.08301515477925747,0.47442712842700985,1.8267176870742752,1.6463008086688389,2005.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_0,264,-0.14882566943863348,-1.858051322751371,-6.128134199134172,0.050429631575411436,1.4888056555955536,5.816666666666691,3.664990777999868,2006.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_1,16,0.29137832947539943,-0.2627721386800861,-2.1791666666668235,0.48710973748465225,1.153629054520378,1.898805555555505,1.1078079520327568,2006.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_2,177,-0.3018289833575803,-3.0496111111102593,-7.63394444444379,0.05800627950995706,2.409416269841297,6.909874999998451,4.247679548331837,2006.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_3,36,0.27880289336872977,-0.5008485958485949,-1.247021825397173,0.26076858813698855,0.8829192612942336,1.9900000000000198,0.9906000097687161,2006.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_4,36,0.0852499834541951,-0.6091045751627728,-2.630060606060816,0.1960512142179649,1.1835879629630153,4.931428571432745,2.835666921562382,2006.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_0,263,0.13392186012407722,-0.6859416112525625,-2.5558333333333447,0.0553648263181005,0.9378037918872492,2.7566666666650566,1.9225161298100693,2007.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_1,16,-0.05365450902667668,-0.9578128745777672,-2.2523809523812126,0.2727257575761275,0.783178571428575,2.4133333333333553,1.2648449794507113,2007.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_2,176,0.1656262925479685,-0.8254818510736937,-3.3505151515137275,0.19019933425380353,1.185687726840272,3.165555555554901,2.24826633901736,2007.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_3,36,0.14634291974829278,-0.5777314814815693,-1.5987500000000487,0.2333943489676198,0.8610684523809962,1.543480463980547,0.9413731136550264,2007.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
