system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,260,0.2015785639560737,-0.920250661375556,-3.9432940821261475,0.0443540159754402,1.326890850970036,3.933250000001774,2.8876417261852714,2002.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,0.687996598632991,-0.387390608465648,-1.1467826086955144,0.12739607614604997,0.7386666666666692,6.125789473684738,1.8583717774755153,2002.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,178,0.25373414855268595,-1.2153434287607243,-4.042841269841558,0.052048461289194235,1.5769047052154412,5.025185185185794,3.0662023808334258,2002.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,32,0.076939500086179,-0.4638769841270256,-1.3354603174605124,0.021963360782979002,0.4970943223443376,1.8639999999997383,1.0071673710254878,2002.0,BF,2001.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,35,-0.18116338678690433,-0.8328666666671038,-7.606481481480953,-0.01877777777780132,0.9022916666667511,3.8446874999995257,3.368787241731533,2002.0,BF,2001.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,263,-0.2347448572201128,-0.9338764880950362,-3.7349523809519725,0.04353360249983853,0.6668601942227027,2.137208333332998,2.107661888361292,2003.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,-0.07750891258426952,-0.32243271221523173,-1.9317333333340907,-0.04879761904754942,0.2851033834584453,0.9454358974359534,0.6302959008879873,2003.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,176,-0.1795612488404904,-0.9240628306875177,-3.79769230769299,0.05049791318032043,0.8082903202946855,2.7788571428571345,2.176615217330371,2003.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,36,-0.4334140260449155,-0.2437850307587457,-8.850980392157204,-0.003227106227144283,0.38550595238080465,2.137208333332998,2.6018363941202622,2003.0,BF,2001.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,-0.37481477829889026,-1.4448015873019324,-3.7441904761896696,0.17532499999987738,0.5473229166669892,1.46363157894733,1.5034403248776986,2003.0,BF,2001.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
