system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_MF_0,683,0.06341861335007871,-0.9699965413837115,-2.2763313311231275,0.03155509024953345,0.9679229130469037,2.725275152376397,1.503658727890749,2002.0,MF,2001.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_1,8,-0.2497250175403729,-0.5687009540376051,-3.0190099187620305,0.08597510931548236,0.44797175958288094,1.090717948717531,1.178698383498473,2002.0,MF,2001.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_2,666,0.06645174563761812,-0.9687259950716798,-2.2763313311231275,0.03155509024953345,0.9679229130469037,2.725275152376397,1.514412342602263,2002.0,MF,2001.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_3,8,0.11254506637498585,-0.32164011007925275,-0.9915958286882507,0.039383691992298964,0.4645951316180561,1.5272789326259328,0.6984475201501669,2002.0,MF,2001.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_4,2,0.29701062682222634,-0.4192574247637193,-0.4192574247637193,0.29701062682222634,1.013278678408172,1.013278678408172,0.7162680515859456,2002.0,MF,2001.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_0,682,-0.04035016196170168,-0.9714566138386386,-2.2820262865784,-0.08826858032869463,0.961003024316807,2.347482906035872,1.512459779384746,2003.0,MF,2001.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_1,8,0.19474466805748558,-0.21372672494386435,-2.5689937343360185,0.3396906027131106,1.1151488313659064,1.644725660525598,1.2265732396499762,2003.0,MF,2001.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_2,665,-0.05412165922408833,-1.0322152597997003,-2.2820262865784,-0.09060847853828743,0.961003024316807,2.4251653050097506,1.5207446375826992,2003.0,MF,2001.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_3,8,0.6407320939061791,-0.10296855899656343,-0.3602439534453694,0.5741886250119972,1.4884081862099077,1.5668442002441196,0.7762248733064468,2003.0,MF,2001.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_4,2,0.714017438491755,0.6604786648138514,0.6604786648138514,0.714017438491755,0.7675562121696586,0.7675562121696586,0.053538773677903245,2003.0,MF,2001.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
