system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_MF_0,680,-0.03778608553596946,-1.3638050232211307,-4.478041465589053,-0.12021206414830266,1.3780570918735153,4.129097385619803,3.1126052323677142,2002.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_1,8,-0.02587183266479487,-0.6550347985348681,-1.1555000000001225,-0.2513768518520978,0.27353146258498207,2.2142857142857313,0.9733776323877371,2002.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_2,663,-0.04612820707862454,-1.3638050232211307,-4.590086419752927,0.12983253210965354,1.3780570918735153,4.129097385619803,3.1450839455398,2002.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_3,8,0.5901936838624222,-0.5283166666666013,-1.75391666666685,0.1121608465608368,2.345777777777796,2.6162222222221647,1.5459741998417544,2002.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_4,2,0.07569230769203816,-0.0950000000005371,-0.0950000000005371,0.07569230769203816,0.24638461538461343,0.24638461538461343,0.17069230769257526,2002.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_0,682,-0.007267833956440179,-0.7737930821836035,-2.3449809523810856,-0.030461196896675452,0.7781894235471245,2.539119488536114,1.462791680400573,2003.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_1,8,0.0951776109802619,-0.7436809523810588,-2.0759523809524456,0.16926700680276596,1.088279151404234,1.8096428571426584,1.2169186717563747,2003.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_2,665,-0.014698077663767534,-0.7737930821836035,-2.3449809523810856,-0.030461196896675452,0.7162018010796968,2.539119488536114,1.4673675434980749,2003.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_3,8,0.6378113205467066,-0.152638095238105,-0.8932671957672476,0.542489858906567,1.380097222222119,2.4558597883597386,1.020863696938019,2003.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_4,2,-0.2723191391940807,-1.6766025641023674,-1.6766025641023674,-0.2723191391940807,1.131964285714206,1.131964285714206,1.404283424908287,2003.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_0,682,0.13209564684802258,-0.8472976449477715,-2.168876388888976,0.02523507306107235,0.951868131868119,2.8490753968254987,1.6750342035166008,2004.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_1,8,-0.14994574060217247,-0.8015441919192225,-1.8982564102571384,-0.13673015873017835,0.6806431623929132,1.213952861952734,0.9866370181890851,2004.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_2,665,0.12644797775953395,-0.8484613375823038,-2.168876388888976,0.02523507306107235,0.951868131868119,2.8490753968254987,1.6705185899533628,2004.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_3,8,0.86348151154396,-0.2655441919192745,-1.9801190476189525,0.397933201058116,1.0278822751321783,6.567428571428593,2.358362568521996,2004.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_4,2,-0.2383576388890143,-0.9674444444446308,-0.9674444444446308,-0.2383576388890143,0.49072916666660227,0.49072916666660227,0.7290868055556164,2004.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_MF_0,682,0.07070535804685615,-0.7765443117677419,-2.415351851851883,0.06665519064933281,0.961680639473479,2.4592174512988505,1.5095387290474989,2005.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_MF_1,8,-0.3568410783164938,-0.6817349773243295,-3.6523424908428677,0.066527146465023,0.4540147630147686,1.119999999999993,1.371427927631468,2005.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_MF_2,665,0.07754295024814628,-0.8482861001710799,-2.415351851851883,0.10028758503396398,0.9610431478653119,2.503200000000107,1.5180032595864856,2005.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_MF_3,8,-0.04868936602428109,-0.5154314058957539,-1.5439999999999827,-0.1325740740740624,0.7180456349203013,1.014404761904764,0.8038077675053599,2005.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_MF_4,2,-0.3813134920632981,-0.40772619047583625,-0.40772619047583625,-0.3813134920632981,-0.35490079365076,-0.35490079365076,0.02641269841253815,2005.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_MF_0,680,-0.036152423825088396,-1.1453893194031506,-3.029369488535407,-0.1470328973073276,0.9706665107711112,3.1912160052910985,1.996123834047335,2006.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_MF_1,8,0.06910109626923822,-0.40852873118943833,-0.8499267399268344,0.09506623931623004,0.3767261904762256,1.2762081128747056,0.6148396486654865,2006.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_MF_2,663,-0.03976097619506254,-1.217150658369437,-3.029369488535407,-0.14731157412610354,1.0383996409675806,3.207407407407743,2.016852467102117,2006.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_MF_3,8,-0.03045847147787173,-0.657243016903724,-1.7161904761905333,-0.11331705948381732,0.465392857142767,2.082857142857108,1.0675046796035494,2006.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_MF_4,2,0.465340277778278,0.24550595238107853,0.24550595238107853,0.465340277778278,0.6851746031754775,0.6851746031754775,0.21983432539719952,2006.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_MF_0,679,0.03442850454985528,-0.812117806160503,-2.809472445543743,0.06300753258628183,0.9327944599051488,2.7811544011542506,1.7777341274123462,2007.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_MF_1,8,-0.02403981820642609,-0.46188766788776103,-0.8373809523809683,-0.23553968253966762,0.48354188712517665,1.0728333333340636,0.6170553481010368,2007.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_MF_2,662,0.014681952602149285,-0.8108546488494797,-2.809472445543743,0.06300753258628183,0.9327944599051488,2.7138095238090423,1.7759978861648766,2007.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_MF_3,8,1.5777398037918515,-0.07445899470901551,-0.23125000000006324,0.8319783950616193,2.5123981481481676,6.313333333333333,2.083920440883782,2007.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_MF_4,2,0.5485383426100672,0.24748484848447383,0.24748484848447383,0.5485383426100672,0.8495918367356605,0.8495918367356605,0.3010534941255933,2007.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
