system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_TOT_0,3263,0.13565123258162914,-0.8147256110889266,-2.187683211443968,0.06284959031508557,0.9365816772622403,2.564535942581602,1.4778989155271747,2002.0,TOT,2001.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_1,151,-0.007235258275226312,-0.6073818032408935,-1.7384205354830957,-0.07899283699663151,0.605476866779977,1.829978604891327,1.045462189911742,2002.0,TOT,2001.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_2,2880,0.13076773176764223,-0.8465903773579679,-2.281016024605125,0.09166321164573396,0.9718438446038196,2.592843377917115,1.5029010189546503,2002.0,TOT,2001.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_3,184,0.35461851228963537,-0.2092511727876004,-1.292642826957815,0.3116406318067814,0.9545704838399146,2.0645792782038637,1.4059039828304647,2002.0,TOT,2001.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_4,54,0.1095466580623193,-0.61637166507332,-2.2827385611459157,0.15117176778520225,0.6329718777049784,1.9706084573604663,1.3671113344274775,2002.0,TOT,2001.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_0,3262,0.10151200686343213,-0.815367499806025,-2.1865981611455396,0.06155501195231065,1.057091274447051,2.5556049647664043,1.4849604622182127,2003.0,TOT,2001.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_1,151,0.13949841427124332,-0.5443294615066977,-1.762490478100731,0.018210272187056138,0.8603719247989824,2.113054030624575,1.1714504470263953,2003.0,TOT,2001.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_2,2880,0.08709141857231309,-0.8156991429056004,-2.1855228615060747,0.06476397291698725,1.0574309072717285,2.55895295961591,1.5171651054906203,2003.0,TOT,2001.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_3,183,0.27201400840384254,-0.40678268346933066,-1.5310566540369273,0.14971779906978178,0.9059255168807164,2.0665300977946472,1.2559611943178737,2003.0,TOT,2001.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_4,54,0.19605744194319372,-0.35891295116157806,-1.3542769894430755,0.23147530042509246,0.8008519433432824,1.6260113680353747,1.100056779238333,2003.0,TOT,2001.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
