system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,582,0.02544776781828427,-1.0269372440578526,-0.40521959210177744,-1.460223157146919,0.004833051870686557,0.3994081011715309,1.2165387987012934,1.7840952004517134,1.0079414948207885,2005.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.09867430043589048,-0.5946927146927408,-0.2369396800646939,-0.7514012096773968,9.090909091210878E-5,0.443131313131308,0.8541666666666856,1.3107671957671982,0.6075622659473302,2005.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,311,-0.006733632615249612,-1.4184898873228575,-0.5911809218698977,-1.933211005775301,0.0029764971583936335,0.4735695162885918,1.479535153335675,1.9866369969040534,1.217254995693899,2005.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.01643087381385442,-0.530714181684786,-0.3033870884106686,-0.6739275103980731,-0.015837553856927755,0.23274023199022764,0.5739546152440909,0.8541666666666856,0.6053569995092475,2005.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.07249143310378402,-0.9513118279569994,-0.3591384711779142,-1.3768421052631652,0.06063856960412295,0.4917727272727177,1.0448569367716327,1.3988030075188078,0.8224969849278533,2005.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,580,0.05809031368504569,-0.7770566475546232,-0.27280304880380535,-1.2181058636244113,0.006948620956488109,0.4123295703988925,0.9693952434365899,1.5861180104411061,0.853517140723704,2006.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,0.040662468565225734,-0.5788727858293328,-0.21433383030631603,-0.7294696969696588,0.0026939556610206714,0.3503220655489467,0.6474744293165315,0.8837575870184651,0.5003556352179713,2006.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,309,0.08865482230464841,-1.0413319495319417,-0.34782684430820965,-1.6716489601901496,0.0025249822562680973,0.597643748699818,1.4694052748899367,1.8212700814000442,1.0432928495766134,2006.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,-0.016697166400109924,-0.5536775184274916,-0.25438905180840266,-0.6304968876439242,0.003954248366004062,0.16218556299283193,0.4438258782883935,0.6724876847290489,0.4623980166027075,2006.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,0.029899095023557122,-0.9261471861471477,-0.3647222222222126,-1.0726582646316203,0.006233105631821445,0.33776515151515696,0.9221512684846118,1.2476418242492002,0.7004335300111467,2006.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
