system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,575,0.1445243936256989,-1.309706349206337,-0.3168700246512775,-2.962500000000034,0.018327943121693835,0.5515961718020489,2.1404285714285436,3.8377777777777737,1.9108960058342863,2005.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.04364475203159851,-0.7859179894179817,-0.24019179894179388,-0.880694444444444,0.0023611111111137006,0.2735026455026646,0.8504761904762006,1.4266666666666765,0.6774242236765896,2005.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,304,0.1601859335839607,-2.528958333333314,-0.43142857142858304,-4.099999999999994,0.012788426763110672,0.8926845238095253,3.2426666666666506,4.451999999999998,2.414003745252702,2005.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.08066297097963558,-0.7201785714285762,-0.35144444444443934,-1.4492929292928807,-0.019065476190471033,0.3425936507936512,0.7014285714285506,1.1495238095237994,1.3541039638468115,2005.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.20466579327105622,-0.9045476190476194,-0.2639107142857142,-1.3661111111111381,0.016435185185189185,0.5164682539682417,1.4990476190476443,2.9390000000000214,1.2760682306681859,2005.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,579,0.04462757914701061,-1.9293333333333251,-0.5378573232323163,-3.276666666666671,0.020719601386268067,0.5684371657754037,2.418466666666666,3.3928571428571295,1.9590203130992536,2006.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,94,-0.17820808004052363,-1.1514285714285961,-0.3533333333332962,-2.2766666666666993,0.0015952380952398925,0.27249999999997954,0.5970000000000084,1.0153333333333308,0.9927243333878265,2006.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,309,0.1428434144963283,-2.5604702380952418,-0.9692500000000095,-4.262666666666689,0.009552594171996965,1.0848484848484956,3.291769841269835,4.561555555555533,2.4746961405078522,2006.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,89,3.141203365905103E-4,-0.5663383838383993,-0.2571428571428811,-0.7776388888889016,0.004285714285718508,0.2853273809523813,0.6403809523809704,1.1396666666666988,0.6248708988507936,2006.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,-0.043107530189106576,-1.8480000000000132,-0.510083333333327,-2.3971428571428532,0.010903581267223733,0.4575119047619012,1.453333333333319,2.3899999999999864,1.444588295744105,2006.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_0,577,-0.05416350744383653,-0.9520277777777721,-0.4062146464646418,-1.7138349206349404,0.007696779483143246,0.21775878684807587,0.7910999999999888,1.414999999999992,1.0643022642459525,2007.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_1,95,-0.11541498443076864,-0.6978571428571172,-0.3279265873015973,-1.5371428571428396,-0.022727272727252057,0.1756249999999966,0.4875555555555593,0.9000000000000341,0.7418975179665664,2007.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_2,307,-0.023135478799160614,-1.474555555555554,-0.40542151675485155,-2.0349999999999966,0.004232787054215938,0.2137482993197263,1.1500000000000057,2.3933333333333735,1.3159513598071253,2007.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_3,90,-0.13687555715889158,-0.8863690476190413,-0.485694444444448,-1.4499999999999886,-0.051481481481488345,0.24047619047621538,0.6310391414141208,1.0145238095238085,0.7064883689847279,2007.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_4,94,-0.06825165024101106,-0.7454166666666708,-0.41865319865317474,-1.1941269841269957,0.0028282828282834137,0.2587532467532725,0.6926851851851836,0.9788571428571231,0.6915622948393779,2007.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_0,576,-0.13211204868626872,-1.5657270723104217,-0.5388083028082961,-2.705666666666673,0.02291068228366578,0.3145559006211183,1.2948363095238093,2.203999999999951,1.777730343441184,2008.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_1,95,-0.037609607351709574,-1.4350000000000023,-0.3531349206348959,-1.846666666666664,0.012293367346937803,0.351333333333334,1.096285714285699,1.607166666666643,1.2450187227923737,2008.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_2,307,-0.14682163538596962,-2.378095238095284,-0.6846858465608486,-3.5600000000000023,0.011621269841270229,0.5684012345678929,1.8028571428571354,3.0600000000000023,2.2669959449671637,2008.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_3,90,-0.15281159611993,-1.0168333333333237,-0.6019999999999754,-1.2267857142857679,-0.04976190476190823,0.2270873015872894,0.6687499999999886,1.011428571428553,0.6647646309914332,2008.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_4,93,-0.18823946453785562,-1.244166666666672,-0.5170515873015802,-1.805166666666698,-0.017500000000012506,0.20291666666665265,0.6219999999999573,0.9373333333333562,0.816588418174013,2008.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_0,577,0.03919467327396227,-1.2973412698412592,-0.43403953495999303,-2.193615079365079,0.024925099206348496,0.4372582113653607,1.5642642857143016,2.427767857142861,1.5618796816494878,2009.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_1,95,-0.025668895724163875,-0.6659999999999968,-0.2947499999999934,-1.0754999999999768,0.002417582417586153,0.20889285714284256,0.7868452380952533,1.0416071428571456,0.6458818467006698,2009.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
