system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,576,-0.04212745635922693,-1.3479404761904732,-0.4729558572740354,-2.08866666666664,0.006643859649122568,0.40813194444444,1.2787095238095219,2.170880952380969,1.353765110998936,2005.0,BF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,93,-0.09781474499216282,-0.9683333333333621,-0.33161054421769826,-1.8933333333333735,0.011937118437124092,0.1668401154401124,0.6659999999999968,1.0800000000000125,0.9185269007789522,2005.0,BF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,310,0.016115104966718218,-1.6988273809523846,-0.6013952380952446,-2.4223809523809336,0.0017923497267758172,0.46557275132275794,1.7220674603174544,2.645833333333343,1.5197630471008627,2005.0,BF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,88,-0.14896372819099793,-0.6080000000000041,-0.2998131313131509,-1.146666666666647,-0.0879602272727027,0.14185317460318458,0.48666666666663616,0.5666666666666629,0.7121375615431055,2005.0,BF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,94,-0.13235410334346667,-1.5130000000000052,-0.5324285714285792,-3.240000000000009,-0.011848214285721545,0.41224404761904054,0.9164285714285825,2.2066666666666492,1.5239147527790278,2005.0,BF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,579,0.022859792721190954,-1.4388380952381112,-0.43092413046723704,-2.070214285714272,0.014628583559999998,0.43983725348724456,1.4470925925925755,2.5656666666666297,1.5688340553100462,2006.0,BF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,-0.16456675780359906,-1.1347222222221944,-0.35466666666665486,-1.905999999999949,9.999999999990906E-4,0.23729304954303623,0.5808928571428567,0.8779999999999859,0.8154036943623155,2006.0,BF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,308,0.13833711769831855,-1.911825396825397,-0.7896408730158697,-2.915999999999997,0.005227272727273571,0.9589583333333493,2.47355555555554,3.608000000000004,1.9284455945506969,2006.0,BF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,-0.09811831008497968,-0.7412222222222198,-0.42600000000004457,-1.2266666666666879,-0.07807738095238648,0.29111111111109267,0.6880952380952294,0.8439999999999941,0.5792586838630657,2006.0,BF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,-0.09581352623984392,-0.6721111111111142,-0.41852738095237785,-1.1616666666666902,-0.06848148148146846,0.1844112554112566,0.6722857142856924,0.9726469456469621,1.3915330421325534,2006.0,BF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
