system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1508,-0.0031749940621537726,-1.2830330865989643,-0.540835121204584,-1.7795787489982402,0.003423853413219282,0.4684181444812,1.2173316679803783,1.9069692444495037,1.0798556835137616,2005.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.054919642280747985,-0.47399999999998954,-0.21271255060727867,-0.7472727272727298,0.0,0.30992282430210594,0.7253846153846553,0.9152777777777601,0.4493749819557308,2005.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1413,0.0031600781940836595,-1.3492016513105018,-0.5419446345460429,-1.7795787489982402,0.003340336994819618,0.46888688996488215,1.2179388668983695,1.9069692444495037,1.103413503027114,2005.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,-0.08906058332113227,-0.28820175438596607,-0.2354695340501678,-0.39221848739498455,-0.015405405405431338,0.11289743589742329,0.24694372294371192,0.3054824561403393,0.3777300422798114,2005.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,-0.32518821305306334,-1.3330158730158246,-0.906445623342222,-1.9765963203463173,-0.3014102564102643,0.17270588235294326,0.5204224270353563,1.208223684210509,0.9350622745460467,2005.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1501,-0.04505854462709297,-1.2834866609316606,-0.5329957739454005,-1.8455747305263468,0.0032114992211848027,0.468547646949921,1.1523389636676682,1.6601721373883662,1.0129362036642222,2006.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,-0.17337710861545932,-0.9414046822742534,-0.4215384615384892,-0.9594681627440309,-0.09100000000000819,0.15580170777988656,0.4493217391304256,0.6365217391304441,0.5575339991337399,2006.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1405,-0.05044092381104669,-1.2834866609316606,-0.5952958774942338,-1.9119077617551625,0.0029479306258029686,0.46924195992966716,1.1523389636676682,1.6617151717354446,1.0295870935980818,2006.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,36,0.055501736413784246,-0.47486059743951614,-0.1778333333333535,-0.6163427377220501,0.0,0.2430256461819198,0.46666666666664014,1.3142857142856883,0.45510697869829814,2006.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,0.22407582743407267,-0.9490225563910144,-0.003434265010383797,-1.1836521739130603,0.17581027667984017,0.7438901601830707,1.528482972136203,2.070186363636367,0.99285774380762,2006.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1497,-0.022657428869040295,-1.2159868540744898,-0.4677379974752798,-1.658678932955894,0.00346218799640913,0.4083830003357686,1.1049341210961119,1.6459297899145164,0.9789443883192974,2007.0,MF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,-0.23595544561393372,-0.8370935960590487,-0.6452083333333292,-1.2128000000000156,-0.3139705882352928,0.09006896551721866,0.4334987593052233,0.512953523238366,0.5058396358997479,2007.0,MF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1401,-0.020403765918064358,-1.2158667850532388,-0.5278312587890693,-1.7158969369966617,0.0033954514757196796,0.40778560378807,1.1590082760626375,1.6459297899145164,0.993282410814635,2007.0,MF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,36,-0.15954089534428798,-0.6271851851851693,-0.3095493966817884,-0.7641712962962686,0.0,0.1515742228239958,0.31892436974789007,0.3679532163742465,0.7086875052636252,2007.0,MF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.24666430420614,-0.478475073313831,-0.2092450142450275,-0.9997426470587811,0.09017142857138083,0.6416726190476254,1.2695238095238324,1.7358695652173992,0.8479604235874526,2007.0,MF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
