system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1506,-0.0038717324065925774,-0.7864132653061111,-0.2195957864357848,-1.2081970899470997,0.0059957154282667645,0.2836329688829689,0.7857714285714261,1.156520408163264,0.8379219595528242,2005.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,-0.08629223106642268,-0.45333333333331893,-0.22714285714286575,-1.0735714285714266,-0.02888888888890051,0.11624999999997954,0.18333333333328028,0.49450000000001637,0.35563947448887273,2005.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1412,3.605040694279891E-4,-0.7864132653061111,-0.21840223665223457,-1.2081970899470997,0.005455604395604216,0.28358569283569307,0.8451126984126859,1.2162499999999976,0.8609705147913359,2005.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,34,-0.008364941431112778,-0.3153333333333421,-0.16327272727269815,-0.36030303030304367,-0.012058080808046157,0.04727272727274112,0.40141414141413634,0.5475555555555616,0.24902991139776737,2005.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,-0.12078868174836452,-0.3885714285714812,-0.30666666666667197,-1.0316071428571547,-0.15833333333330302,0.16399999999998727,0.30750000000000455,0.478666666666669,0.3657933797009858,2005.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1500,-0.011334287878787602,-0.5754897959183702,-0.2345575396825419,-0.8888174603174589,0.002397032330314674,0.20547671038112014,0.5493167989418003,0.8230625000000167,0.5425616304644877,2006.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,-0.13891808639389164,-0.7458333333333371,-0.4266666666666765,-0.9129166666666606,-0.12888888888892325,0.21714285714284642,0.4346666666666579,0.5996428571428396,0.5017525919068052,2006.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1405,-0.008272449969958398,-0.5753992673992693,-0.2345575396825419,-0.8888174603174589,0.002316023097273173,0.2060182823129253,0.5493167989418003,0.8230625000000167,0.5290986984921208,2006.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.08205765821479888,-0.15500000000000114,-0.053444444444494366,-0.6204040404040256,0.010000000000019327,0.2451785714285677,0.4669090909090414,0.5853333333333239,0.3182165900687792,2006.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,-0.13021603128055403,-0.8714285714285666,-0.4292857142856974,-1.360000000000042,-0.006666666666717447,0.2866666666666333,0.8900000000000148,1.3666666666666742,1.0734390040958872,2006.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1496,0.01559502178970841,-0.7175254629629558,-0.27979507429507305,-1.0870021645021692,0.005397462444427999,0.21641239316239608,0.8385805860805817,1.2806649659863834,0.7534895251996735,2007.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,-0.09343111995531034,-0.7316666666666549,-0.42130952380952635,-1.0883333333333098,-0.11000000000001364,0.15380952380951385,0.2150000000000034,1.0786666666667202,0.59388842443347,2007.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1401,0.023157392472703785,-0.7169106280193168,-0.27880880230880095,-1.0875654761904805,0.005276209774690176,0.2181024691358036,0.8385805860805817,1.2806649659863834,0.7675263423831469,2007.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,-0.012062399505254007,-0.21878787878785033,-0.1066666666666265,-0.3887499999999875,0.0,0.1238888888889278,0.20300000000000296,0.45916666666664696,0.229515096819117,2007.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,-0.19272990271377738,-1.0681666666666843,-0.46800000000001774,-1.238333333333344,-0.13976190476194006,0.10499999999996135,0.410000000000025,0.9773333333333198,0.5572645607318142,2007.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1488,-0.022899301434079054,-0.9045974702380963,-0.3402728696741871,-1.2817291666666613,0.005731539945627876,0.27925153550153736,0.8494781746031753,1.276059523809522,0.8085884354409626,2008.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,31,-0.09605646325001309,-0.7954285714285732,-0.39777777777780443,-1.2166666666666401,0.0,0.17838383838380878,0.5149999999999864,0.8803571428571217,0.5122260084879667,2008.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1393,-0.01725760346776065,-0.9038920634920657,-0.34018181818182075,-1.2807721088435275,0.00563264320220815,0.27894701844702097,0.8494781746031753,1.3577767857142788,0.8226636007018023,2008.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,35,-0.11985254586683222,-0.5,-0.22083333333333144,-0.9730681818181779,0.0,0.12431818181815402,0.29202020202018275,0.6399999999999864,0.6336015113332641,2008.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,31,-0.0923050551598967,-0.5210909090909297,-0.34499999999997044,-0.6825714285714071,-0.11666666666667425,0.10111111111109494,0.2777499999999975,0.530476190476179,0.48595030375103,2008.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1488,-0.009121256487688013,-0.8471617123617212,-0.28296842283012685,-1.2153071428571423,0.0042402740820173,0.282275742775749,0.7805461309523789,1.1461326530612277,0.7713298111274609,2009.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,31,-0.08019231485360204,-0.6884126984126908,-0.12765151515151274,-0.955555555555577,0.0,0.08999999999997499,0.1246666666666556,0.6885714285714073,0.38641617757955055,2009.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_2,1394,-0.002476606089590431,-0.8471617123617212,-0.2835447971781327,-1.2784444444444507,0.0038952562506481625,0.28288524238524737,0.7805461309523789,1.2208749999999924,0.7895539829168123,2009.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_3,34,-0.06437905313640446,-0.2165454545454395,-0.14181818181816652,-0.35054545454545405,-0.02127777777781148,0.006666666666660603,0.06666666666671972,0.07727272727271384,0.15237079863833333,2009.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_4,31,-0.19599183074989737,-1.0740476190476613,-0.5164285714285484,-1.1342857142857383,0.0,0.19999999999998863,0.3359999999999559,0.7469841269841595,0.563510413032119,2009.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_0,1479,-0.012587640629223185,-0.905056489262369,-0.3452473228525868,-1.399348214285716,0.005378584406786098,0.2832811355311374,0.9039645909645847,1.2761455026455084,0.8020245374465224,2010.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_1,31,-0.12321515849742028,-0.7828571428571536,-0.35033333333336714,-1.5500000000000114,-0.020833333333314386,0.12666666666666515,0.3160000000000309,1.1933333333332712,0.633521663554836,2010.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_2,1385,-0.00913334974291683,-0.9042787698412695,-0.3451875695732846,-1.399348214285716,0.005181687525438114,0.2842123809523832,0.9039645909645847,1.3327420634920801,0.8149777042736474,2010.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_3,34,-0.0548220439691032,-0.30666666666667197,-0.16166666666666174,-0.5342424242423931,-0.03499999999998238,0.046666666666624224,0.1383333333333212,0.41666666666671404,0.23972340706224696,2010.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_MF_4,31,-0.025859516827261307,-0.7269642857142742,-0.4879999999999711,-1.2104999999999677,-0.07976190476188094,0.3345238095238017,0.942222222222199,1.2919999999999732,0.7348035130340325,2010.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_0,1473,-0.033084147654411714,-0.8451739028944888,-0.3383145415190851,-1.2838350340135978,0.0054394749694747935,0.28473881673882445,0.7794248511904716,1.2226857142856944,0.8295634022519457,2011.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_1,31,-0.15951218405250014,-0.7244047619047649,-0.39524242424243994,-1.535000000000025,-0.17272727272722932,0.10285714285717518,0.40607142857143685,1.009333333333359,0.600403440040317,2011.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_2,1380,-0.03000526460254658,-0.9067003968253905,-0.3394202380952379,-1.3566218820861837,0.005300264550264283,0.28354535147392973,0.7799439324116699,1.2723750000000038,0.848238413539409,2011.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_3,34,-0.04765133477633633,-0.29374999999998863,-0.2300000000000182,-0.6028571428571183,-0.021611111111127457,0.05500000000000682,0.30627777777780807,0.44214285714286916,0.2766165644528627,2011.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_MF_4,30,-0.04448037518037325,-0.4788095238095309,-0.2864880952380702,-0.8550000000000182,-0.0791666666666373,0.023333333333312112,0.3269999999999982,1.2909999999999968,0.4688089262774205,2011.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_0,1451,-0.011125658226452052,-0.9088363095238101,-0.3456634988275624,-1.461629629629635,0.006292628311858659,0.27880568783069276,0.9109965127465097,1.4694444444444343,0.8981884164855307,2012.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_1,31,-0.06733294930875805,-0.5383333333333269,-0.31652777777776464,-0.9583333333333428,-0.024861111111079026,0.1345454545455027,0.4857142857142662,0.6946388888889032,0.4438895642366357,2012.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_2,1358,-0.007710437267691866,-0.9575571428571437,-0.34605911330049527,-1.5398160173160136,0.005655387812327347,0.2786693121693186,0.9101688311688282,1.5265714285714174,0.9200454404797829,2012.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_3,34,-0.033255793226375625,-0.4167272727272575,-0.16200000000003456,-0.5946666666666829,0.0,0.09333333333333371,0.234727272727298,0.357575757575745,0.295664914494369,2012.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_MF_4,30,-0.10704015151516065,-0.9573214285714187,-0.4237500000000125,-1.2271428571428373,0.0,0.2960714285713948,0.6276666666666415,0.920101010101007,0.6307405853437827,2012.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_0,1463,-0.05567169941776877,-0.7212130325814613,-0.28153009259258494,-0.9718720238095226,0.004695350640709293,0.1532322399822437,0.531059241483154,0.840724867724875,0.5867509921338127,2013.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_1,31,-0.13174508914024746,-0.4858333333332894,-0.29458333333334963,-0.6426666666666279,-0.1288888888888664,0.0381818181818403,0.3049090909090637,0.4817142857142471,0.3425099363144102,2013.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_2,1372,-0.05411842603460655,-0.720169312169323,-0.281225241545886,-0.9718720238095226,0.004194970206799087,0.15265945767196124,0.5964403108465627,0.840724867724875,0.5913260553806147,2013.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_3,35,-0.022490507111933768,-0.3450000000000273,-0.12119047619046341,-0.5309090909091196,-0.009181818181843937,0.13333333333332575,0.27444444444444116,0.41672727272731436,0.24258175691793354,2013.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_MF_4,27,-0.09582002565335618,-1.2566666666667174,-0.5214285714286007,-1.5666666666666629,-0.06621212121211784,0.33533333333332394,1.044999999999959,1.0891666666666424,0.8161502375092122,2013.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_0,1461,-0.001618451306849778,-0.9100431839402394,-0.3467900793650777,-1.3494735449735344,0.0045762427227943195,0.2827316639299442,0.9699195011337898,1.5256250000000051,0.9105229674192882,2014.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_1,31,-0.02677560163850455,-0.7150000000000318,-0.4199999999999591,-1.200000000000017,0.0,0.13476190476191618,0.3233333333333235,1.6099999999999568,0.780823692867902,2014.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_MF_2,1368,-5.520050125315155E-4,-0.9717134038800705,-0.3484431574431556,-1.4130340136054664,0.004162950575993626,0.3390272304324032,0.9699195011337898,1.604761904761898,0.9300296642836976,2014.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
