system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4898,-0.013500256592129422,-1.1557997268605946,-0.4685837778317189,-1.5883690290792079,0.005797401480505256,0.4062395094827005,1.1587764586880607,1.594947764344591,1.002853840433113,2005.0,NF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,322,-0.06974345084514859,-0.7059929480564241,-0.35941898363525127,-0.9833318713450012,0.0025639897781989363,0.19787720310877907,0.5320000000000107,0.8103571428571286,0.546485748868015,2005.0,NF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4123,-1.331326973069603E-4,-1.2809585240329076,-0.5318797469075341,-1.78019198715558,0.004552224457580848,0.5312679974467249,1.2186858151167705,1.7143147142972683,1.071636877346625,2005.0,NF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,-0.07108539067912706,-0.47737115567148675,-0.23200716724575443,-0.6667938765833412,-0.03656237880338469,0.08713331835588178,0.2592045816568813,0.46111900212435825,0.340939004407393,2005.0,NF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,12,-1.0006330780717339,-3.236666666666679,-1.4615453431372174,-4.547272727272741,-0.9293007518797083,0.019467418546369686,0.5344431818182045,1.4410427807486599,1.5533357786351167,2005.0,NF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4878,-0.04381678664228247,-1.1571090887002402,-0.4679353032292834,-1.7205936932871364,0.005864042564057763,0.40208645585286085,1.0312032405332925,1.5333276879121212,0.9692830392102324,2006.0,NF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,321,-0.06782159574613629,-0.7858235294117529,-0.34781658692185147,-1.0296428571428464,4.554323725049072E-4,0.2576540613212425,0.6339384920634927,0.755434210526289,0.5649313258730654,2006.0,NF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4106,-0.0428329167544751,-1.277112551295608,-0.5300780548576633,-1.8443418767059967,0.004245815121969743,0.4673592750504637,1.1623095203350609,1.590625077754974,1.0379581118338275,2006.0,NF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,-0.03687863122982555,-0.39700220171792466,-0.19567276307651107,-0.5507621027620786,-0.02230885971120135,0.13385943700971967,0.3175138361796286,0.4109191176470546,0.29889604314709484,2006.0,NF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,0.11579082578288791,-1.1654978354978596,-0.4737683823529437,-2.189500000000038,-0.11136104684790382,0.9703157894736592,1.3225714285714503,2.631723874904651,1.2009130116041942,2006.0,NF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_0,4850,-0.04356237354820542,-1.0919377699286987,-0.4059474243727969,-1.5245055813095896,0.005605888483077565,0.3441583354143407,0.966678879458911,1.405999240140193,0.8899911547269196,2007.0,NF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_1,313,-0.013888099740600497,-0.6376055289739213,-0.274233024070881,-0.8213540735713281,0.0014960333759160983,0.22483665342800427,0.5368279671717033,0.8813445378151528,0.4997106830358521,2007.0,NF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
