system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4896,-0.04197219009657711,-0.7818316294816265,-0.280385083947582,-1.2153883928571478,0.008171545037026932,0.21804392135642667,0.6549825268817184,1.0339703483245222,0.7214678505551056,2005.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,322,-0.08272364841852359,-0.8615000000000066,-0.35690404040405593,-1.3673333333333442,0.003054421768706213,0.2348750000000095,0.6353333333333163,0.9606527777777742,0.7025730562248116,2005.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4121,-0.039402937318552114,-0.7819643541324557,-0.2811408079625258,-1.2783682539682502,0.007189621489621059,0.2189585222978119,0.7157486772486756,1.0938618012422372,0.7558405985071397,2005.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,449,-0.04432877775528216,-0.3245416666666685,-0.1532813852813766,-0.44878787878789694,-0.018659090909096676,0.07337575757574086,0.20681818181818556,0.3641666666666481,0.24009222875084577,2005.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,12,0.30765277777777794,-0.7033333333333474,-0.08299999999996999,-0.8450000000000273,0.07183333333333053,0.8233333333333093,1.509999999999991,1.8100000000000023,0.79027845965114,2005.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4877,-0.04419413480716497,-0.5763331168831175,-0.23400345065562728,-0.8287587719298145,0.0028671482874301746,0.14055483086235301,0.45178917595407475,0.7031407728074389,0.492300838082614,2006.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,321,-0.0771081441922544,-0.6066553287981955,-0.262266865079372,-1.0171428571428578,0.0026136440391772513,0.17516446208113556,0.4497369614512528,0.5712619047618924,0.5530041974652997,2006.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4105,-0.04379818262668429,-0.60959709821429,-0.26574512987012944,-0.8607278530647998,0.002623353928728009,0.1407863053022624,0.48464682539682663,0.7652982456140268,0.5052076874497946,2006.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,447,-0.025020972750837128,-0.29125000000000983,-0.15036700336700115,-0.4333333333332803,-0.02200757575757785,0.08293801106302585,0.2554696969697005,0.41041666666664867,0.25912869876934036,2006.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,0.10120833333332986,-0.5708333333333542,-0.387999999999991,-1.3616666666666504,0.08833333333333826,0.6710833333333426,1.017499999999984,1.1616666666666333,0.7065340943681475,2006.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_0,4847,-0.042864771458282803,-0.8428792688792648,-0.282128299545984,-1.215049107142864,0.007658852576668036,0.2172012756746814,0.6575905592723794,1.1009980952380964,0.7216300028730521,2007.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_1,310,0.03969684052506768,-0.7665000000000219,-0.2637923280423422,-1.0441333333333147,0.0025820668693013623,0.36367724867724227,0.7917777777778005,1.1696190476190509,0.701530050356499,2007.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_2,4088,-0.051316579179409294,-0.9036516563147007,-0.3438619499290263,-1.2888711180124257,0.006287747282821142,0.21706635610765967,0.7183388888888913,1.1558089826839764,0.7547049959988215,2007.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_3,446,-0.01486741777156634,-0.2731199494949479,-0.1319254599567099,-0.3995075757575819,-0.023550207961974098,0.08661038961038624,0.2585649350649419,0.4109090909091151,0.2623217333508856,2007.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_4,11,-0.07132683982684346,-1.1333333333333542,-0.4814285714285802,-2.639999999999958,0.16499999999996362,0.754999999999967,1.0279999999999916,1.4499999999999886,1.0724441742650936,2007.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_0,4830,-0.04545458944667022,-0.8116054166498121,-0.3099872289464115,-1.1816829004329001,0.02221511311768837,0.18586549972660954,0.6837899986611344,1.178292530164873,0.7650305787354413,2008.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_1,311,-0.04172641435021004,-1.0182761904761832,-0.39406122448979125,-1.4149999999999636,0.0016756613756614216,0.2632222222222064,0.8083333333333371,1.3652777777777867,0.8064571157301811,2008.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_2,4071,-0.04948852014548424,-0.9347794547794634,-0.3100518443544735,-1.3099056818181865,0.019794878872247613,0.18622057251345336,0.807038466967818,1.1795328042328068,0.7967363232348582,2008.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_3,445,-0.015652287724757317,-0.3371636363636526,-0.14719304152638163,-0.5159999999999627,0.0026487956487944056,0.1343787878787899,0.301926262626273,0.4590909090909463,0.29150577193761446,2008.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_NF_4,10,0.13498571428571893,-0.599583333333328,-0.2642857142857338,-0.8580000000000041,0.21208333333332519,0.3371428571428794,0.817916666666676,0.8200000000000216,0.4895209146431033,2008.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_NF_0,4802,-0.03782989268240196,-0.8429193873256396,-0.3436847210948797,-1.3384270833333372,0.007441700055263492,0.21898211257518035,0.7793781408186155,1.1551226190476185,0.8207448146835249,2009.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_NF_1,300,0.14234339706589566,-0.7112857142857081,-0.20423412698412355,-1.09433333333331,9.587769587770597E-4,0.4210624999999979,1.0754166666666833,1.5008928571428584,0.8424891389772733,2009.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_NF_2,4058,-0.054334882124063635,-0.9681219954648554,-0.343564942002442,-1.465350952380944,0.006041800678581312,0.28220428028761313,0.7797350481859401,1.2097325396825398,0.8557330880740841,2009.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_NF_3,441,-0.0107326177224148,-0.3221717171717273,-0.13527823691461033,-0.4466161616161628,-0.007758730158731453,0.10164015151515216,0.2733459595959573,0.49166666666667425,0.2835877455978169,2009.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_NF_4,10,0.14494047619047593,-0.6604166666666629,-0.1316666666666606,-1.171666666666681,0.03283333333331484,0.6883333333333326,0.8231190476190591,0.9035714285714391,0.5843982321949005,2009.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_NF_0,4766,-0.0464511974247597,-0.8422127739984824,-0.34125695240217396,-1.2744384920634826,0.007925678737837977,0.2152468789275234,0.7220285879875994,1.0845491718426523,0.7556239100587105,2010.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_NF_1,290,-0.024494225506293592,-0.5863571428571163,-0.23485714285713755,-0.8625000000000114,0.0028620129870130418,0.20719400352733588,0.5637888888888994,0.911428571428587,0.5878156002803125,2010.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_NF_2,4039,-0.05231436343772282,-0.9036392668178357,-0.3417281712628948,-1.3403785381285365,0.0062861566289140235,0.2823060676922294,0.7748541083099909,1.2210112146307792,0.8001316465216001,2010.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_NF_3,432,-0.001655670461225414,-0.28488888888890074,-0.13260353535353175,-0.41269841269843255,3.757575757595077E-4,0.12715404040403655,0.28592803030303315,0.4266666666666197,0.24940231229676194,2010.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_NF_4,10,-0.23992896825394894,-1.5358809523809498,-0.38999999999998636,-2.633428571428567,-0.14562499999999545,0.3373333333333619,0.5498611111111416,0.6888888888889255,0.870202453508455,2010.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_NF_0,4703,-0.04392302908186415,-0.8411255075673694,-0.2822590734935547,-1.2841028571428479,0.008157333313898424,0.22042869875222715,0.7169881730469999,1.14925,0.784471431127617,2011.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_NF_1,280,0.014014310193775461,-0.7043809523809349,-0.23184523809523463,-1.0916666666666686,0.0026297313797279467,0.3300753968254,0.7314428571428607,1.0755000000000052,0.6575465324970453,2011.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_NF_2,3987,-0.05244571010184262,-0.9114069444444481,-0.34600382778479966,-1.3467239475500308,0.006570987654320783,0.22085204081632662,0.7798769841269804,1.2853209876543177,0.8289661575193231,2011.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_NF_3,431,-0.010414572473160374,-0.2740151515151581,-0.13338383838384735,-0.42647727272726854,-0.007373176206505782,0.1009595959595982,0.27333333333334053,0.41166666666669016,0.264980471807867,2011.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_NF_4,10,0.08915476190476852,-0.486166666666648,-0.3149999999999977,-0.6303333333333114,0.06583333333334451,0.24994047619043158,0.9349702380952465,1.1697023809524012,0.5043270013225887,2011.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_NF_0,4661,-0.06287325425772078,-0.9707989117364152,-0.34286046293363587,-1.4714384057970993,0.007704963569465163,0.21780775361589327,0.7812639443889429,1.2230892857142877,0.8639260853341495,2012.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_NF_1,267,-0.07983909588122991,-0.9742966269841276,-0.39631988249845207,-1.5450000000000017,0.0057657807308987155,0.28207640692642144,0.8079999999999927,1.3479166666666345,0.9095790366497276,2012.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_NF_2,3963,-0.06819315546510822,-1.0294291251384255,-0.40294767137624327,-1.5289914965986497,0.006658239872525682,0.2809251152073756,0.7791479229989863,1.275847826086957,0.9018693793015381,2012.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_NF_3,424,0.001407322891992635,-0.28934595959596265,-0.12588068181818696,-0.39666666666664696,0.003376794258372977,0.11485537190082534,0.28958333333332575,0.4233333333332894,0.26661202599667777,2012.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_NF_4,10,-0.21916111111110298,-0.9935714285713857,-0.7459999999999809,-1.111904761904725,-0.134960317460326,0.22458333333332803,0.43241071428570876,0.5926785714285359,0.5164084363312782,2012.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_NF_0,4668,-0.04906875779771051,-0.656737071172556,-0.27918313250797405,-0.96591302910053,0.009538068219553364,0.15564059271453687,0.5329916615130933,0.7746711159211128,0.5622975508153012,2013.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_NF_1,259,0.07053810443096258,-0.857222222222191,-0.2999428571428496,-1.1677676767676815,0.003586309523809206,0.4185714285714255,1.0133174603174666,1.547999999999945,0.7680368595850832,2013.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_NF_2,3980,-0.06073355531263861,-0.7170833333333354,-0.2787433274544395,-0.9656876750700283,0.009013432922685352,0.1561502935196124,0.5329168415759363,0.775464285714281,0.5679244277258269,2013.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_NF_3,422,-0.008286560595802262,-0.321222222222237,-0.14843750000000355,-0.47400378787879305,0.0029992229992253728,0.13083333333332803,0.30246861471860953,0.41808080808078785,0.2771584280578246,2013.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_NF_4,10,-0.2763071428571379,-1.2800000000000011,-0.44633333333331393,-1.524000000000001,-0.0727499999999992,0.09666666666663559,0.2511666666666912,0.30833333333336554,0.5494920192226137,2013.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_NF_0,4636,-0.06301205369982299,-1.032755853174598,-0.40641895495572083,-1.5341624999999994,0.00749409849409849,0.2785521561771558,0.8431860569985562,1.3379361471861493,0.8859587576435253,2014.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_NF_1,248,-0.11160443141088033,-1.177654761904762,-0.5240833333333157,-1.5949999999999704,0.0029874686716781476,0.3270833333333343,0.7335595238095252,1.0885000000000247,0.8323788146665501,2014.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_NF_2,3960,-0.06667005097876293,-1.0912082231040527,-0.40674066102437095,-1.6621071428571423,0.006015498749025931,0.2792854900354899,0.9683238095238117,1.4067721088435419,0.9300954363437587,2014.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_NF_3,421,4.554897464636739E-4,-0.3182943722943662,-0.1483636363636549,-0.4000935064934993,0.0035868205868210693,0.13213911845730308,0.2714458874458866,0.5070454545454339,0.28605196197635313,2014.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_NF_4,10,-0.07035317460316434,-1.1038333333333128,-0.26821428571432193,-1.8899999999999864,-0.08283333333332621,0.35333333333335304,0.7850000000000108,1.0900000000000034,0.7314451987856172,2014.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_NF_0,4611,-0.04567837325449554,-0.7177954732049546,-0.28069663867878136,-1.0325995115995124,0.008769019282627234,0.15769692159692283,0.5909198326549073,0.8993829816017289,0.6021394306957022,2015.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_NF_1,245,0.028196454339313254,-0.788888888888863,-0.32030158730159997,-1.5628571428571263,0.003159983291559935,0.41779444444446767,1.1498095238095516,1.4500000000000455,0.9026070530176407,2015.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_NF_2,3941,-0.05626216692608491,-0.7348859126984083,-0.2972976712614883,-1.0468986291486237,0.0018441633597886507,0.17228791291291573,0.5790227591036453,0.9176190476190536,0.6018617431388292,2015.0,NF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_NF_3,418,0.010938886472380456,-0.3047929292929344,-0.1336268939394003,-0.44454545454544814,0.0020592505137968105,0.1451893939393969,0.3216856060606119,0.5472727272727411,0.30338037702770726,2015.0,NF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2015_NF_4,10,-0.047464285714281115,-0.9562202380952414,-0.35666666666668334,-1.126607142857182,-0.05091666666666583,0.3571428571428612,0.8857083333333406,0.9568452380952692,0.6146872286447517,2015.0,NF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2016_NF_0,4554,-0.05094048799368338,-0.9073684807256269,-0.3442977727005459,-1.347438775510204,0.007833546176045793,0.21716092745637874,0.7162826287187939,1.158462962962959,0.8114954888769108,2016.0,NF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2016_NF_1,236,-0.03743373199305358,-0.672291666666645,-0.24664880952381196,-0.9581481481481546,0.0046325187969925635,0.19809259259259684,0.5856666666666399,0.9051785714285927,0.6047493952172492,2016.0,NF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
