system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_NF_0,4884,-0.0032945502320499776,-1.3112242368742375,-0.4360419195840407,-2.06424704924705,0.018235692135001116,0.4376051011103097,1.3098045797553997,2.0643219461697875,1.342094891736641,2005.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_1,322,-0.033023856578205224,-0.7031666666666823,-0.29390476190477555,-1.103333333333353,0.004178358843537312,0.264255952380978,0.6449999999999818,0.910666666666657,0.614958802069339,2005.0,NF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_2,4117,0.0037244209855944194,-1.4383117699910095,-0.5634062765055129,-2.1887795414462112,0.0140402807182004,0.5593813932980625,1.569444920634917,2.178995884773662,1.4401691223842847,2005.0,NF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_3,443,-0.054938638236606,-0.335518655947238,-0.17851202501201,-0.47333333333330074,-0.04243204775022233,0.0873621933621981,0.21318867243866993,0.3630952380952029,0.28613861992053913,2005.0,NF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_NF_4,10,0.3558095238095348,-3.4849999999999994,-0.9999999999999716,-4.519999999999982,0.5050000000000097,1.0366666666666617,4.698333333333366,8.206666666666706,3.1257653198004443,2005.0,NF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_0,4869,-0.03499029974954181,-1.6826145649617883,-0.6821854960011721,-2.4368113662131563,0.016458360807699263,0.5657860897007293,1.55907471540805,2.44174603174603,1.5527100122580606,2006.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_1,319,0.03896247178457255,-0.6976190476190425,-0.2351285714285723,-1.0349999999999682,0.001900793650793986,0.32626190476190686,0.7403095238095337,1.048000000000016,0.658335745932601,2006.0,NF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_2,4101,-0.04139912228847859,-1.8047275707384396,-0.8124368253968248,-2.6836838624338695,0.013113759651991365,0.6828376253376238,1.81922505668934,2.689748120300751,1.6734757055831115,2006.0,NF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_3,445,-0.038859509217373286,-0.4613392857143026,-0.21200039682539681,-0.6166666666666742,-0.023939417989413413,0.14531746031748108,0.3329365079365232,0.4765416666666624,0.3483248638513474,2006.0,NF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_NF_4,12,0.40815277777777936,-1.7775000000000034,-0.396499999999989,-5.171999999999969,0.5823333333333238,1.8550000000000182,3.079999999999984,3.3549999999999898,2.2118664603074456,2006.0,NF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_NF_0,4842,-0.03446674607346836,-1.030472398589062,-0.406233909833423,-1.5918718844286985,0.00639465585507451,0.34347457627119055,0.9685942460317486,1.4067064754689795,0.9643433120023325,2007.0,NF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
