system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8349,-0.025381892561464788,-0.6509903575137216,-0.21971159471159626,-1.0914800264550288,0.010102787484902637,0.21848908175607515,0.654254916420847,1.0298067186644841,0.68241928444215,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,568,-0.03227388827916925,-0.6298015873015856,-0.264580114330108,-0.982869047619026,0.0037023052393438485,0.20350466853408106,0.6093839285714253,0.8547222222222217,0.5693394311472545,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6984,-0.021894375042355956,-0.716548366689673,-0.28111553791887195,-1.161236441798938,0.009042605719132409,0.21928017553620271,0.6546080376595106,1.030345088349812,0.7205433374046409,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,663,-0.049151329063094565,-0.3218065476190439,-0.16467060212514054,-0.44492592592593877,-0.021438552188552507,0.08576975638740023,0.22543073593074123,0.3654671717171709,0.2730725422920119,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,155,-0.05155996136479809,-0.5213412698412773,-0.30284722222222626,-0.6481944444444707,-0.036834632034640435,0.10520833333333712,0.39800000000001035,0.8149999999999977,0.4448789419520457,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8337,-0.030945451706876296,-0.54833616010855,-0.202296372977534,-0.7672039497969716,0.0038108107752531386,0.14027867965368146,0.45190514736405074,0.7026661638025283,0.4621420748934543,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,568,-0.010380046694306524,-0.5464634920635035,-0.20336935286934696,-0.7389672619047687,0.004098717112418003,0.20300873015873436,0.5111309523809572,0.7059259259259344,0.4909488565292836,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6973,-0.03166130523236468,-0.548598165495707,-0.23394564606145749,-0.7965900167084357,0.003536340773995442,0.14025374405883043,0.4522265807962514,0.7023401875901878,0.46752628042944183,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,662,-0.038578434866576326,-0.33653914141412855,-0.1501542699724532,-0.49248484848484964,-0.022272481306571154,0.08397857543691759,0.25504820936638917,0.3995707070707131,0.28251201075505744,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,155,-0.046851191639902645,-0.5743898809524026,-0.32840909090910486,-1.0559999999999832,0.004457264957264984,0.23182936507937565,0.6855277777777739,0.9600681818181727,0.6633770818747518,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8318,-0.03549656614924705,-0.7155834481175393,-0.28116571123226664,-1.1532088675213648,0.00986033945906338,0.2175704338157708,0.6575022632338379,1.0330346991509838,0.6718625147644751,2007.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,560,0.011368445938981456,-0.6831851851851785,-0.26786428571428755,-0.9559940476190434,0.003048234445294059,0.29608333333332837,0.73115161822305,0.9617857142856963,0.6147337487915155,2007.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
