system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8323,-0.01717400927799808,-1.3114441964285721,-0.43300686673563915,-1.9391238576238559,0.02122681808625514,0.4341224500918742,1.3111872014177814,1.9309688208616773,1.2694693746120376,2005.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,563,-0.04191850694204259,-0.7246666666666783,-0.2764879921665714,-1.0290666666666652,0.010070783593511181,0.2128306878306887,0.5972886904761907,0.9119444444444582,0.6840135327568557,2005.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6976,-0.007647725669622006,-1.4407932049224135,-0.5610317125443727,-2.059709868224014,0.017082260888479774,0.5583663576007335,1.434158043569334,2.0584532389532457,1.338311083296753,2005.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,655,-0.08199285328750873,-0.4021162171162281,-0.21457571634714603,-0.6002777777777867,-0.027808802308801932,0.09216744614513114,0.2110495867768572,0.4005200016033478,0.5459157760623887,2005.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,150,-0.09386404761904753,-1.74675000000002,-0.7871111111111114,-2.6549999999999727,-0.012999450549453576,0.53857142857143,1.2750000000000057,2.288333333333327,1.7964412535801881,2005.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8326,-0.02000666985215409,-1.5596495098039236,-0.5619923347329372,-2.3126543549043483,0.019621706752934724,0.562679872928798,1.5599241157778398,2.443314713064707,1.4554536740490114,2006.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,566,0.005520625870007154,-0.675100529100528,-0.23336791383219488,-0.9877936507936246,0.004080506631874971,0.32654027520100165,0.6940025974026014,0.9551507936507789,0.6404360606704086,2006.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6967,-0.019890071541141037,-1.6895971781305128,-0.683473313011774,-2.431127615440116,0.016646520514883877,0.6862944992623752,1.683657291666664,2.6824333607006046,1.5685352728017221,2006.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,659,-0.047542111446132886,-0.5155026455026691,-0.23192722462722676,-0.6770164141414128,-0.016886752867021102,0.13781869717583511,0.39298015873015046,0.5780624999999944,0.41837962916357607,2006.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,155,-0.04243836987385594,-0.9779365079365144,-0.3987476190476116,-1.4466666666666583,-0.02882222222220321,0.3294999999999959,1.018222222222202,1.5713988095238278,1.0316425131552864,2006.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8305,-0.037677975115392455,-1.0613202996715871,-0.4400492540763862,-1.5594971957671968,0.023512753148744393,0.31050363880158377,0.9370553193499676,1.3119039682539662,0.9058923877657462,2007.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,562,-0.06665387286695064,-0.6360059523809601,-0.2657095734127015,-0.9225000000000136,0.0044314398338805286,0.1693794714057976,0.4826362433862433,0.7104166666666742,0.5565583638569991,2007.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_2,6959,-0.03655238013331862,-1.095620296884179,-0.46913851771221876,-1.660397046501887,0.0070816610758168055,0.4047186729764357,0.9691457735704825,1.4048688730624286,0.9458582073719073,2007.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_3,655,-0.04922330171948497,-0.409157875749969,-0.21844133644133626,-0.5824444444444452,-0.033604018047676265,0.155815323565323,0.2858374690785358,0.46651082251082293,0.46268412414041804,2007.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_4,148,0.0719887387387382,-1.2162500000000023,-0.39408333333334156,-1.7946666666666715,0.009527210884355344,0.4706626984126956,1.22595238095235,1.6666250000000389,1.3755279216417533,2007.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_0,8292,-0.05039060280114891,-1.3112896543960377,-0.5612115476450004,-1.8066459986772456,0.021017906704333695,0.4314849916397531,1.1882796918416747,1.8089663471449116,1.1711650742682598,2008.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_1,557,0.033043075665607984,-0.8016904761904584,-0.30094588744589923,-1.268111111111125,0.0018403221985317264,0.3927838827838829,0.91883333333332,1.507083333333341,0.8637788106591321,2008.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_2,6948,-0.054954821936363286,-1.3107105344742065,-0.5612461818060555,-1.9377009043927653,0.0173495742801078,0.4333986776289144,1.1876844320396949,1.8060824966995113,1.2026802631974816,2008.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_3,657,-0.0500892678689477,-0.5662507542962113,-0.18372068083431647,-0.6736155462184871,-0.06114102360432245,0.18587962555335336,0.42232518304740235,0.8025947971781401,0.8719284240341523,2008.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_4,151,-0.23287201485049086,-1.8283988095238044,-0.7998505291005102,-2.9566666666666777,-0.0450071428571448,0.5748611111111188,1.8166666666666629,2.7620000000000005,2.1944948486385187,2008.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_0,8267,-0.05622128925467531,-1.6893756056808669,-0.6864088599614291,-2.423262643041714,0.01917075777211819,0.5632014019930682,1.4367731411863007,2.187233118105996,1.488382260135079,2009.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_1,546,0.08873719600505378,-0.9672857142857286,-0.40661433531746916,-1.4784226190476062,0.005908023483366238,0.45809740259741977,1.1598452380952438,1.909166666666664,1.0836685814147127,2009.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_2,6931,-0.0697808856647771,-1.8119641439909342,-0.6868839178712067,-2.5626129426129447,0.016489349232542354,0.5614756264603971,1.5651750283446662,2.3074291005290966,1.5465786821995444,2009.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
