system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_330cells_loss_2004_analysis_2005_TOT_0,3097,-0.034596720235241324,-0.3442671122994625,-1.4066989967704377,0.008762154342256757,0.27940228279472484,1.3505628306878303,0.8377306076769169,2005.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_1,213,-0.04805845849508075,-0.39458531746031866,-1.5556666666666956,0.004332010582013861,0.3294642857142662,1.2633333333333212,0.8395846368574357,2005.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_2,2581,-0.03284203788591587,-0.4070296551521049,-1.4065443722943836,0.007570555131143706,0.2796359682935042,1.3949682539682544,0.860935233151617,2005.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_3,257,-0.040821863717778635,-0.2249384226884213,-0.8953141414141441,-0.02577989252126866,0.09413223140497125,0.7858035714285734,0.5808596555901112,2005.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_4,55,-0.010577574445757033,-0.3436666666666781,-1.3366666666666447,-0.02444444444444116,0.4087499999999977,1.3774999999999977,0.6969538947882118,2005.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_0,3093,-0.025628574554375238,-0.4692546403368345,-1.8469920634920733,0.00753304035082825,0.40850074048757823,1.9132515873015876,1.1332862179926781,2006.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_1,209,-0.0546861092124224,-0.45559027777777317,-1.4562500000000114,0.0029968253968263524,0.33081250000000395,1.170000000000016,0.7448425090023033,2006.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_2,2581,-0.02154297192325173,-0.5295873015872997,-2.028750793650815,0.005688636999720085,0.5281314285714325,2.0313566137566075,1.2111903819153704,2006.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_3,257,-0.03306447184462712,-0.2675918367346973,-0.8509285714285539,-0.015903066378058384,0.1731861111111101,0.7347361111111326,0.48450900239236355,2006.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_4,55,-0.0693788600288604,-0.4040000000000532,-1.0795238095238346,0.0,0.22750000000002046,0.6560000000000059,0.4594127246220701,2006.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_0,3094,-0.008803220355741515,-0.3440091418385574,-1.3414686507936466,0.009257807295074206,0.3418956739607429,1.3396134920634908,0.8510399009976137,2007.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_1,213,-0.025629377273743235,-0.2609279100529089,-1.1636666666666617,0.0028466666666668063,0.26307029478459754,1.2965000000000089,0.7233067125859346,2007.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_2,2579,8.236481862884875E-4,-0.40401467480931885,-1.4048992063492136,0.007591163375919225,0.34122436381960325,1.4707108465608447,0.8935959444706708,2007.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_3,256,-0.06387035533910501,-0.25844444444445,-0.8415555555555443,-0.02170346320347351,0.16533888888889692,0.6003333333333245,0.43961690407869586,2007.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_4,55,-0.0903015151515154,-0.4700000000000273,-1.0108333333333235,-0.1157142857142901,0.24791666666666856,1.1276190476190493,0.6140375885899938,2007.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_0,3091,-0.012779888710088562,-0.3462318499899145,-1.2230378510378574,0.008849935866602793,0.2829357204921743,1.2176517857142812,0.7684720744286411,2008.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_1,212,0.103585509747066,-0.3443333333333385,-1.2366666666666788,0.0024782608695646936,0.342371031746031,1.9210714285714374,0.9807835631959004,2008.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_2,2576,-0.015289968787250419,-0.34619494548661106,-1.2219021164021224,0.007774829836315201,0.281839723124099,1.2188922619047602,0.7685551384615416,2008.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_3,257,-0.052426204793910774,-0.3002617965367961,-0.9243055555555628,-0.014108199340341798,0.1440952380952467,0.7413333333333298,0.5138934436408128,2008.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_4,55,-0.14458109668109334,-0.40027777777777374,-1.8641666666666765,-0.05125000000001023,0.15800000000004388,1.0924999999999727,0.7456608489516622,2008.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_0,3089,-0.012051387715194924,-0.3435204928291638,-1.286517507002802,0.007669859141877423,0.28085231782107073,1.2948755411255362,0.8233525518666371,2009.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_1,212,-0.07018368149146331,-0.3733997113997021,-1.4076547619047688,0.007668154761907076,0.16326934523808667,1.0401481481481387,0.8252014664244531,2009.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_2,2574,8.2668425850209E-4,-0.34370817077298405,-1.2889379251700726,0.006881809163059033,0.281062150681872,1.3404888392857082,0.8502180954776922,2009.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_3,257,-0.03694050707182957,-0.2737314814814861,-0.9099999999999682,-0.007316798941805776,0.18034788359787987,0.7155555555555679,0.4800232652159105,2009.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_4,55,-0.2712978879706136,-0.6500000000000341,-1.379428571428548,-0.1414999999999793,0.15300000000002,0.8670000000000471,0.718187426323851,2009.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_0,3089,-0.035957546491133065,-0.43554956154956015,-1.8151521164021243,0.02077402991599995,0.31673835803637085,1.6800677083333344,1.0992971387904575,2010.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_1,212,-0.056568471099130754,-0.4021250000000087,-1.913000000000011,0.005252976190475304,0.4166329365079425,1.3338333333333523,1.0252370357805791,2010.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_2,2574,-0.03125909668333877,-0.4366914354584772,-1.9412065476190434,0.017184927372670234,0.43488307823129446,1.829992581090396,1.1416695055586825,2010.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_3,257,-0.05661800467150607,-0.28531436387686426,-1.0222857142857151,-0.033678997769911234,0.21407495590828615,0.9137830687830805,0.7508384223843614,2010.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_4,55,-0.09831659451659479,-0.2817857142857747,-1.2378571428571092,-0.007777777777789652,0.15138888888890278,0.6454444444444789,0.48839964302482436,2010.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2011_TOT_0,3087,-0.03384227776866308,-0.2810467312635321,-1.0284281537176247,0.010250861084341905,0.15639903799903393,0.9021430174763496,0.6012800367431645,2011.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2011_TOT_1,210,-0.018801111454684986,-0.33957936507934505,-1.539999999999992,-0.02951917989418007,0.3544277777777779,1.4308333333333394,0.9229980246794081,2011.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2011_TOT_2,2574,-0.03607746854716575,-0.2656461996053861,-0.9884302721088432,0.003503867951881456,0.1712812397154471,0.8862683982683942,0.577612050677711,2011.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2011_TOT_3,257,-0.01979209970747021,-0.2572033730158765,-0.7394285714285616,0.002122540338452888,0.2311117424242468,0.6309999999999718,0.45570817047594464,2011.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2011_TOT_4,55,-0.06586091433819041,-0.40909090909093493,-1.0953333333333148,-0.08436363636360511,0.24677777777776555,0.8345454545454913,0.6881550299738332,2011.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2012_TOT_0,3079,-0.06367506995909035,-0.4046516865079333,-1.5289711111111057,0.00745848507753217,0.2817320217833895,1.2746900170536486,0.8730155168270413,2012.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2012_TOT_1,209,-0.020761112491973637,-0.36533333333332507,-1.4568333333333214,0.0030411877394605088,0.30266666666666237,1.3816666666667174,0.802999107553658,2012.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2012_TOT_2,2572,-0.0659655028961013,-0.4052812925170043,-1.5285103174603123,0.007079368358913353,0.28095316043083635,1.3407970521541952,0.90522924385576,2012.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2012_TOT_3,252,-0.047800185815064754,-0.26282828282825627,-1.0069246031746104,-0.013562409812406528,0.237175505050498,0.838571428571413,0.5884391401975334,2012.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2012_TOT_4,55,-0.19810274170274675,-0.4635555555555868,-1.3680555555555998,-0.11599999999998545,0.054249999999996135,0.7021428571428316,0.5550896570507626,2012.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2013_TOT_0,3072,-0.04976457609953683,-0.34439550844068806,-1.3455603580447324,0.00884430056788226,0.21563394396931088,1.1596671957671882,0.7859655825445423,2013.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2013_TOT_1,208,-0.03601675061049948,-0.4311904761904941,-1.3838392857142736,-0.017428571428574458,0.18994444444443084,1.6399999999999864,0.8649770972140117,2013.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2013_TOT_2,2567,-0.04861337960831515,-0.3433201712503183,-1.3448931878306876,0.007378090863385648,0.21503428696907076,1.2175238095238115,0.7951004401199581,2013.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2013_TOT_3,251,-0.0207419053942958,-0.21935026085026374,-0.7712240259740497,-0.035963047138045566,0.16096773861059432,0.6027453102453109,0.642716470356006,2013.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2013_TOT_4,55,-0.24739751410206012,-0.5174999999999841,-1.543333333333294,-0.11644444444445412,0.11142857142857565,0.6185714285714425,0.6209798749692205,2013.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
