system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_330cells_loss_2004_analysis_2005_TOT_0,3068,-0.20176674714174744,-0.876444711217821,-3.885831890331889,0.056524572669593674,0.3651000469153188,2.8710167548500873,2.092243436244093,2005.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_1,212,0.031232076492688977,-0.21291666666666423,-0.9903333333333251,0.007799074074072602,0.32306712962962614,1.3114285714286211,0.8469717367788201,2005.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_2,2553,-0.22888851118198944,-1.1197290660225436,-3.885831890331889,0.04782548452161707,0.6233911401098926,3.1266052631578956,2.265287633881558,2005.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_3,257,-0.0973417077950178,-0.2920702260702323,-0.8872619047619139,-0.07864395943562227,0.11229166666666401,0.5336111111110426,0.5283607290692892,2005.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_4,55,-0.34898116227207343,-0.4466666666667152,-3.240000000000009,-0.11714285714282369,0.2123333333333619,1.321333333333314,1.4000215161417475,2005.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_0,3092,-0.051586774345748564,-0.810676505762118,-3.558933333333343,0.018180019583591465,0.8118414987790005,3.5464821428571414,2.1534216943562936,2006.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_1,211,-0.03268522906792654,-0.3445738095238028,-1.6350000000000193,0.015125425170063116,0.3548134920634993,1.5653333333333705,1.013326822223709,2006.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_2,2578,-0.055752620967515945,-1.0634745842781588,-4.0678888888889,0.01254478169554543,1.0592662863756583,3.829179487179499,2.3227527735773252,2006.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_3,257,-0.04303899051661638,-0.25958068783070587,-0.704391534391514,-0.016449735449735197,0.17367950937951662,0.6987499999999898,0.4309200522204253,2006.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_4,55,0.02384961957234695,-0.7900000000000205,-3.073333333333352,0.0,0.6608928571428692,3.443333333333328,1.7408146670960827,2006.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
