system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_330cells_loss_2004_analysis_2005_TOT_0,3096,-0.022285881727015212,-0.21839721821388658,-1.0873201058200992,0.010069263450481168,0.2166223373975688,0.9701742979242979,0.6856836203724701,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_1,213,-0.01649792695567406,-0.2670079365079303,-1.009999999999991,0.002868631368635568,0.23123809523810337,0.8766666666666367,0.5887682184056957,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_2,2581,-0.01893357231472282,-0.2781977351916351,-1.211541666666669,0.009020693886657296,0.2162861406270509,1.035514880952384,0.7249420588151143,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_3,256,-0.058205901086759604,-0.16386774891774109,-0.41166666666669016,-0.053519696969704,0.05546464646464718,0.39714285714285325,0.2449563465574365,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2005_TOT_4,55,-0.03809031877213546,-0.3471428571428987,-0.5919999999999845,-0.0642857142856883,0.1258181818182038,0.8149999999999977,0.4483253143668232,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_0,3097,-0.0361623687635144,-0.20300245791246121,-0.7348990683229824,0.003587828087828892,0.14010821620080918,0.6073309111523376,0.4481738842646306,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_1,213,-0.06213599272401948,-0.24499999999999034,-0.7696666666666658,-0.0059027777777724095,0.19666666666667254,0.6149999999999807,0.46549868681721357,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_2,2581,-0.03166698646396384,-0.2024151625211018,-0.7670695767195714,0.0030926818770175045,0.13960139777304012,0.6427432844932945,0.45091388975558816,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_3,257,-0.04136443647144039,-0.1646221139971118,-0.5088484848484806,-0.024846230158718896,0.07081649831648917,0.37000000000000455,0.26441650347837126,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2006_TOT_4,55,-0.151458093926273,-0.35321428571427305,-1.1733333333333462,0.0,0.1833333333333087,0.6850000000000023,0.7728830422321642,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_0,3092,-0.04111296619867149,-0.2667644240019309,-1.1051393298059855,0.0034261321058533852,0.1700806721458875,1.0486666666666717,0.6592565240805682,2007.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_1,210,0.0556942400192393,-0.23121428571425895,-0.8824999999999932,7.318295739351972E-4,0.3512380952380833,1.0675000000000097,0.5584687784238557,2007.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_2,2579,-0.04652512733270792,-0.2967924297924243,-1.2303265306122537,0.002918895806910463,0.20380580357143074,1.0787965367965326,0.696333831484179,2007.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_3,257,-0.0394307345270389,-0.1443333333333404,-0.4792916666667111,-0.026041666666657193,0.07416666666668448,0.30898809523809234,0.23169581016185656,2007.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2007_TOT_4,55,-0.16446677817132344,-0.5199999999999818,-1.1000000000000227,-0.10199999999997544,0.1763636363636465,0.5936363636363637,0.4530776426021791,2007.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_0,3092,-0.031432785860826,-0.2766477933507598,-1.0894404761904752,0.010163756781352716,0.2148784208545064,1.0304126984126956,0.6534187574513842,2008.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_1,213,0.021195970435405984,-0.2642424242424208,-1.0189999999999912,0.004028640441684611,0.23873131313129647,1.3666666666666742,0.6500662674067971,2008.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_2,2576,-0.03340140703844148,-0.3425767195767217,-1.0894404761904752,0.008904749439810351,0.21381944444444262,1.0947193877551038,0.6796528094038295,2008.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_3,257,-0.04455216001032763,-0.14169075369074755,-0.5773148148147982,-0.018702092352086197,0.10301370851372228,0.3837878787878708,0.3572088283684384,2008.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2008_TOT_4,55,-0.08703619965892762,-0.3912727272727352,-0.7646363636363844,0.0,0.13999999999998636,0.5533333333333701,0.3889268079881649,2008.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_0,3087,-0.0308420969844681,-0.28131480027908823,-1.1554081632653006,0.009728637030992702,0.2138180328125991,1.0956044277360057,0.7720096181205452,2009.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_1,212,0.02091122478150749,-0.30050541125542907,-1.072499999999991,0.0060340046426970075,0.29526530612244123,1.2425952380952339,0.687636841592724,2009.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_2,2573,-0.03159983825821367,-0.3435705820105788,-1.2871006235827633,0.008437138533864581,0.21390159632034803,1.095936974789916,0.8139868849417597,2009.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_3,256,-0.05053227729301901,-0.17675000000002683,-0.4870075757576089,-0.03353535353536093,0.06376515151514184,0.40222222222223536,0.2804093194508305,2009.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2009_TOT_4,55,-0.10171194411648436,-0.350909090909056,-1.116222222222234,-0.12000000000000455,0.11899999999997135,0.5908888888889123,0.5007686555177141,2009.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_330cells_loss_2004_analysis_2010_TOT_0,3088,-0.05851534742783109,-0.2819440321583182,-1.2135056689342423,0.008166468155042649,0.21748541591510526,0.9670391156462566,0.6836644004072228,2010.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
