system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,265,0.1497492393927779,-0.5545732609543105,-2.14338095238151,0.047346529971489894,0.5474711927987017,2.679642857143694,1.670327948214256,2002.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,-0.10703895140588832,-0.29596825396824533,-0.9081746031753974,-0.1744062881562729,0.18399444444456092,0.5378788638262062,0.3875827796050244,2002.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,179,0.22698838403896215,-0.6727937139249901,-2.5749547619054542,0.04595261909410177,0.6936210128496563,3.45895238095211,1.9563888809452532,2002.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,36,0.09906723043486294,-0.49799413305993445,-1.5800595238094015,0.03965537240540851,0.5097113095238242,1.6818333333334357,0.8190532341998169,2002.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,35,-0.10629168741681941,-0.4053000000003024,-1.56216326530613,0.001705215419392836,0.3992592592588873,1.0111111111110773,0.8271178109400678,2002.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,263,0.03630808759706269,-0.6643792989418158,-2.775982377512156,0.021917856151730343,0.7739367965367405,2.7398333333327987,1.638452985924714,2003.0,BF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,-0.48249237661817357,-0.5422707070707249,-3.7825000000005744,-0.2637613275613928,-0.09313060731543321,1.0406015037594143,0.972672571549005,2003.0,BF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,175,0.034973170183083116,-0.8295691438191829,-3.1751666666663887,0.07750000000017465,0.962666666666697,3.5071666666688444,1.8858800006242677,2003.0,BF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,37,0.14337939266638355,-0.3289527744982834,-1.345307407407553,0.04172027972027781,0.6118911564625229,1.8090901360536247,0.9486335582136411,2003.0,BF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,0.11835456768678004,-0.27349650673401094,-1.7721547619062719,0.06912244897971354,0.5768485449736431,1.7315428571426068,0.9459131574966891,2003.0,BF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
