system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,268,-0.0011224620242206013,-0.3613324979114413,-0.8909451058202311,0.044908343557146936,0.28944444444453293,1.1050901360543488,0.6238658397217501,2002.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,-0.10998535035208845,-0.40034340659325895,-0.7158333333333289,-0.24526406142170032,0.07605930735945776,1.0871010860484276,0.4342337530753333,2002.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,180,-0.026485521164941166,-0.40065323336306247,-1.0344940476189857,0.00809677263764159,0.2763940215649147,0.9748968253968395,0.6453590110843292,2002.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,37,0.056302409813547845,-0.1616259259259447,-1.4482915622389072,0.11710813492032912,0.2730231481482974,1.1121802721086844,0.6377734627866994,2002.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,36,0.07878862892696088,-0.4313751803751913,-0.806331501831373,0.1334487734487988,0.39447073863630955,1.1626363636363841,0.5645673725893869,2002.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,267,-0.05890363261019796,-0.5934700305056924,-1.6966666666670154,-0.08906738309996176,0.46284802117237955,1.6546362433863466,1.1058959868375344,2003.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,-0.1900234227538874,-0.4620454545454926,-0.7186383838384316,-0.24003838383838882,-0.07379734154727835,0.7221961722487187,0.37578147338529155,2003.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,179,-0.04779666877594785,-0.789595238095211,-1.9725189393938374,-0.09993167701860806,0.6104014550264631,1.9824444444442122,1.3045494151112467,2003.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,37,-0.00635385277406532,-0.2918181818182788,-0.7307694235589128,0.036501683501693805,0.22138888888888175,0.672499999999518,0.44612500534627453,2003.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,-0.13728436842122196,-0.44688459424179694,-1.200517006802773,-0.0980400432900499,0.2646134680134473,0.6943303571426274,0.5814623275132713,2003.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_0,264,-0.07684762062124828,-0.5625653697691397,-1.7540000000001115,-0.11036176118513653,0.41938380952377374,1.427547619047389,0.9682090229753337,2004.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_1,16,-0.33341024498652183,-0.5025569358179922,-3.0599999999997145,-0.3368270433270002,0.0455555555556133,1.0515925925926233,0.8372856739205119,2004.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_2,176,-0.08121772704203377,-0.6762927689593857,-2.14664285714284,-0.13487820512818027,0.5849166666666283,1.9073333333337725,1.1152143766473275,2004.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_3,37,0.019576770737280397,-0.1871328671328829,-0.8380158730159888,0.07143833943830558,0.27901503759400903,0.9065079365078823,0.5104771604370969,2004.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_4,36,-0.07297348637565938,-0.36771136363681034,-0.7553333333333239,-0.07461646333486627,0.12571405895690013,0.9557878787878842,0.43883859471210307,2004.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_0,266,0.008019124281291456,-0.4179379188711687,-1.1378048433048153,0.012091783910533005,0.36167222222219975,1.1313095238095734,0.7450127362252471,2005.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_1,16,-0.25598901477477287,-0.5831499796499022,-1.1046425120772234,-0.30070833333354585,0.06083333333326024,0.6000462962963287,0.4319235643708575,2005.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_2,178,0.05811589664843797,-0.4172911816577762,-1.2018333333332265,0.027991973304449136,0.40984744268076234,1.2865952380953618,0.8248234696444517,2005.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_3,37,-0.041680522115595274,-0.40975396825368726,-1.0945386904762273,-0.01938862307281397,0.33293663911840987,1.0567800453513865,0.6657335979278678,2005.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_4,36,-0.10428678264195303,-0.3329714441328875,-1.1299999999999955,-0.0060841388322883105,0.1609951089844781,0.42708333333341386,0.4024687051496102,2005.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_0,266,-0.06242841591889043,-0.41958123897710237,-1.1666666666662486,-0.07215655191368699,0.2672209415584373,1.0302072310407766,0.6435327710552313,2006.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_1,16,-0.25925835399268005,-0.6640885624036912,-1.3359999999999737,-0.26969973544971726,0.08173935786431841,0.9827631578946701,0.6094763012508118,2006.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_2,178,-0.06944277731626963,-0.45907834467131325,-1.0517708333329185,-0.07413451659450629,0.2671250901875819,1.0583174603174204,0.6462880267778685,2006.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_3,37,-0.025577849962953775,-0.27823232323223834,-1.483300865800766,0.012216117216148348,0.2270501443000441,1.3628571428572194,0.6757451046613003,2006.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_BF_4,36,0.019024893754432073,-0.23694002525255264,-1.2878095238094254,-0.05030099206350869,0.3780819291820334,0.9591666666667358,0.5831664687000809,2006.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_0,265,-0.10624813745474215,-0.5911047619048517,-1.8589814814817602,-0.07735402936931006,0.4021868591565981,1.3677499999999903,0.9195479885970052,2007.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_BF_1,16,-0.11809484051232966,-0.6329061076605349,-0.993714285714363,-0.12931024531021418,-0.03227248677243999,1.2958333333331638,0.624924466698169,2007.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
