system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_MF_0,681,-0.04086640158946566,-1.1027164454064111,-2.996166666666526,-0.0906259646692294,0.9067536207831504,3.2227050264548533,1.8124540991101528,2002.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_1,8,-0.1748963984098549,-0.5844878117913463,-0.8186296296296085,-0.2277500000002809,0.26542857142857024,0.5130769230768832,0.46403783108071467,2002.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_2,664,-0.03775075317213713,-1.1007590134144873,-2.996166666666526,-0.0906259646692294,0.9067536207831504,3.2991041666667797,1.8297682694177189,2002.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_3,8,-0.21829530423277077,-0.9054576719576448,-2.4513333333334897,-0.28615740740724505,0.8924338624339221,1.303333333333259,1.1598281251133133,2002.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_4,2,-0.21830769230783376,-1.120333333333726,-1.120333333333726,-0.21830769230783376,0.6837179487180585,0.6837179487180585,0.9020256410258922,2002.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_0,682,-0.057217447412814204,-0.6625145291216982,-1.6492644110275545,-0.03372176929964449,0.4695730101027572,1.5851851851852043,1.0380562416043286,2003.0,MF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_1,8,-0.15390460673581607,-0.526704365079413,-1.6699999999999884,-0.23831944444437747,0.47092552910054497,1.0269597069599508,0.7753087388706823,2003.0,MF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_2,665,-0.0577130953838465,-0.6625145291216982,-1.6388966165413374,-0.033976800249992285,0.4695730101027572,1.657294515669618,1.0468896714640514,2003.0,MF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_3,8,0.1824153865039594,-0.009632826278669349,-0.6004271284271789,0.21469708994718362,0.5142751322751735,0.6210714285714785,0.3781661811005932,2003.0,MF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_4,2,-0.12964667277142383,-0.23220238095224577,-0.23220238095224577,-0.12964667277142383,-0.027090964590601896,-0.027090964590601896,0.10255570818082192,2003.0,MF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
