system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_MF_0,682,-0.1272264683052877,-1.0943665032059167,-2.9013361678004523,-0.14802784817765388,0.8532995588901808,2.455785714286491,1.6080825009876372,2002.0,MF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_1,8,-0.12503573472655638,-0.48503117913832394,-0.8030000000000745,-0.14246359126988795,0.13282619047619404,0.7920512820516592,0.46970553742930377,2002.0,MF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_2,665,-0.1260688665033845,-1.0943665032059167,-2.9013361678004523,-0.14802784817765388,0.8532995588901808,2.58999999999957,1.6230329942512254,2002.0,MF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_3,8,-0.12709026124325917,-1.0967814814811403,-1.595999999999914,-0.1738295634919198,0.6295833333333238,1.861333333333313,1.0841158087783138,2002.0,MF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_4,2,-0.3835132783881632,-0.9372051282051044,-0.9372051282051044,-0.3835132783881632,0.170178571428778,0.170178571428778,0.5536918498169412,2002.0,MF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_0,672,-0.10301590409529068,-1.1996283292103869,-3.6881111111108664,-0.06378931957155012,0.9506865416065305,3.556738095238954,2.207589703663078,2003.0,MF,2001.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_1,8,-0.3118045336606553,-0.6371907536906409,-1.4424999999990726,-0.20189610389610468,0.09398181818181595,0.43827380952368955,0.5618864076909013,2003.0,MF,2001.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_2,655,-0.11057776242241653,-1.1996283292103869,-3.6881111111108664,-0.06378931957155012,0.9506865416065305,3.556738095238954,2.228258099211958,2003.0,MF,2001.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_3,8,0.15155667538474532,-0.09822519841268207,-0.8897619047619902,0.1612270723103859,0.396439113355604,1.1833333333333371,0.5599101961308606,2003.0,MF,2001.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_4,2,2.295975961538498,0.653874999999629,0.653874999999629,2.295975961538498,3.938076923077367,3.938076923077367,1.642100961538869,2003.0,MF,2001.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
