system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_MF_0,683,-0.06129296366981317,-0.41287514847218226,-1.0792266474266874,-0.07512571437825546,0.3320659127833707,0.9207706923128254,0.6216855246015243,2002.0,MF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_1,8,-0.13816443897541109,-0.232138888888894,-1.366205128205367,-0.04771111111105242,0.19663806216926716,0.42731349206343694,0.5199612381053369,2002.0,MF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_2,666,-0.06475372832912997,-0.45112345979630586,-1.0792266474266874,-0.07512571437825546,0.3312146541411469,0.9207706923128254,0.6241047384787122,2002.0,MF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_3,8,0.24507287558123214,0.0014246031745672738,-0.13526767676753693,0.16034535834537333,0.4093395061728726,0.9536317460317676,0.3257919495551933,2002.0,MF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_MF_4,2,0.3753768315019297,-0.13805952380956654,-0.13805952380956654,0.3753768315019297,0.8888131868134259,0.8888131868134259,0.5134363553114962,2002.0,MF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_0,681,-0.13993770551694393,-0.7169452862252629,-2.264211601307148,-0.09011849491655101,0.5319444621225675,1.6626101770452955,1.2015764985587096,2003.0,MF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_1,8,-0.3316836550024316,-0.2854734006733999,-2.7153333333332643,-0.1319965728716488,0.17020505050499946,0.5563939393939101,0.9411137626768958,2003.0,MF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_2,664,-0.14039912468247462,-0.7492202256557605,-2.264211601307148,-0.091305354878314,0.5301980708889003,1.6626101770452955,1.2108001482697304,2003.0,MF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_3,8,-0.07251063712522487,-0.38669562289559867,-0.897083333333228,0.10460638127305533,0.23487407407399274,0.4114285714285302,0.4176061293422379,2003.0,MF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_MF_4,2,0.43279716117211287,0.028749999999885034,0.028749999999885034,0.43279716117211287,0.8368443223443407,0.8368443223443407,0.40404716117222783,2003.0,MF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_0,677,-0.0839802882643204,-0.6574617488410128,-1.9196947866944922,-0.09089094647337978,0.5227756542588453,1.7027777777782909,1.1127571464445045,2004.0,MF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_1,8,0.1493773610648519,-0.311772967773039,-0.7472929292929162,0.005115384615424823,0.12756349206350137,2.300499999999957,0.8594396284718692,2004.0,MF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_2,660,-0.09045260618670749,-0.6574617488410128,-1.9196947866944922,-0.09089094647337978,0.5206115437472897,1.6787747195371192,1.121562802897756,2004.0,MF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_3,8,0.13530635020845483,0.03214506172842224,-0.5695833333332345,0.19609126984130043,0.32232619047617916,0.5509090909090695,0.3144861530118662,2004.0,MF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_MF_4,2,0.3718888888890657,0.08129166666669896,0.08129166666669896,0.3718888888890657,0.6624861111114324,0.6624861111114324,0.2905972222223667,2004.0,MF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
