system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_TOT_0,3257,-0.07598383596504382,-0.9401510905116622,-2.829167493015245,-0.06565030304247921,0.8133784429465515,2.8048004751508375,1.782676198356262,2002.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_1,150,-0.255055394266209,-0.5950863486842008,-2.329588768115816,-0.09347063492053889,0.5969290726816057,1.885553306342523,1.6097101281940713,2002.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_2,2877,-0.07102813947427718,-1.0617739047146442,-2.938405919909956,-0.0669903716648705,0.9377976682366678,2.947560274732757,1.8492460797988972,2002.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_3,182,-0.09084145644330689,-0.47235544217685366,-1.3980092592591546,-0.08530969634240353,0.39409067712858176,0.8831420634920774,0.7485999973571612,2002.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_4,54,0.1914535845530682,-0.11008403361359037,-0.740542857142982,0.2858142857140204,0.5730833333332823,0.9332585034013459,0.5592928990011248,2002.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_0,3262,-0.06073825241216632,-0.6613967485585227,-1.7781406650971483,-0.09384050655932101,0.5321294584862065,1.7252109613656592,1.085612968275841,2003.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_1,150,-0.04320890923292505,-0.5455513703089275,-1.6456666666662887,-0.08453767230562498,0.48583135922718074,1.5883333333336833,1.017977558072855,2003.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_2,2880,-0.0624859710281583,-0.7120711778399041,-1.7786962642163,-0.09310969811423812,0.5327182620804134,1.7765377884996454,1.1124179510572625,2003.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_3,184,-0.05953761018663768,-0.4882796539122901,-1.324474801587305,-0.09587879968189839,0.3944703316024003,1.1467857142860929,0.7570353463615765,2003.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_4,54,-0.038307961865058554,-0.37619047619018176,-1.1534632034637289,-0.0018178141965106143,0.4524682539669911,0.8726521164022021,0.633719144873987,2003.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_TOT_0,3261,-0.03026464443705522,-0.7156676218692601,-1.9689006315739837,-0.03022690026138403,0.6566043441145051,1.9693892418984222,1.249834493295499,2004.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_TOT_1,151,-0.004432746904804466,-0.5301361504656873,-1.7148224728486343,0.028496920325724484,0.5313135277421479,1.5068163265304038,1.0843527795965087,2004.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_TOT_2,2879,-0.03360342981467013,-0.7802023598279955,-2.028494640716914,-0.029665124490242493,0.7152417484165559,1.966510022917075,1.2829922522602564,2004.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_TOT_3,183,0.05167696757254065,-0.39301476445442596,-1.2403936621940135,-0.04215351290681326,0.4475763009917144,1.6251031746032005,0.8766760871120525,2004.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_TOT_4,54,-0.08791839214114211,-0.6783193277311232,-1.6997380952381511,-0.11618778117312534,0.4313174603173682,1.6305357142855503,1.0091554306891137,2004.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_TOT_0,3263,-0.0713174071591398,-0.7232140985510809,-1.9106257349823947,-0.09493586112998835,0.5930080430285779,1.780160827242088,1.145038011135205,2005.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_TOT_1,151,-0.12979218207476673,-0.7721862433859208,-2.1173333333330415,-0.16684450563846107,0.6397471340388733,1.7332051282050718,1.3185553188662245,2005.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_TOT_2,2880,-0.06691241313911664,-0.7779419151149286,-1.9106257349823947,-0.09284580202516225,0.5916274892722385,1.780160827242088,1.1489510148941862,2005.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_TOT_3,184,-0.10918300448981934,-0.5860602100193997,-1.6793907203907938,-0.15024837421427029,0.3079044841688162,1.4738630720321428,1.0004776806451974,2005.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_TOT_4,54,-0.16542712341314905,-0.6553264790765017,-2.6138690476186337,-0.047544695071061405,0.6214074074073288,1.0989795918377365,0.9685633874412614,2005.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_TOT_0,3260,-0.10009653363701172,-0.9035108815150679,-2.216523416196807,-0.09352094039424194,0.6566865446874103,2.0884686678844324,1.3198349384646109,2006.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_TOT_1,151,-0.10390167171372365,-0.5781128205129398,-2.0053066137565385,-0.05094560185174046,0.5016203007520237,1.5547333333333384,1.0185234682879714,2006.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_TOT_2,2878,-0.10150679005963606,-0.9041916763235299,-2.28307901930502,-0.09317211683837533,0.6567598156859266,2.214987316489627,1.3737237220850178,2006.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_TOT_3,183,-0.07917488833578536,-0.42380081544443504,-1.2886372180454622,-0.04088644179900647,0.27206722733288613,1.0246384479716113,0.6481266844007206,2006.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2006_TOT_4,54,-0.14225750495619585,-0.4904308390017399,-1.3560714285716324,-0.05716880341873665,0.17510707070709675,0.874503105590116,0.5966292926807756,2006.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_TOT_0,3260,-0.05023609293420864,-0.7186124716491582,-1.848274464220518,-0.09264657690094177,0.5951703996980209,1.7850048617541616,1.1459257841266326,2007.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_TOT_1,150,0.04540170560782401,-0.4455563776680885,-1.8708333333333633,-0.01525844662168474,0.674288139329764,1.6946410256408555,1.0649572476306046,2007.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_TOT_2,2879,-0.0602278058224851,-0.7802177485090184,-1.9028465898432267,-0.09267011047377473,0.5955618414865054,1.837262127620149,1.1714452328746383,2007.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_TOT_3,183,0.037930775265368,-0.356534416597003,-1.2659297052154828,0.07111968845497103,0.48452857689813233,1.1025000000002292,0.826666394401692,2007.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2007_TOT_4,54,-0.08513219194884535,-0.7436549953313905,-1.7298076341647475,-0.15401996152006303,0.5250821256038485,1.6251488095236324,1.0859632660851646,2007.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2008_TOT_0,3259,-0.08968952966213108,-0.6587931431760269,-1.6485342868451067,-0.09352025430883115,0.469004333126573,1.5348374999584697,1.0146317652633405,2008.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2008_TOT_1,151,-0.06677623193440915,-0.7106448057483832,-1.8955281385280767,0.007687343358355081,0.4221493506493006,1.7988974358968908,1.1491337804018509,2008.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2008_TOT_2,2878,-0.10119040371888818,-0.7210162361854442,-1.7073369905556257,-0.0936948537955565,0.46783426509466236,1.5348374999584697,1.019625812874882,2008.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2008_TOT_3,182,0.06601400669255525,-0.45103978274818574,-1.32650000000001,0.07955368693189935,0.5448703087032186,1.2412178536619307,0.8417480334918547,2008.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2008_TOT_4,54,0.0029599531419038146,-0.4303758169934371,-1.328280423280547,-0.10352714646473649,0.2586645021644207,1.734999999999813,0.9318454124225366,2008.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2009_TOT_0,3260,-0.07686458045043339,-0.6843330319172609,-1.8140164526390765,-0.06387431968601709,0.5609115116202125,1.9414138597681043,1.1296132502597656,2009.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2009_TOT_1,151,-0.0743385406522582,-0.5408325320512959,-1.6783500000002802,0.020441618267842097,0.5070142857141899,1.3931542022792531,0.9124547733640238,2009.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2009_TOT_2,2878,-0.07570279707506739,-0.8090742446045842,-1.8145327642432598,-0.06434792797288759,0.5604782932409504,1.9400375116128878,1.1620727298376141,2009.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2009_TOT_3,183,-0.14372013426256103,-0.5780308180575869,-1.4270146520146332,-0.078682644110262,0.29588181681058795,1.0450384920633642,0.7847506437999047,2009.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2009_TOT_4,54,0.06312151674028753,-0.39834126984200235,-1.3359021164021723,-0.013712076118452377,0.599214285714396,1.930679365079346,0.9991028960768407,2009.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2010_TOT_0,3260,-0.05827558652677408,-0.9042003751537231,-2.344924925833271,-0.09563230555921852,0.6574537883652416,2.46509053412973,1.4327751592497775,2010.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2010_TOT_1,150,0.10857500651960152,-0.4629068903319725,-1.6362743271220435,-0.03210753211442847,0.5366688936988658,1.9311904761901895,1.2451303806003602,2010.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2010_TOT_2,2880,-0.06890721528168196,-0.9716601409951691,-2.4745757148850953,-0.09450302786371535,0.7125608876483264,2.531335372501921,1.472419110387477,2010.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2010_TOT_3,182,-0.06244853415209455,-0.5469742759676706,-1.622002645502504,0.016049476463709873,0.46406627431946335,1.0153780832702621,0.9822120318681572,2010.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2010_TOT_4,54,-0.0883881458226826,-0.6221258503390086,-1.7628922902494786,-0.08879803992310142,0.49029861111108897,1.568761904761668,1.2069230369676778,2010.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2011_TOT_0,3261,-0.07300706690476155,-0.5640931616342053,-1.425396452781619,-0.06323462175586334,0.3098007635951843,1.3004461909103038,0.8988695990248603,2011.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2011_TOT_1,151,0.04577028134657035,-0.5343975150797612,-1.795641612200352,-0.02118106708142964,0.5930542287959646,1.9621919934639078,1.1953858241728241,2011.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2011_TOT_2,2880,-0.0774907892015307,-0.5636740966317787,-1.4264130134795723,-0.06283192077894707,0.3088420551297186,1.3047300689077725,0.8722889604534229,2011.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2011_TOT_3,182,-0.03809362334696783,-0.39879829036126324,-1.5992267573696717,0.027450106744332015,0.34689830654779774,1.2850159371489454,1.0474461417862846,2011.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2011_TOT_4,54,-0.29975186678099014,-0.6982499999998799,-1.9062728937729485,-0.26566117524442223,0.23440476190470738,0.7701315789472902,0.7058303768195482,2011.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2012_TOT_0,3257,-0.07884478489442139,-0.8138566976585939,-2.187568682076644,-0.06010657223770469,0.5609322426259269,2.0675546672974936,1.2894931661779487,2012.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2012_TOT_1,151,0.11420841026312518,-0.5707194444444263,-1.3979824561404341,0.007619047619072283,0.5979999999998595,2.299847442681039,1.0691966956226753,2012.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2012_TOT_2,2876,-0.09188159652671508,-0.8147792445648935,-2.1863132393621703,-0.061005468548568045,0.6885083760397017,2.0675546672974936,1.3310057716014914,2012.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2012_TOT_3,182,-0.04689368610502582,-0.38803020683026307,-1.1979071819383704,-0.013808110668063835,0.38645411054995193,1.017369696969773,0.8014439518568989,2012.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2012_TOT_4,54,-0.022434641080447543,-0.43607142857144154,-1.0712142857144986,-0.051486856661838054,0.3605116713353773,1.3353061224488187,0.6973886018574391,2012.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2013_TOT_0,3260,-0.0919715123497074,-0.6562249596866007,-1.7756201506484426,-0.09486530788701673,0.46336925283206243,1.6605937485843425,1.0530171994785074,2013.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2013_TOT_1,151,-0.05468574540942839,-0.6163249766573657,-2.3223333333336544,0.04854385964900043,0.5903352007469245,1.843452380952324,1.209764326988672,2013.0,TOT,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2013_TOT_2,2880,-0.09788160362152255,-0.6561027810754944,-1.7740462677244335,-0.0956154031484913,0.4624404043905983,1.663683592157382,1.063412268612426,2013.0,TOT,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2013_TOT_3,181,-0.029494358315959875,-0.3876697530864022,-1.4082380471381466,0.014613146167576918,0.39103787878789564,1.1205411255411146,0.8148695436547859,2013.0,TOT,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2013_TOT_4,54,-0.14668085176680784,-0.4681507936505138,-1.438707482992501,-0.14405396825396233,0.336365914786918,1.0205357142859155,0.6926849632127697,2013.0,TOT,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2014_TOT_0,3261,-0.08516574483935964,-0.6840587417416109,-1.6765099649537902,-0.18477662019324548,0.5609548399780347,1.6817152999493714,1.104755471874354,2014.0,TOT,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
