system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8416,0.024433965795241833,-2.623418633540373,-0.8709297831091702,-3.863528404344196,0.051351877017156336,0.8699378350247194,2.6151323921899143,3.6287848562848564,2.3474664871118063,2005.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,574,0.11376148996183989,-0.9083333333333409,-0.285170068027207,-1.4021309523809482,0.010468380614656962,0.41028571428572036,1.1421481481481426,1.7766666666666804,1.1744311264702623,2005.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,6949,-0.017110637136324484,-2.8765746287762437,-0.8771423469387729,-4.132292640692645,0.04431812169312123,1.1269083333333334,2.8624325396825383,4.103027116402121,2.518499654528168,2005.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,757,0.32190907470630015,-0.6844663865546314,-0.17973073945025414,-1.186856701940043,0.18904504316346724,0.6912207482993219,1.5671443001443104,2.158290816326525,1.1889104573927012,2005.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,159,0.14212969996460595,-1.5233333333333405,-0.6517595238095396,-2.207333333333338,0.013497448979594293,0.725654761904778,1.9000000000000057,3.2058333333333167,1.6166253549931724,2005.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8453,0.08768915110613315,-3.6208335097001747,-1.3791906450523495,-5.377375238095241,0.04270827544308572,1.372671777296776,3.8750526315789475,5.878228422619044,3.384876680815938,2006.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,555,-0.23416687596687671,-2.5319444444444628,-0.8176871184371307,-3.9750000000000227,0.025327276524644417,0.5514853801169609,1.5496666666666556,2.8556250000000034,2.20786019702169,2006.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7008,0.09790458240468952,-3.8921406249999975,-1.6287325652841773,-5.6225557539682525,0.03574741430260044,1.6249176984127,4.368621315192739,6.3723222222222216,3.63036757256257,2006.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,753,0.2514270445874021,-0.6371597402597502,-0.17236299216657106,-0.9800476190476246,0.1068779761904679,0.6718112874779459,1.2042711640211603,1.6113571428571352,0.8026672362084463,2006.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,158,0.007975370796571998,-3.325000000000017,-0.7228888888888984,-4.52000000000001,0.02721825396825077,0.8003035714285787,2.583000000000027,4.719166666666666,2.799796404164085,2006.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_0,8457,0.03056336669453022,-1.811148835978836,-0.5601284001118797,-2.813433916423715,0.017842457420924423,0.6848705352678149,1.814497457837299,2.93756565656565,1.8589956657080333,2007.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_1,588,0.10062151274651282,-0.8516428571428492,-0.2146386408730141,-1.461904761904762,0.007097244515785525,0.45928858024691344,1.151202380952388,1.652038095238089,0.9482506187321085,2007.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_2,6977,0.00963707303796155,-2.0685116514691013,-0.6878816556158349,-3.0700009523809526,0.01606762787568641,0.6837562358276668,2.052389610389604,3.197732426303856,2.00738523602475,2007.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_3,754,0.18772399965934478,-0.576914965986398,-0.23228411667697912,-0.8542486772486958,0.07998117731940912,0.5806464947089935,1.0443888888888821,1.5625454545454716,0.7563024606517844,2007.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_4,161,-3.5703306355240665E-4,-0.8987499999999926,-0.39662222222223703,-1.5854761904762142,0.010508156966493074,0.41454761904763016,1.0423333333333176,1.455972222222229,0.9384681265606177,2007.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_0,8441,0.04402232382723438,-2.6311344652615127,-0.8671653850904822,-3.8769851648351614,0.048891614325373534,0.8748353239232722,2.6222515322960875,4.118022344322342,2.5063251294649715,2008.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_1,573,-1.0048754813221761E-4,-1.5762380952380965,-0.3064472222222255,-2.663000000000011,0.02296352118829197,0.5583333333333371,1.3000000000000114,2.3136111111111006,1.7554284500823065,2008.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_2,6983,0.028638848954759096,-2.88176501035197,-0.8707360333022097,-4.105925925925929,0.042577299530323166,0.8741304302422731,2.862501566416046,4.359542960662525,2.687251891439281,2008.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
