system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8533,0.13828315812864048,-0.6855942567794878,-0.18178894352050962,-1.0687005240373617,0.02639975568464928,0.43666182918388685,1.061269478146121,1.5510638946399853,0.8985946759405057,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,596,0.08657088139302875,-0.8448611111111113,-0.2872722011784508,-1.2956666666666763,0.011290229611657966,0.4129527417027437,1.1091507936508123,1.535899999999998,0.8932372990170527,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,7040,0.12524412130640816,-0.6851544856339142,-0.18184409411576205,-1.0696373403019699,0.025022014232600528,0.4360436065791207,1.062810380952379,1.5521114718614761,0.9095655936379287,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,757,0.31797773641300925,-0.5331223665223661,-0.15354356060605756,-0.7208217893217831,0.15612030356474751,0.6550969270628286,1.3369778739778748,1.89537734487735,0.8126965971353924,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,163,0.10487217707309743,-0.508814814814798,-0.23175000000001234,-0.8591666666666811,0.051452922077913854,0.3499999999999943,0.9366666666666674,1.2439292929292947,0.6668685199383394,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8525,0.11707132870388016,-0.5914311848033221,-0.1571425910337967,-0.8425644147519122,0.009109773743751782,0.40408408339345797,0.8411139792255495,1.2203415032679725,0.6405748781930065,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,596,0.09517002721365324,-0.7049350649350714,-0.237765873015879,-1.079999999999984,0.0036023280423300246,0.4545357142857114,0.9346666666666579,1.3223333333333045,0.7309465970197896,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7034,0.10455243532649713,-0.528927128427126,-0.15666446636485018,-0.8411344524270014,0.00870970555464235,0.4040559635245487,0.841904683325476,1.148974920634919,0.6182428922974529,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,755,0.2636583531626569,-0.5180808080808058,-0.1716773809523872,-0.6715756774090286,0.14053030303029704,0.5743745572609152,1.1666774891774936,1.7266666666666879,0.7226483045349557,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,163,0.07422129046822373,-0.6350634920634851,-0.32414790764792184,-0.852222222222243,0.00146990740740686,0.509074074074069,1.0020833333333314,1.3063383838384084,0.7247857701326045,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
