system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8543,-0.010036616038296054,-1.0967554529051409,-0.46796699328569463,-1.5296896515020115,0.007651840034636995,0.4042319880056298,1.094796580993038,1.5948170010172986,0.948691162896007,2005.0,TOT,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,598,0.008587156106496761,-0.6167376953288145,-0.254522299081158,-0.8522847326965083,5.039185166904798E-4,0.29295356925608473,0.6531478524743193,0.9383333333333326,0.5150319196134666,2005.0,TOT,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,7047,-0.0043628749422721476,-1.2178556057188314,-0.5312956497709578,-1.6596577640227703,0.0062983201469249414,0.47042013184877174,1.1530163465779013,1.6572570444267178,1.0161790566570736,2005.0,TOT,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,758,-0.06663415971864733,-0.5183233673494831,-0.2647340996054339,-0.7069204290320812,-0.04911007990533776,0.10896935423615825,0.36177978916250214,0.5166496223820426,0.39788675807283647,2005.0,TOT,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,163,-0.06523910009587867,-1.366272694414974,-0.5572815205627393,-1.5683223684210361,0.003787878479874015,0.42705882352942126,1.0463065126226412,1.325111111111113,0.9151875559506188,2005.0,TOT,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8528,-0.045623010737814156,-1.0958688524715068,-0.4670838573605435,-1.6497793848280193,0.007555956620802754,0.3431686589731662,1.03007851050534,1.4652595534232928,0.9154864654761852,2006.0,TOT,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,597,0.010627686713917181,-0.6065551817345352,-0.2656589220087554,-0.8991575091575044,0.002589541496731677,0.29397144240705303,0.6664079743303181,0.8586908246552412,0.5660626242557725,2006.0,TOT,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7035,-0.05173419008663873,-1.2162306333994017,-0.5298662671210366,-1.7166399165583677,0.0058017894808685255,0.40476886655806305,1.0941705541332674,1.5353858827910554,0.9778014403833146,2006.0,TOT,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,756,-0.05366678271208649,-0.4328351505698557,-0.20483994161205846,-0.6086376877749551,-0.01583727213090356,0.10873460266842996,0.29505987984569954,0.4195939796625652,0.3555994426074126,2006.0,TOT,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,163,0.04809944274122536,-1.0726582646316203,-0.3657142857142617,-1.239399671052638,0.008396724142058404,0.48701284740370926,0.9568886819702129,1.4400356037151312,0.9167062364271078,2006.0,TOT,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
