system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8543,-0.021085868636026503,-0.9641596135346143,-0.34372656128731766,-1.4028078518703593,0.00819390253579815,0.34245385155220986,0.9047987591969094,1.3465330687830697,0.8602530316442099,2005.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,598,-0.021745334375769417,-0.97666666666665,-0.3296005291005252,-1.4251388888888812,0.004555598688750459,0.32805379188712575,0.888183673469391,1.231333333333339,0.8057487644575788,2005.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,7047,-0.021701655970599986,-1.0302219215969197,-0.4052961933424244,-1.4691161264210064,0.007084748058907964,0.34264203793891096,0.9700065812565873,1.4044973187473218,0.8874160602329305,2005.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,758,-0.04226141646392303,-0.5934567099567066,-0.21626079306181092,-0.8989112103174612,-0.03137617116842616,0.15142585117585186,0.4680370370370364,0.7156974206349211,0.5972300740954657,2005.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,163,0.10968160792853941,-0.889289682539688,-0.33334841269842175,-1.23443452380954,0.005766666666670517,0.48952380952383123,1.1703869047618696,1.4050000000000296,0.8705118624391747,2005.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8522,-0.028542869393637923,-1.3094025812495984,-0.4377932627137174,-1.8079884672619002,0.022459963286135476,0.43393841157033397,1.1867681316268235,1.8159500128008224,1.14062048094124,2006.0,TOT,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,591,0.04512590431753017,-0.8198874458874509,-0.31293166555665464,-1.1952006802721127,0.02475657142857199,0.3034150607457115,0.9409444444444482,1.556277777777769,1.1349720922994648,2006.0,TOT,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7035,-0.032690813865121,-1.405507246376816,-0.5319055619559656,-1.9710211111111153,0.005908291194107656,0.46795924764890434,1.2775912698412693,1.9636195054945074,1.2009038561597547,2006.0,TOT,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,756,-0.03592214854516389,-0.5161343193843209,-0.2046123354759693,-0.7711198412698309,-0.013758131508129398,0.170672783738003,0.42256228956227676,0.6457238095237926,0.4376093206874632,2006.0,TOT,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,163,-0.06767512991439284,-0.6329722222222074,-0.3028571428571638,-0.7866666666666902,-0.025757575757571278,0.1725303030302996,0.5020000000000095,0.6558571428571582,0.46998636597788956,2006.0,TOT,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
