system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8540,-0.02516355369519874,-0.6512741833923648,-0.21968980727727255,-1.0312246753246728,0.010054364006925692,0.21844746515791127,0.6544620772946873,1.029386265805764,0.6791139862084048,2005.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,598,-0.026927248476160928,-0.6298015873015856,-0.264580114330108,-0.982869047619026,0.003485288019772207,0.20350466853408106,0.6093839285714253,0.8821726190476085,0.566590619307254,2005.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,7045,-0.021110366157775482,-0.716548366689673,-0.2809559296552697,-1.161236441798938,0.008999670560047902,0.2193284078692475,0.6548303189865714,1.030345088349812,0.7201622200423844,2005.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,757,-0.05649491327694852,-0.3539166666666489,-0.18056565656565646,-0.4772037037036891,-0.03864882154882897,0.06779725829725132,0.22590740740740975,0.3654671717171709,0.2828127194845282,2005.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,163,-0.043206521835354283,-0.5213412698412773,-0.30284722222222626,-0.6481944444444707,-0.036834632034640435,0.10520833333333712,0.39800000000001035,0.8340000000000032,0.45766705520712136,2005.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8526,-0.0327222888209866,-0.548082479726848,-0.20220557350839213,-0.7673555037957216,0.003803357809297658,0.14010091949394443,0.45185237510237486,0.7035682333539488,0.46123808971861385,2006.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,597,-0.019182714921407912,-0.5464634920635035,-0.23561676919571614,-0.7389672619047687,0.0040433290433312735,0.20207068452381272,0.5111309523809572,0.7059259259259344,0.48987032145654785,2006.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7034,-0.0322073702724467,-0.5486207757296468,-0.23394564606145749,-0.7965900167084357,0.003549009292269424,0.14016938648118574,0.4522265807962514,0.7028637760089377,0.46710014624818647,2006.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,755,-0.04871228701394236,-0.36925468975468334,-0.16368078102453332,-0.5373501683501919,-0.022318605307736276,0.08397857543691759,0.2553474025973941,0.39982088744589817,0.2972868176472025,2006.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,163,-0.03733135031294705,-0.5743898809524026,-0.32840909090910486,-0.8283333333333189,0.004457264957264984,0.23182936507937565,0.7745000000000459,0.9589343434343315,0.6588244376992909,2006.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
