system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_0,8514,-0.014854358588061745,-1.3115926724137934,-0.43287756199561633,-1.938248158929192,0.021188414726465255,0.4336325273642341,1.3108872042527686,1.930299783549784,1.27145432676035,2005.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_1,593,-0.048697784274935,-0.7788518518518717,-0.2764879921665714,-1.2152916666666584,0.010163534382284704,0.21354582693292498,0.5961084656084634,0.9119444444444582,0.6951205986166666,2005.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_2,7037,-0.006938657366822631,-1.4407932049224135,-0.5610317125443726,-2.060363389182829,0.017081870028647913,0.5582912131519283,1.4341163419913425,2.0584532389532457,1.3359824872379755,2005.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_3,749,-0.07386081586415268,-0.46204132595798975,-0.21410790043290362,-0.6583287037037024,-0.02856496901791007,0.09237170348808915,0.28289561023772225,0.4043815836940894,0.6571398373720171,2005.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_elev_diff100_4,158,0.03356050331525031,-1.6480000000000246,-0.6842222222222176,-2.6549999999999727,0.026061904761904012,0.5779553571428693,1.4438333333333304,3.240000000000009,1.979146592054879,2005.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_0,8515,-0.01909202434545966,-1.5596495098039231,-0.5618182176279615,-2.3126543549043483,0.019965045739268366,0.5631168574568182,1.5596482228298023,2.443314713064707,1.448550884326401,2006.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_1,595,4.5490135448080724E-4,-0.675100529100528,-0.23336791383219488,-1.0408333333333246,0.00391943400166938,0.2877414965986337,0.6940025974026014,0.9551507936507789,0.6560797946949746,2006.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_2,7028,-0.01804221964954054,-1.6898946450375034,-0.683752848249941,-2.431127615440116,0.016682997521388562,0.6860068843193832,1.6837767489711908,2.6809022486772505,1.5692828185593244,2006.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_3,752,-0.04508233791179279,-0.5175360750360944,-0.23261962882796342,-0.6764702741702706,-0.01645342800830948,0.17007076719576375,0.3927019400352694,0.6078100198412706,0.42512443227995095,2006.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_elev_diff100_4,163,-0.051900899884030446,-0.9779365079365144,-0.40406746031744945,-1.4466666666666583,-0.0310513468013293,0.3294999999999959,1.018222222222202,1.5713988095238278,1.0616837052628885,2006.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_0,8492,-0.03585712412293334,-1.0611284722222172,-0.4399163531682426,-1.5595696010860498,0.02378744391073122,0.3107585234240859,0.9373811380302661,1.3108699341438692,0.9060077258919342,2007.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_1,591,-0.05566865598210753,-0.6360059523809601,-0.2651384220354821,-0.9541666666666657,0.004415215075930911,0.1693794714057976,0.5450365079364928,0.7641111111111248,0.6042627389611124,2007.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_2,7019,-0.03472912602507289,-1.095620296884179,-0.4689397917955077,-1.660397046501887,0.007062795131113953,0.4045741065342282,0.9695717553688242,1.4041750541125602,0.9466211473846481,2007.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_3,748,-0.04349059444714619,-0.4741806047487852,-0.2175090737887355,-0.6446224489795773,-0.03452129870129625,0.15655266955266764,0.3425277620929866,0.534692279942273,0.47399661448109476,2007.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_elev_diff100_4,155,0.028906605222733566,-1.2728571428571531,-0.4590476190476238,-1.864166666666648,0.009527210884355344,0.4706626984126956,1.22595238095235,1.6666250000000389,1.3992094229198853,2007.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_0,8476,-0.04728985325342667,-1.1890947485054635,-0.4336874642563618,-1.8066459986772456,0.02114898289412884,0.43143476412128395,1.1884157427937914,1.8089663471449116,1.1730047306196942,2008.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_1,584,0.03240016357310983,-0.801126984126976,-0.30094588744589923,-1.268111111111125,0.0019244355019014607,0.3927838827838829,0.8779523809523843,1.507083333333341,0.8813727484618814,2008.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_2,7008,-0.05165133621768887,-1.3106016672819,-0.5611891699735447,-1.9374122474747482,0.017257963050486866,0.4333986776289144,1.1879185080619863,1.8060824966995113,1.2079599157301883,2008.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_3,748,-0.044103426839054646,-0.5686808457243271,-0.18425258415054288,-0.6733577694235584,-0.06273479076478838,0.18726712533498155,0.42185657768157514,0.8076246693121737,0.856320889844419,2008.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_elev_diff100_4,159,-0.23717370243313549,-1.8283988095238044,-0.7998505291005102,-3.1758333333333013,-0.04091558441558876,0.5748611111111188,1.8166666666666629,2.781000000000006,2.176185875621429,2008.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_elev_diff100_0,8453,-0.0520656925425353,-1.6900664885001593,-0.6864371908453291,-2.423262643041714,0.019458107277922184,0.5633223875280837,1.4367181721485864,2.1883429612282033,1.489445208720001,2009.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_elev_diff100_1,574,0.09730294420059327,-0.9672857142857286,-0.40661433531746916,-1.4784226190476062,0.005601113172542018,0.45809740259741977,1.16157886904762,1.909166666666664,1.0798659837256481,2009.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_elev_diff100_2,6991,-0.06425129830912288,-1.8119641439909342,-0.6868839178712067,-2.5626129426129447,0.016502537988375497,0.5616011704345029,1.5651432724252445,2.3078346134152543,1.5492262177681009,2009.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_elev_diff100_3,750,-0.07121537806637886,-0.6602432539682411,-0.2877373015873019,-0.8960061728395077,-0.03137843532730371,0.21685101829988504,0.47443977723666286,0.83794312169312,0.6792051662450224,2009.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_TOT_elev_diff100_4,160,-0.013738169642858455,-2.112833333333324,-1.030240079365079,-3.1148333333333182,0.018317708333329463,0.8260578231292551,2.3858333333333377,3.7851250000000007,2.448456569740269,2009.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_TOT_elev_diff100_0,8420,-0.0399099054679818,-1.5611280046280056,-0.5611393517120256,-2.3757157883567435,0.018898314467575162,0.5617289510619567,1.5560209750566887,2.311712613664994,1.4830673599052855,2010.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_TOT_elev_diff100_1,575,-0.02824486228747115,-1.1810368814192265,-0.44112665343916174,-1.6970340136054338,0.026134224902083333,0.3014878048780492,1.1884142857142819,1.6701666666666597,1.1991566654494379,2010.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_TOT_elev_diff100_2,6973,-0.04493697427864975,-1.8062748135398743,-0.6907290567365175,-2.555511904761908,0.015312394692948263,0.6851945598845578,1.685895453654711,2.310526463179006,1.556446065903848,2010.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_TOT_elev_diff100_3,734,-0.003831615591492632,-0.5158227513227445,-0.29313600288600805,-0.7661596921596802,0.005406450872359611,0.20608770031138515,0.5147421085858603,0.757333333333321,0.5486492089012208,2010.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_TOT_elev_diff100_4,158,0.0011717148884886114,-1.6853650793651032,-0.9455476190476191,-3.379999999999967,0.043936507936512235,0.8232823129251828,1.948888888888888,3.0299999999999727,1.951708674135388,2010.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_TOT_elev_diff100_0,8412,0.016119005763085795,-1.3079373346560879,-0.43607464164015475,-1.9327605555555576,0.02392770225361487,0.43415411804898796,1.312239723239722,2.0592614430014433,1.3109432574959154,2011.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_TOT_elev_diff100_1,570,-0.005866282499177363,-0.9022926587301576,-0.3406221340387974,-1.2749166666666696,0.009159988385597555,0.3380984126984131,0.9065753968254077,1.316999999999993,0.9143133423961107,2011.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_TOT_elev_diff100_2,6973,0.027941833104352994,-1.4354170506912454,-0.5599058055639464,-2.050187581168832,0.019662884634030882,0.5594983740828811,1.4397770752639136,2.18831704695767,1.3644191978706628,2011.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_TOT_elev_diff100_3,730,-0.07030448071715242,-0.5274804713804769,-0.21785154061624343,-0.7776757575757586,0.021042098152392164,0.15210788840788295,0.3427472451790692,0.5898317099567159,0.7049077693785631,2011.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_TOT_elev_diff100_4,159,-0.07429607167814438,-2.4369999999999976,-0.6882936507936606,-3.916666666666657,0.05769427191166721,0.6875833333333361,2.0135714285714243,3.210666666666725,2.0402921146477917,2011.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_TOT_elev_diff100_0,8373,-0.020991329755213603,-1.3106492263572094,-0.5602720765607536,-2.0650964285714295,0.021050991621805792,0.43490580618212366,1.309858795749705,1.9352411541005277,1.2327366559460762,2012.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_TOT_elev_diff100_1,559,0.07521992735946113,-0.9620496031745963,-0.2802683080808208,-1.3377777777777926,0.01018333055832899,0.4712951388888982,1.0167010582010632,1.6766349206349105,1.020319942353913,2012.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_TOT_elev_diff100_2,6956,-0.03629866784786988,-1.4340122498274683,-0.5610713834776317,-2.064739600437876,0.017510494180837517,0.5607346965899588,1.4367637322472855,2.059460555555555,1.285988538451403,2012.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_TOT_elev_diff100_3,717,0.022325521100626668,-0.3986989538239474,-0.15636051448550822,-0.6591841269841098,0.01744786019785884,0.2129215898480585,0.4074826526130884,0.9008499999999969,0.6114709468717991,2012.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_TOT_elev_diff100_4,159,0.1104206349206341,-1.5950000000000273,-0.5321666666666758,-2.3379999999999654,0.009957671957670932,0.6528571428571155,1.6546428571428748,2.430000000000007,1.6161591882905921,2012.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_TOT_elev_diff100_0,8345,-0.029638519708771297,-1.189542817126849,-0.4370007630029747,-1.809870039682537,0.021981675558499402,0.4360506866123657,1.1817856800766284,1.680383382936507,1.127591569192076,2013.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_TOT_elev_diff100_1,541,-0.07917433911334211,-1.0269999999999868,-0.34709240362811655,-1.5355333333333534,0.011747185308230877,0.28052540713254154,0.7815887445887391,1.071428571428541,0.7840094441231079,2013.0,TOT,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_TOT_elev_diff100_2,6951,-0.025026096611551932,-1.3067869734432245,-0.5633898795431991,-1.9440716873706037,0.01924742392969923,0.4370784726206412,1.3110703618364918,1.80893716931217,1.1945265343267522,2013.0,TOT,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_TOT_elev_diff100_3,712,-0.012006836523337906,-0.42253306878307245,-0.2026818716263129,-0.6453505291005115,0.006134554158365738,0.20387590187589744,0.42380677655677784,0.6117103174603216,0.4477731143189219,2013.0,TOT,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_TOT_elev_diff100_4,159,-0.12121767540635407,-1.2633333333333212,-0.6574761904761601,-2.2819999999999823,0.012153061224495332,0.41741402116402543,1.1349682539682722,1.579999999999984,1.182522641737879,2013.0,TOT,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_TOT_elev_diff100_0,8301,-0.05482862884615665,-1.3009149191786835,-0.43592186997361987,-1.9334008645124747,0.022749609944351927,0.43578097381851283,1.18896109250992,1.6868846534124358,1.1674095803618314,2014.0,TOT,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
